text,url
Muslim world,https://en.wikipedia.org/wiki/Muslim_world
war against the Islamic State,https://en.wikipedia.org/wiki/War_against_the_Islamic_State
counter-terrorist,https://en.wikipedia.org/wiki/Counter-terrorism
defence minister,https://en.wikipedia.org/wiki/Minister_of_Defense_(Saudi_Arabia)
Mohammad bin Salman Al Saud,https://en.wikipedia.org/wiki/Mohammad_bin_Salman_Al_Saud
Riyadh,https://en.wikipedia.org/wiki/Riyadh
Raheel Sharif,https://en.wikipedia.org/wiki/Raheel_Sharif
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
United Nations,https://en.wikipedia.org/wiki/United_Nations
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
Shia,https://en.wikipedia.org/wiki/Shia_Islam
Euronews,https://en.wikipedia.org/wiki/Euronews
rivalry with Iran,https://en.wikipedia.org/wiki/Iran%E2%80%93Saudi_Arabia_proxy_conflict
Sunni,https://en.wikipedia.org/wiki/Sunni
sectarian coalition,https://en.wikipedia.org/wiki/Shia%E2%80%93Sunni_relations
Ibadi,https://en.wikipedia.org/wiki/Ibadi
Pakistani Chief of Army Staff Raheel Sharif,https://en.wikipedia.org/wiki/Raheel_Sharif
OIC member states,https://en.wikipedia.org/wiki/Member_states_of_the_Organisation_of_Islamic_Cooperation
Afghanistan,https://en.wikipedia.org/wiki/Islamic_Republic_of_Afghanistan
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Benin,https://en.wikipedia.org/wiki/Benin
Brunei,https://en.wikipedia.org/wiki/Brunei
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Chad,https://en.wikipedia.org/wiki/Chad
Comoros,https://en.wikipedia.org/wiki/Comoros
Côte d'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
Gabon,https://en.wikipedia.org/wiki/Gabon
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Jordan,https://en.wikipedia.org/wiki/Jordan
Kenya,https://en.wikipedia.org/wiki/Kenya
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Libya,https://en.wikipedia.org/wiki/Libya
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Mali,https://en.wikipedia.org/wiki/Mali
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Morocco,https://en.wikipedia.org/wiki/Morocco
Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Oman,https://en.wikipedia.org/wiki/Oman
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palestine,https://en.wikipedia.org/wiki/Palestine
Qatar,https://en.wikipedia.org/wiki/Qatar
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,https://en.wikipedia.org/wiki/Senegal
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Somalia,https://en.wikipedia.org/wiki/Somalia
Sudan,https://en.wikipedia.org/wiki/Sudan
Togo,https://en.wikipedia.org/wiki/Togo
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Turkey,https://en.wikipedia.org/wiki/Turkey
Uganda,https://en.wikipedia.org/wiki/Uganda
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Yemen,https://en.wikipedia.org/wiki/Yemen
PLC,https://en.wikipedia.org/wiki/Presidential_Leadership_Council
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Sjafrie Sjamsoeddin,https://en.wikipedia.org/wiki/Sjafrie_Sjamsoeddin
Jusuf Kalla,https://en.wikipedia.org/wiki/Jusuf_Kalla
Raheel Shareef,https://en.wikipedia.org/wiki/Raheel_Shareef
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
China,https://en.wikipedia.org/wiki/China
Egypt,https://en.wikipedia.org/wiki/Egypt
Al-Azhar University,https://en.wikipedia.org/wiki/Al-Azhar_University
Germany,https://en.wikipedia.org/wiki/Germany
Ursula von der Leyen,https://en.wikipedia.org/wiki/Ursula_von_der_Leyen
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Hishammuddin Hussein,https://en.wikipedia.org/wiki/Hishammuddin_Hussein
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Turkey,https://en.wikipedia.org/wiki/Turkey
Ahmet Davutoğlu,https://en.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu
United States,https://en.wikipedia.org/wiki/United_States
Ash Carter,https://en.wikipedia.org/wiki/Ash_Carter
Army of the Men of the Naqshbandi Order,https://en.wikipedia.org/wiki/Army_of_the_Men_of_the_Naqshbandi_Order
Izzat Ibrahim al-Douri,https://en.wikipedia.org/wiki/Izzat_Ibrahim_al-Douri
Mujahideen,https://en.wikipedia.org/wiki/Mujahideen
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
New York Post,https://en.wikipedia.org/wiki/New_York_Post
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Dawn,https://en.wikipedia.org/wiki/Dawn_(newspaper)
The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Dhaka Tribune,https://en.wikipedia.org/wiki/Dhaka_Tribune
The Daily Observer,https://en.wikipedia.org/wiki/The_Daily_Observer
