text,url
French,https://en.wikipedia.org/wiki/French_language
HIV,https://en.wikipedia.org/wiki/HIV
AIDS,https://en.wikipedia.org/wiki/AIDS
vulnerability,https://en.wikipedia.org/wiki/Vulnerability
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
Winnie Byanyima,https://en.wikipedia.org/wiki/Winnie_Byanyima
Peter Piot,https://en.wikipedia.org/wiki/Peter_Piot
Michel Sidibé,https://en.wikipedia.org/wiki/Michel_Sidib%C3%A9
United Nations,https://en.wikipedia.org/wiki/United_Nations
simian immunodeficiency virus,https://en.wikipedia.org/wiki/Simian_immunodeficiency_virus
Democratic Republic of Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
United States Center for Disease Control and Prevention (CDC),https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention
Morbidity and Mortality Weekly,https://en.wikipedia.org/wiki/Morbidity_and_Mortality_Weekly_Report
pneumocystosis,https://en.wikipedia.org/wiki/Pneumocystosis
candidiasis,https://en.wikipedia.org/wiki/Candidiasis
Belgium,https://en.wikipedia.org/wiki/Belgium
France,https://en.wikipedia.org/wiki/France
Zaire,https://en.wikipedia.org/wiki/Zaire
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Zambia,https://en.wikipedia.org/wiki/Zambia
International Conference on AIDS,https://en.wikipedia.org/wiki/International_Conference_on_AIDS
US Food and Drug Administration,https://en.wikipedia.org/wiki/Food_and_Drug_Administration
National Institutes of Health,https://en.wikipedia.org/wiki/National_Institutes_of_Health
The Office of the United Nations High Commissioner for Refugees,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees
United Nations Children's Fund,https://en.wikipedia.org/wiki/United_Nations_Children%27s_Fund
World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
United Nations Population Fund,https://en.wikipedia.org/wiki/United_Nations_Population_Fund
United Nations Office on Drugs and Crime,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
"United Nations Educational, Scientific and Cultural Organization","https://en.wikipedia.org/wiki/United_Nations_Educational,_Scientific_and_Cultural_Organization"
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
World Bank,https://en.wikipedia.org/wiki/World_Bank
UN Women,https://en.wikipedia.org/wiki/UN_Women
Winnie Byanyima,https://en.wikipedia.org/wiki/Winnie_Byanyima
Peter Piot,https://en.wikipedia.org/wiki/Peter_Piot
Imperial College London,https://en.wikipedia.org/wiki/Imperial_College_London
Michel Sidibé,https://en.wikipedia.org/wiki/Michel_Sidib%C3%A9
Gunilla Carlsson,https://en.wikipedia.org/wiki/Gunilla_Carlsson
stigma,https://en.wikipedia.org/wiki/Social_stigma
discrimination,https://en.wikipedia.org/wiki/Discrimination
Catholic Church,https://en.wikipedia.org/wiki/Catholic_Church
Caritas Internationalis,https://en.wikipedia.org/wiki/Caritas_Internationalis
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
Quarraisha Abdool Karim,https://en.wikipedia.org/wiki/Quarraisha_Abdool_Karim
Myung-Bo Hong,https://en.wikipedia.org/wiki/Myung-Bo_Hong
Toumani Diabaté,https://en.wikipedia.org/wiki/Toumani_Diabat%C3%A9
Crown Princess Mette-Marit of Norway,https://en.wikipedia.org/wiki/Crown_Princess_Mette-Marit_of_Norway
Princess Stephanie of Monaco,https://en.wikipedia.org/wiki/Princess_Stephanie_of_Monaco
Naomi Watts,https://en.wikipedia.org/wiki/Naomi_Watts
Aishwarya Rai Bachchan,https://en.wikipedia.org/wiki/Aishwarya_Rai_Bachchan
Vera Brezhneva,https://en.wikipedia.org/wiki/Vera_Brezhneva
Victoria Beckham,https://en.wikipedia.org/wiki/Victoria_Beckham
Chantal Biya,https://en.wikipedia.org/wiki/Chantal_Biya
Pia Wurtzbach,https://en.wikipedia.org/wiki/Pia_Wurtzbach
Jan Beagle,https://en.wikipedia.org/wiki/Jan_Beagle
International Partnership for Microbicides,https://en.wikipedia.org/wiki/International_Partnership_for_Microbicides
Prince Leopold Institute of Tropical Medicine,https://en.wikipedia.org/wiki/Prince_Leopold_Institute_of_Tropical_Medicine
Belgium,https://en.wikipedia.org/wiki/Belgium
World AIDS Day,https://en.wikipedia.org/wiki/World_AIDS_Day
Leopold Zekeng,https://en.wikipedia.org/wiki/Leopold_Zekeng
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
The Philippine Star,https://en.wikipedia.org/wiki/The_Philippine_Star
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
