text,url
United States,https://en.wikipedia.org/wiki/United_States
South Korea,https://en.wikipedia.org/wiki/South_Korea
Japan,https://en.wikipedia.org/wiki/Japan
U.S.-North Korea Agreed Framework,https://en.wikipedia.org/wiki/U.S.-North_Korea_Agreed_Framework
North Korea,https://en.wikipedia.org/wiki/North_Korea
nuclear power plant,https://en.wikipedia.org/wiki/Nuclear_power_plant
Yongbyon Nuclear Scientific Research Center,https://en.wikipedia.org/wiki/Yongbyon_Nuclear_Scientific_Research_Center
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapon
light water reactor,https://en.wikipedia.org/wiki/Light_water_reactor
Magnox,https://en.wikipedia.org/wiki/Magnox
Australia,https://en.wikipedia.org/wiki/Australia
Canada,https://en.wikipedia.org/wiki/Canada
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Argentina,https://en.wikipedia.org/wiki/Argentina
Chile,https://en.wikipedia.org/wiki/Chile
Indonesia,https://en.wikipedia.org/wiki/Indonesia
European Union,https://en.wikipedia.org/wiki/European_Union
Poland,https://en.wikipedia.org/wiki/Poland
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Assistant Secretary of State,https://en.wikipedia.org/wiki/United_States_Assistant_Secretary_of_State
foreign minister,https://en.wikipedia.org/wiki/Foreign_minister
Kumho,https://en.wikipedia.org/wiki/Kumho_(South_Hamgyong)
Sinpo,https://en.wikipedia.org/wiki/Sinpo
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
U.S. Congress,https://en.wikipedia.org/wiki/U.S._Congress
Republican Party,https://en.wikipedia.org/wiki/Republican_Party_(United_States)
Senators,https://en.wikipedia.org/wiki/U.S._Senator
appeasement,https://en.wikipedia.org/wiki/Appeasement
Stephen Bosworth,https://en.wikipedia.org/wiki/Stephen_Bosworth
project financing,https://en.wikipedia.org/wiki/Project_finance
construction site,https://en.wikipedia.org/wiki/Construction
Kumho,https://en.wikipedia.org/wiki/Kumho_(South_Hamgyong)
containment building,https://en.wikipedia.org/wiki/Containment_building
Stephen W. Bosworth,https://en.wikipedia.org/wiki/Stephen_W._Bosworth
L. Desaix Anderson,https://en.wikipedia.org/wiki/L._Desaix_Anderson
Division of Korea,https://en.wikipedia.org/wiki/Division_of_Korea
Six-party talks,https://en.wikipedia.org/wiki/Six-party_talks
National Academy of Engineering,https://en.wikipedia.org/wiki/National_Academy_of_Engineering
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
House of Representatives,https://en.wikipedia.org/wiki/United_States_House_of_Representatives
104th Congress,https://en.wikipedia.org/wiki/104th_Congress
Frontline,https://en.wikipedia.org/wiki/Frontline_(U.S._TV_series)
Public Broadcasting Service,https://en.wikipedia.org/wiki/Public_Broadcasting_Service
Frontline,https://en.wikipedia.org/wiki/Frontline_(U.S._TV_series)
Public Broadcasting Service,https://en.wikipedia.org/wiki/Public_Broadcasting_Service
U.S. Institute of Peace,https://en.wikipedia.org/wiki/U.S._Institute_of_Peace
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
JoongAng Daily,https://en.wikipedia.org/wiki/JoongAng_Ilbo
Asia Times,https://en.wikipedia.org/wiki/Asia_Times
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Reuters,https://en.wikipedia.org/wiki/Reuters
The Korea Times,https://en.wikipedia.org/wiki/The_Korea_Times
