text,url
Brazil,https://en.wikipedia.org/wiki/Brazil
Egypt,https://en.wikipedia.org/wiki/Egypt
Ireland,https://en.wikipedia.org/wiki/Ireland
Mexico,https://en.wikipedia.org/wiki/Mexico
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
South Africa,https://en.wikipedia.org/wiki/South_Africa
middle power,https://en.wikipedia.org/wiki/Middle_power
NPT,https://en.wikipedia.org/wiki/Nuclear_Non-Proliferation_Treaty
Dublin,https://en.wikipedia.org/wiki/Dublin
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Sweden,https://en.wikipedia.org/wiki/Sweden
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapons
Nuclear Non-Proliferation Treaty,https://en.wikipedia.org/wiki/Nuclear_Non-Proliferation_Treaty
Brazil,https://en.wikipedia.org/wiki/Brazil
Egypt,https://en.wikipedia.org/wiki/Egypt
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Mexico,https://en.wikipedia.org/wiki/Mexico
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
South Africa,https://en.wikipedia.org/wiki/South_Africa
13 Steps,https://en.wikipedia.org/wiki/13_Steps
Humanitarian Initiative,https://en.wikipedia.org/wiki/Humanitarian_Initiative
