text,url
multilateral development bank,https://en.wikipedia.org/wiki/Multilateral_development_bank
BRICS,https://en.wikipedia.org/wiki/BRICS
loans,https://en.wikipedia.org/wiki/Loan
financial instruments,https://en.wikipedia.org/wiki/Financial_instrument
international organizations,https://en.wikipedia.org/wiki/International_organization
authorized capital,https://en.wikipedia.org/wiki/Authorized_capital
shares,https://en.wikipedia.org/wiki/Share_(finance)
Shanghai,https://en.wikipedia.org/wiki/Shanghai
Johannesburg,https://en.wikipedia.org/wiki/Johannesburg
São Paulo,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo
Ahmedabad,https://en.wikipedia.org/wiki/Ahmedabad
Moscow,https://en.wikipedia.org/wiki/Moscow
4th BRICS summit,https://en.wikipedia.org/wiki/4th_BRICS_summit
New Delhi,https://en.wikipedia.org/wiki/New_Delhi
US dollar,https://en.wikipedia.org/wiki/US_dollar
Euro,https://en.wikipedia.org/wiki/Euro
multilateral development bank,https://en.wikipedia.org/wiki/Multilateral_development_bank
5th BRICS summit,https://en.wikipedia.org/wiki/5th_BRICS_summit
Durban,https://en.wikipedia.org/wiki/Durban
6th BRICS summit,https://en.wikipedia.org/wiki/6th_BRICS_summit
Fortaleza,https://en.wikipedia.org/wiki/Fortaleza
reserve currency pool,https://en.wikipedia.org/wiki/Foreign-exchange_reserves
K.V. Kamath,https://en.wikipedia.org/wiki/K.V._Kamath
Indian prime minister,https://en.wikipedia.org/wiki/Prime_Minister_of_India
Narendra Modi,https://en.wikipedia.org/wiki/Narendra_Modi
K. V. Kamath,https://en.wikipedia.org/wiki/K._V._Kamath
Shanghai,https://en.wikipedia.org/wiki/Shanghai
green financial bond,https://en.wikipedia.org/wiki/Climate_bond
RMB,https://en.wikipedia.org/wiki/RMB
renminbi,https://en.wikipedia.org/wiki/Renminbi
S&P,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
Fitch,https://en.wikipedia.org/wiki/Fitch_Ratings
K. V. Kamath,https://en.wikipedia.org/wiki/K._V._Kamath
Marcos Prado Troyjo,https://en.wikipedia.org/wiki/Marcos_Prado_Troyjo
Luiz Inácio Lula da Silva,https://en.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva
Dilma Rousseff,https://en.wikipedia.org/wiki/Dilma_Rousseff
Brazil,https://en.wikipedia.org/wiki/Brazil
Russia,https://en.wikipedia.org/wiki/Russia
India,https://en.wikipedia.org/wiki/India
China,https://en.wikipedia.org/wiki/China
South Africa,https://en.wikipedia.org/wiki/South_Africa
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Egypt,https://en.wikipedia.org/wiki/Egypt
Algeria,https://en.wikipedia.org/wiki/Algeria
Colombia,https://en.wikipedia.org/wiki/Colombia
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
members of the United Nations,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
Algeria,https://en.wikipedia.org/wiki/Algeria
Honduras,https://en.wikipedia.org/wiki/Honduras
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Brazil,https://en.wikipedia.org/wiki/Brazil
Russia,https://en.wikipedia.org/wiki/Russia
India,https://en.wikipedia.org/wiki/India
China,https://en.wikipedia.org/wiki/China
South Africa,https://en.wikipedia.org/wiki/South_Africa
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Algeria,https://en.wikipedia.org/wiki/Algeria
Egypt,https://en.wikipedia.org/wiki/Egypt
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Colombia,https://en.wikipedia.org/wiki/Colombia
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
cooperate,https://en.wikipedia.org/wiki/Cooperation
environment protection,https://en.wikipedia.org/wiki/Environmental_protection
K. V. Kamath,https://en.wikipedia.org/wiki/K._V._Kamath
Rio Grande do Sul,https://en.wikipedia.org/wiki/Rio_Grande_do_Sul
2024 floods,https://en.wikipedia.org/wiki/2024_Rio_Grande_do_Sul_floods
bond,https://en.wikipedia.org/wiki/Bond_(finance)
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
World Bank,https://en.wikipedia.org/wiki/World_Bank
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
Financial Fund for the Development of the River Plate Basin,https://en.wikipedia.org/wiki/Plata_Basin_Financial_Development_Fund
European Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development
Asian Infrastructure Investment Bank,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank
Caribbean Development Bank,https://en.wikipedia.org/wiki/Caribbean_Development_Bank
Eurasian Development Bank,https://en.wikipedia.org/wiki/Eurasian_Development_Bank
International Investment Bank,https://en.wikipedia.org/wiki/International_Investment_Bank
Development Bank of Latin America and the Caribbean,https://en.wikipedia.org/wiki/CAF_%E2%80%93_Development_Bank_of_Latin_America_and_the_Caribbean
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Islamic Development Bank,https://en.wikipedia.org/wiki/Islamic_Development_Bank
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Development Bank of Southern Africa,https://en.wikipedia.org/wiki/Development_Bank_of_Southern_Africa
Agricultural Development Bank of China,https://en.wikipedia.org/wiki/Agricultural_Development_Bank_of_China
Exim Bank of China,https://en.wikipedia.org/wiki/Exim_Bank_of_China
China Development Bank,https://en.wikipedia.org/wiki/China_Development_Bank
Brazilian National Bank for Economic and Social Development,https://en.wikipedia.org/wiki/Brazilian_Development_Bank
Nobel Prize,https://en.wikipedia.org/wiki/Nobel_Prize
Joseph Stiglitz,https://en.wikipedia.org/wiki/Joseph_Stiglitz
power,https://en.wikipedia.org/wiki/Power_(social_and_political)
resources,https://en.wikipedia.org/wiki/Resource
Suisheng Zhao,https://en.wikipedia.org/wiki/Suisheng_Zhao
Li Keqiang,https://en.wikipedia.org/wiki/Li_Keqiang
global financial system,https://en.wikipedia.org/wiki/Global_financial_system
Lou Jiwei,https://en.wikipedia.org/wiki/Lou_Jiwei
news conference,https://en.wikipedia.org/wiki/News_conference
G20,https://en.wikipedia.org/wiki/G-20_major_economies
demand,https://en.wikipedia.org/wiki/Demand
VTB,https://en.wikipedia.org/wiki/VTB
CEO,https://en.wikipedia.org/wiki/Chief_executive_officer
Andrey Kostin,https://en.wikipedia.org/wiki/Andrey_Kostin
institutionalization,https://en.wikipedia.org/wiki/Institutionalisation
Reserve Bank of India,https://en.wikipedia.org/wiki/Reserve_Bank_of_India
Raghuram Rajan,https://en.wikipedia.org/wiki/Raghuram_Rajan
Mobius strip,https://en.wikipedia.org/wiki/M%C3%B6bius_strip
propeller,https://en.wikipedia.org/wiki/Propeller
sustainability,https://en.wikipedia.org/wiki/Sustainability
agility,https://en.wikipedia.org/wiki/Agility
innovation,https://en.wikipedia.org/wiki/Innovation
continuous transformation,https://en.wikipedia.org/wiki/Transformation_(function)
K. V. Kamath,https://en.wikipedia.org/wiki/K._V._Kamath
MBA,https://en.wikipedia.org/wiki/MBA
"Indian Institute of Management, Ahmedabad",https://en.wikipedia.org/wiki/Indian_Institute_of_Management_Ahmedabad
Infosys Limited,https://en.wikipedia.org/wiki/Infosys_Limited
ICICI Bank,https://en.wikipedia.org/wiki/ICICI_Bank
Marcos Prado Troyjo,https://en.wikipedia.org/wiki/Marcos_Prado_Troyjo
Dilma Rousseff,https://en.wikipedia.org/wiki/Dilma_Rousseff
Federal University of Rio Grande do Sul,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Sul
President of Brazil,https://en.wikipedia.org/wiki/President_of_Brazil
Chief of Staff of the Presidency in Brazil,https://en.wikipedia.org/wiki/Chief_of_Staff_of_the_Presidency
Minister of Mines and Energy in Brazil,https://en.wikipedia.org/wiki/Ministry_of_Mines_and_Energy_(Brazil)
