text,url
International Council for the Exploration of the Sea,https://en.wikipedia.org/wiki/International_Council_for_the_Exploration_of_the_Sea
marine scientific research,https://en.wikipedia.org/wiki/Oceanography
Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Canada,https://en.wikipedia.org/wiki/Canada
Japan,https://en.wikipedia.org/wiki/Japan
United States of America,https://en.wikipedia.org/wiki/United_States
People's Republic of China,https://en.wikipedia.org/wiki/China
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Russian Federation,https://en.wikipedia.org/wiki/Russia
Republic of Korea,https://en.wikipedia.org/wiki/Republic_of_Korea
Republic of Mexico,https://en.wikipedia.org/wiki/Mexico
Democratic People's Republic of Korea,https://en.wikipedia.org/wiki/Democratic_People%E2%80%99s_Republic_of_Korea
Institute of Ocean Sciences,https://en.wikipedia.org/wiki/Institute_of_Ocean_Sciences
Patricia Bay,https://en.wikipedia.org/wiki/Patricia_Bay
British Columbia,https://en.wikipedia.org/wiki/British_Columbia
United Nations Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
Vancouver,https://en.wikipedia.org/wiki/Vancouver
Atlantic Ocean,https://en.wikipedia.org/wiki/Atlantic_Ocean
Ottawa,https://en.wikipedia.org/wiki/Ottawa
Seattle,https://en.wikipedia.org/wiki/Seattle
Victoria,"https://en.wikipedia.org/wiki/Victoria,_British_Columbia"
GLOBEC,https://en.wikipedia.org/wiki/GLOBEC
climate,https://en.wikipedia.org/wiki/Climate_change
marine ecosystem,https://en.wikipedia.org/wiki/Marine_ecosystem
global warming,https://en.wikipedia.org/wiki/Global_warming
ocean acidification,https://en.wikipedia.org/wiki/Ocean_acidification
fisheries,https://en.wikipedia.org/wiki/Fishery
fish stocks,https://en.wikipedia.org/wiki/Fish_stocks
algal blooms,https://en.wikipedia.org/wiki/Algal_bloom
invasive,https://en.wikipedia.org/wiki/Invasive_species
Fraser River,https://en.wikipedia.org/wiki/Fraser_River
salmon,https://en.wikipedia.org/wiki/Sockeye_salmon
tsunami,https://en.wikipedia.org/wiki/Tsunami
Ciguatera fish poisoning,https://en.wikipedia.org/wiki/Ciguatera_fish_poisoning
Sea turtle,https://en.wikipedia.org/wiki/Sea_turtle
La Jolla,https://en.wikipedia.org/wiki/La_Jolla
Capacity building,https://en.wikipedia.org/wiki/Capacity_building
developing economies,https://en.wikipedia.org/wiki/Developing_economies
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
"Cazenave, A.",https://en.wikipedia.org/wiki/Anny_Cazenave
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
