text,url
human health,https://en.wikipedia.org/wiki/Human_health
communicable diseases,https://en.wikipedia.org/wiki/Communicable_diseases
non-communicable diseases,https://en.wikipedia.org/wiki/Non-communicable_disease
quality of life,https://en.wikipedia.org/wiki/Quality_of_life
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Norway,https://en.wikipedia.org/wiki/Norway
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Germany,https://en.wikipedia.org/wiki/Germany
Iceland,https://en.wikipedia.org/wiki/Iceland
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Sweden,https://en.wikipedia.org/wiki/Sweden
European Commission,https://en.wikipedia.org/wiki/European_Commission
Council of the Baltic Sea States,https://en.wikipedia.org/wiki/Council_of_the_Baltic_Sea_States
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
International Organisation for Migration,https://en.wikipedia.org/wiki/International_Organisation_for_Migration
Nordic Council of Ministers,https://en.wikipedia.org/wiki/Nordic_Council_of_Ministers
Joint United Nations Programme on HIV/AIDS,https://en.wikipedia.org/wiki/Joint_United_Nations_Programme_on_HIV/AIDS
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
