text,url
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
United Nations,https://en.wikipedia.org/wiki/United_Nations
Security Council Resolution 1888,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1888
Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton
Margot Wallström,https://en.wikipedia.org/wiki/Margot_Wallstr%C3%B6m
Pramila Patten,https://en.wikipedia.org/wiki/Pramila_Patten
Mauritius,https://en.wikipedia.org/wiki/Mauritius
António Guterres,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Guterres
Department of Peacekeeping Operations,https://en.wikipedia.org/wiki/United_Nations_Department_of_Peacekeeping_Operations
Office of the High Commissioner for Human Rights,https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights
UN Development Programme,https://en.wikipedia.org/wiki/UN_Development_Programme
Margot Wallström,https://en.wikipedia.org/wiki/Margot_Wallstr%C3%B6m
Zainab Hawa Bagura,https://en.wikipedia.org/wiki/Zainab_Bangura
Department of Peacekeeping Operations,https://en.wikipedia.org/wiki/United_Nations_Department_of_Peacekeeping_Operations
Office of the High Commissioner for Human Rights,https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Sweden,https://en.wikipedia.org/wiki/Sweden
Security Council Resolution 1888,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1888
1820,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1820
1888,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1888
1960,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1960
2106,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_2106
Pramila Patten,https://en.wikipedia.org/wiki/Pramila_Patten
Department of Peacekeeping Operations,https://en.wikipedia.org/wiki/Department_of_Peacekeeping_Operations
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
International Organization for Migration,https://en.wikipedia.org/wiki/International_Organization_for_Migration
International Trade Centre,https://en.wikipedia.org/wiki/International_Trade_Centre
Joint United Nations Program of HIV/AIDS,https://en.wikipedia.org/wiki/Joint_United_Nations_Program_of_HIV/AIDS
Office for the Coordination of Humanitarian Affairs,https://en.wikipedia.org/wiki/Office_for_the_Coordination_of_Humanitarian_Affairs
Office of the High Commissioner for Human Rights,https://en.wikipedia.org/wiki/Office_of_the_High_Commissioner_for_Human_Rights
United Nations Department of Global Communications,https://en.wikipedia.org/wiki/United_Nations_Department_of_Global_Communications
", United Nations Entity for Gender Equality and the Empowerment of Women",https://en.wikipedia.org/wiki/UN_Women
United Nations Environment Programme,https://en.wikipedia.org/wiki/United_Nations_Environment_Programme
United Nations Children's Fund,https://en.wikipedia.org/wiki/United_Nations_Children%27s_Fund
United Nations Department of Political Affairs,https://en.wikipedia.org/wiki/United_Nations_Department_of_Political_Affairs
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
United Nations High Commissioner for Refugees,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees
United Nations Office for Disarmament Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_Disarmament_Affairs
United Nations Office on Drugs and Crime,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime
United Nations Population Fund,https://en.wikipedia.org/wiki/United_Nations_Population_Fund
World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
1820,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1820
1888,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1888
1960,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1960
Margot Wallström,https://en.wikipedia.org/wiki/Margot_Wallstr%C3%B6m
Sweden,https://en.wikipedia.org/wiki/Sweden
Zainab Bangura,https://en.wikipedia.org/wiki/Zainab_Bangura
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Pramila Patten,https://en.wikipedia.org/wiki/Pramila_Patten
Mauritius,https://en.wikipedia.org/wiki/Mauritius
