text,url
profit,https://en.wikipedia.org/wiki/Profit_(economics)
Baghdad,https://en.wikipedia.org/wiki/Baghdad
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Venezuela,https://en.wikipedia.org/wiki/Venezuela
global oil production,https://en.wikipedia.org/wiki/List_of_countries_by_oil_production
Middle East,https://en.wikipedia.org/wiki/Middle_East
oligopoly,https://en.wikipedia.org/wiki/Oligopoly
Seven Sisters,https://en.wikipedia.org/wiki/Seven_Sisters_(oil_companies)
restrictions in oil production,https://en.wikipedia.org/wiki/1970s_energy_crisis
national sovereignty over natural resources,https://en.wikipedia.org/wiki/Nationalization_of_oil_supplies
international relations,https://en.wikipedia.org/wiki/Petroleum_politics
cartel,https://en.wikipedia.org/wiki/Cartel
market competition,https://en.wikipedia.org/wiki/Competition_(economics)
state immunity,https://en.wikipedia.org/wiki/State_immunity
coup against Mohammad Mosaddegh,https://en.wikipedia.org/wiki/1953_Iranian_coup_d%27%C3%A9tat
Swissotel,https://en.wikipedia.org/wiki/Swissotel
Quito,https://en.wikipedia.org/wiki/Quito
Ecuador,https://en.wikipedia.org/wiki/Ecuador
OPEC secretary general,https://en.wikipedia.org/wiki/List_of_Secretaries_General_of_OPEC
swing producer,https://en.wikipedia.org/wiki/Swing_producer
cartel,https://en.wikipedia.org/wiki/Cartel
OECD,https://en.wikipedia.org/wiki/OECD
US Energy Information Administration,https://en.wikipedia.org/wiki/US_Energy_Information_Administration
Seven Sisters,https://en.wikipedia.org/wiki/Seven_Sisters_(oil_companies)
prisoner's dilemma,https://en.wikipedia.org/wiki/Prisoner%27s_dilemma
collective action,https://en.wikipedia.org/wiki/Collective_action_problem
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Foreign Sovereign Immunities Act,https://en.wikipedia.org/wiki/Foreign_Sovereign_Immunities_Act
competition law,https://en.wikipedia.org/wiki/Competition_law
NOPEC,https://en.wikipedia.org/wiki/NOPEC
natural resource curse,https://en.wikipedia.org/wiki/Resource_curse#Effects
religion-linked,https://en.wikipedia.org/wiki/Religious_war
conflicts in the Middle East,https://en.wikipedia.org/wiki/List_of_conflicts_in_the_Middle_East
Six-Day War,https://en.wikipedia.org/wiki/Six-Day_War
Yom Kippur War,https://en.wikipedia.org/wiki/Yom_Kippur_War
hostage siege directed by Palestinian militants,https://en.wikipedia.org/wiki/OPEC_siege
Iranian Revolution,https://en.wikipedia.org/wiki/Iranian_Revolution
Iran–Iraq War,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War
Iraqi occupation of Kuwait,https://en.wikipedia.org/wiki/Gulf_War
September 11 attacks,https://en.wikipedia.org/wiki/September_11_attacks
American occupation of Iraq,https://en.wikipedia.org/wiki/History_of_Iraq_(2003%E2%80%932011)
Conflict in the Niger Delta,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta
Arab Spring,https://en.wikipedia.org/wiki/Arab_Spring
Libyan Crisis,https://en.wikipedia.org/wiki/Libyan_Crisis
Embargo against Iran,https://en.wikipedia.org/wiki/Embargo_against_Iran
Venezuela,https://en.wikipedia.org/wiki/United_States_of_Venezuela
World War II,https://en.wikipedia.org/wiki/World_War_II
oil fields,https://en.wikipedia.org/wiki/List_of_oil_fields
Interstate Oil Compact Commission,https://en.wikipedia.org/wiki/Interstate_Oil_Compact_Commission
Texas Railroad Commission,https://en.wikipedia.org/wiki/Texas_Railroad_Commission
multinational companies,https://en.wikipedia.org/wiki/Multinational_companies
Seven Sisters,https://en.wikipedia.org/wiki/Seven_Sisters_(oil_companies)
John D. Rockefeller,https://en.wikipedia.org/wiki/John_D._Rockefeller
Standard Oil,https://en.wikipedia.org/wiki/Standard_Oil
economic power,https://en.wikipedia.org/wiki/Economic_power
Arab League,https://en.wikipedia.org/wiki/Arab_League
Arab Petroleum Congress,https://en.wikipedia.org/wiki/Arab_Petroleum_Congress
Wanda Jablonski,https://en.wikipedia.org/wiki/Wanda_Jablonski
Abdullah Tariki,https://en.wikipedia.org/wiki/Abdullah_Tariki
Juan Pablo Pérez Alfonzo,https://en.wikipedia.org/wiki/Juan_Pablo_P%C3%A9rez_Alfonzo
Gentlemen's Agreement,https://en.wikipedia.org/wiki/Gentlemen%27s_agreement
absentee landlordism,https://en.wikipedia.org/wiki/Absentee_landlord
Abd al-Karim Qasim,https://en.wikipedia.org/wiki/Abd_al-Karim_Qasim
Baghdad,https://en.wikipedia.org/wiki/Baghdad
Geneva,https://en.wikipedia.org/wiki/Geneva
Vienna,https://en.wikipedia.org/wiki/Vienna
diplomatic privileges,https://en.wikipedia.org/wiki/Diplomatic_privileges
Occidental,https://en.wikipedia.org/wiki/Occidental_Petroleum
Mediterranean Sea,https://en.wikipedia.org/wiki/Mediterranean_Sea
Qatar,https://en.wikipedia.org/wiki/Qatar
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Libya,https://en.wikipedia.org/wiki/Kingdom_of_Libya
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Emirate of Abu Dhabi,https://en.wikipedia.org/wiki/Emirate_of_Abu_Dhabi
Algeria,https://en.wikipedia.org/wiki/Algeria
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Gabon,https://en.wikipedia.org/wiki/Gabon
Mohammed Barkindo,https://en.wikipedia.org/wiki/Mohammed_Barkindo
Angola,https://en.wikipedia.org/wiki/Angola
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Organisation of Arab Petroleum Exporting Countries,https://en.wikipedia.org/wiki/Organization_of_Arab_Petroleum_Exporting_Countries
embargo,https://en.wikipedia.org/wiki/Embargo
Yom Kippur War,https://en.wikipedia.org/wiki/Yom_Kippur_War
previous embargo attempt,https://en.wikipedia.org/wiki/1967_Oil_Embargo
Six-Day War,https://en.wikipedia.org/wiki/Six-Day_War
rationing,https://en.wikipedia.org/wiki/Rationing
three-day workweek,https://en.wikipedia.org/wiki/Three-Day_Week
global economic recession,https://en.wikipedia.org/wiki/1973%E2%80%931975_recession
unemployment and inflation surging simultaneously,https://en.wikipedia.org/wiki/Stagflation
trade balances,https://en.wikipedia.org/wiki/Trade_balance
petrodollar flows,https://en.wikipedia.org/wiki/Petrodollar_recycling
post-WWII economic boom,https://en.wikipedia.org/wiki/Post%E2%80%93World_War_II_economic_expansion
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
emergency stockpiles,https://en.wikipedia.org/wiki/Global_strategic_petroleum_reserves
conservation,https://en.wikipedia.org/wiki/Energy_conservation
energy-efficient,https://en.wikipedia.org/wiki/Efficient_energy_use
daylight saving time,https://en.wikipedia.org/wiki/Daylight_saving_time
heating and air-conditioning,https://en.wikipedia.org/wiki/HVAC
building insulation,https://en.wikipedia.org/wiki/Building_insulation
mass transit,https://en.wikipedia.org/wiki/Mass_transit
coal,https://en.wikipedia.org/wiki/Coal
natural gas,https://en.wikipedia.org/wiki/Natural_gas
ethanol,https://en.wikipedia.org/wiki/Ethanol_fuel
nuclear,https://en.wikipedia.org/wiki/Nuclear_power
alternative energy,https://en.wikipedia.org/wiki/Alternative_energy
real GDP,https://en.wikipedia.org/wiki/Real_GDP
Non-Aligned Movement,https://en.wikipedia.org/wiki/Non-Aligned_Movement
developing countries,https://en.wikipedia.org/wiki/Developing_countries
Houari Boumédiène,https://en.wikipedia.org/wiki/Houari_Boum%C3%A9di%C3%A8ne
international aid,https://en.wikipedia.org/wiki/International_aid
Kuwait Fund for Arab Economic Development,https://en.wikipedia.org/wiki/Kuwait_Fund_for_Arab_Economic_Development
checkbook diplomacy,https://en.wikipedia.org/wiki/Checkbook_diplomacy
"Algiers, Algeria","https://en.wikipedia.org/wiki/Algiers,_Algeria"
OPEC Fund for International Development,https://en.wikipedia.org/wiki/OPEC_Fund_for_International_Development
Ahmed Zaki Yamani,https://en.wikipedia.org/wiki/Ahmed_Zaki_Yamani
Jamshid Amuzegar,https://en.wikipedia.org/wiki/Jamshid_Amuzegar
"Vienna, Austria","https://en.wikipedia.org/wiki/Vienna,_Austria"
Carlos the Jackal,https://en.wikipedia.org/wiki/Carlos_the_Jackal
Gabriele Kröcher-Tiedemann,https://en.wikipedia.org/wiki/Gabriele_Kr%C3%B6cher-Tiedemann
Hans-Joachim Klein,https://en.wikipedia.org/wiki/Hans-Joachim_Klein
Palestine,https://en.wikipedia.org/wiki/Palestine_(region)
Algiers,https://en.wikipedia.org/wiki/Algiers
