text,url
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Portuguese,https://en.wikipedia.org/wiki/Portuguese_language
French,https://en.wikipedia.org/wiki/French_language
international organization,https://en.wikipedia.org/wiki/International_organization
Americas,https://en.wikipedia.org/wiki/Americas
Council on Foreign Relations,https://en.wikipedia.org/wiki/Council_on_Foreign_Relations
32 states,https://en.wikipedia.org/wiki/Member_states_of_the_Organization_of_American_States
Albert Ramdin,https://en.wikipedia.org/wiki/Albert_Ramdin
Luis Almagro,https://en.wikipedia.org/wiki/Luis_Almagro
Pan American Union Building,https://en.wikipedia.org/wiki/Pan_American_Union_Building
"Washington, D. C.","https://en.wikipedia.org/wiki/Washington,_D._C."
José de San Martín,https://en.wikipedia.org/wiki/Jos%C3%A9_de_San_Mart%C3%ADn
Simón Bolívar,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar
Congress of Panama,https://en.wikipedia.org/wiki/Congress_of_Panama
Colombia,https://en.wikipedia.org/wiki/Colombia
Gran Colombia,https://en.wikipedia.org/wiki/Gran_Colombia
Colombia,https://en.wikipedia.org/wiki/Colombia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Panama,https://en.wikipedia.org/wiki/Panama
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Argentina,https://en.wikipedia.org/wiki/Argentina
Peru,https://en.wikipedia.org/wiki/Peru
Bolivia,https://en.wikipedia.org/wiki/Bolivia
United Provinces of Central America,https://en.wikipedia.org/wiki/United_Provinces_of_Central_America
national,https://en.wikipedia.org/wiki/Nationalism
International Conference of American States,https://en.wikipedia.org/wiki/International_Conference_of_American_States
General Secretariat,https://en.wikipedia.org/wiki/Secretary_(title)
Pan American Union headquarters building,https://en.wikipedia.org/wiki/Pan_American_Union_Building
International Conference of American States,https://en.wikipedia.org/wiki/International_Conference_of_American_States
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Pan American Union Building,https://en.wikipedia.org/wiki/Pan_American_Union_Building
Constitution Avenue,https://en.wikipedia.org/wiki/Constitution_Avenue
"Northwest, Washington, D.C.","https://en.wikipedia.org/wiki/Northwest,_Washington,_D.C."
Franklin Delano Roosevelt,https://en.wikipedia.org/wiki/Franklin_Delano_Roosevelt
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
collective security,https://en.wikipedia.org/wiki/Collective_security
Inter-American Treaty of Reciprocal Assistance,https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
International Conference of American States,https://en.wikipedia.org/wiki/International_Conference_of_American_States
Bogotá,https://en.wikipedia.org/wiki/Bogot%C3%A1
United States Secretary of State,https://en.wikipedia.org/wiki/United_States_Secretary_of_State
George Marshall,https://en.wikipedia.org/wiki/George_Marshall
western hemisphere,https://en.wikipedia.org/wiki/Western_hemisphere
Charter of the Organization of American States,https://en.wikipedia.org/wiki/Charter_of_the_Organization_of_American_States
American Declaration of the Rights and Duties of Man,https://en.wikipedia.org/wiki/American_Declaration_of_the_Rights_and_Duties_of_Man
Jorge Eliécer Gaitán,https://en.wikipedia.org/wiki/Jorge_Eli%C3%A9cer_Gait%C3%A1n
Alberto Lleras Camargo,https://en.wikipedia.org/wiki/Alberto_Lleras_Camargo
Secretary General,https://en.wikipedia.org/wiki/Secretary_General_of_the_Organization_of_American_States
2019 Bolivian general election,https://en.wikipedia.org/wiki/2019_Bolivian_general_election
2019 Bolivian political crisis,https://en.wikipedia.org/wiki/2019_Bolivian_political_crisis
Evo Morales,https://en.wikipedia.org/wiki/Evo_Morales
left-leaning,https://en.wikipedia.org/wiki/Left-leaning
CEPR,https://en.wikipedia.org/wiki/Center_for_Economic_and_Policy_Research
2020 Bolivian general election,https://en.wikipedia.org/wiki/2020_Bolivian_general_election
The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Nicaraguan general election,https://en.wikipedia.org/wiki/2021_Nicaraguan_general_election
Inter-American Commission on Human Rights,https://en.wikipedia.org/wiki/Inter-American_Commission_on_Human_Rights
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
Inter-American Treaty of Reciprocal Assistance,https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance
Rafael Trujillo,https://en.wikipedia.org/wiki/Rafael_Trujillo
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Alliance for Progress,https://en.wikipedia.org/wiki/Alliance_for_Progress
Cuba,https://en.wikipedia.org/wiki/Cuba
American Convention on Human Rights,https://en.wikipedia.org/wiki/American_Convention_on_Human_Rights
OAS General Assembly,https://en.wikipedia.org/wiki/General_Assembly_of_the_Organization_of_American_States
Inter-American Court of Human Rights,https://en.wikipedia.org/wiki/Inter-American_Court_of_Human_Rights
Permanent Council,https://en.wikipedia.org/wiki/Permanent_Council_of_the_Organization_of_American_States
coup d'état,https://en.wikipedia.org/wiki/Coup_d%27%C3%A9tat
Summit of the Americas,https://en.wikipedia.org/wiki/Summit_of_the_Americas
Miami,https://en.wikipedia.org/wiki/Miami
Free Trade Area of the Americas,https://en.wikipedia.org/wiki/Free_Trade_Area_of_the_Americas
Inter-American Democratic Charter,https://en.wikipedia.org/wiki/Inter-American_Democratic_Charter
Cuba,https://en.wikipedia.org/wiki/Cuba
coup,https://en.wikipedia.org/wiki/2009_Honduran_coup_d%27%C3%A9tat
Manuel Zelaya,https://en.wikipedia.org/wiki/Manuel_Zelaya
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Venezuela's political crisis,https://en.wikipedia.org/wiki/Crisis_in_Bolivarian_Venezuela
Venezuelan presidential crisis,https://en.wikipedia.org/wiki/Venezuelan_presidential_crisis
President of the National Assembly,https://en.wikipedia.org/wiki/President_of_the_National_Assembly_of_Venezuela
Juan Guaidó,https://en.wikipedia.org/wiki/Juan_Guaid%C3%B3
National Assembly,https://en.wikipedia.org/wiki/National_Assembly_(Venezuela)
Gustavo Tarre Briceño,https://en.wikipedia.org/wiki/Gustavo_Tarre_Brice%C3%B1o
2019 Bolivian general election,https://en.wikipedia.org/wiki/2019_Bolivian_general_election
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
2021 election,https://en.wikipedia.org/wiki/2021_Nicaraguan_general_election
peace,https://en.wikipedia.org/wiki/World_peace
representative democracy,https://en.wikipedia.org/wiki/Representative_democracy
principle of non-intervention,https://en.wikipedia.org/wiki/Principle_of_non-intervention
"economic, social, and cultural development",https://en.wikipedia.org/wiki/Right_to_development
eradicate extreme poverty,https://en.wikipedia.org/wiki/Poverty_reduction
Cold War,https://en.wikipedia.org/wiki/Cold_War
globalization,https://en.wikipedia.org/wiki/Globalization
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Suriname,https://en.wikipedia.org/wiki/Suriname
Haiti,https://en.wikipedia.org/wiki/Haiti
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Belize,https://en.wikipedia.org/wiki/Belize
Peru,https://en.wikipedia.org/wiki/Peru
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Defending human rights,https://en.wikipedia.org/wiki/Human_rights_defenders
inter-continental free trade area,https://en.wikipedia.org/wiki/Free_Trade_Area_of_the_Americas
Alaska,https://en.wikipedia.org/wiki/Alaska
Tierra del Fuego,https://en.wikipedia.org/wiki/Tierra_del_Fuego
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
sustainable tourism,https://en.wikipedia.org/wiki/Sustainable_tourism
U.S. Secretary of State,https://en.wikipedia.org/wiki/United_States_Secretary_of_State
Mike Pompeo,https://en.wikipedia.org/wiki/Mike_Pompeo
Permanent Council,https://en.wikipedia.org/wiki/Permanent_Council_of_the_Organization_of_American_States
