text,url
international organization,https://en.wikipedia.org/wiki/International_organization
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
Turgut Özal,https://en.wikipedia.org/wiki/Turgut_%C3%96zal
Istanbul,https://en.wikipedia.org/wiki/Istanbul
Bosphorus,https://en.wikipedia.org/wiki/Bosphorus
Istanbul,https://en.wikipedia.org/wiki/Istanbul
Konrad Adenauer Foundation,https://en.wikipedia.org/wiki/Konrad_Adenauer_Foundation
ERENET,https://en.wikipedia.org/wiki/ERENET
Albania,https://en.wikipedia.org/wiki/Albania
Tirana,https://en.wikipedia.org/wiki/Tirana
Armenia,https://en.wikipedia.org/wiki/Armenia
Yerevan,https://en.wikipedia.org/wiki/Yerevan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Baku,https://en.wikipedia.org/wiki/Baku
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Sofia,https://en.wikipedia.org/wiki/Sofia
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Tbilisi,https://en.wikipedia.org/wiki/Tbilisi
Greece,https://en.wikipedia.org/wiki/Greece
Athens,https://en.wikipedia.org/wiki/Athens
Moldova,https://en.wikipedia.org/wiki/Moldova
Chișinău,https://en.wikipedia.org/wiki/Chi%C8%99in%C4%83u
Romania,https://en.wikipedia.org/wiki/Romania
Bucharest,https://en.wikipedia.org/wiki/Bucharest
Russia,https://en.wikipedia.org/wiki/Russia
Moscow,https://en.wikipedia.org/wiki/Moscow
Turkey,https://en.wikipedia.org/wiki/Turkey
Ankara,https://en.wikipedia.org/wiki/Ankara
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Kyiv,https://en.wikipedia.org/wiki/Kyiv
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Skopje,https://en.wikipedia.org/wiki/Skopje
Serbia,https://en.wikipedia.org/wiki/Serbia
Belgrade,https://en.wikipedia.org/wiki/Belgrade
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Republic of Cyprus,https://en.wikipedia.org/wiki/Cyprus
Austria,https://en.wikipedia.org/wiki/Austria
Belarus,https://en.wikipedia.org/wiki/Belarus
Croatia,https://en.wikipedia.org/wiki/Croatia
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Egypt,https://en.wikipedia.org/wiki/Egypt
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Hungary,https://en.wikipedia.org/wiki/Hungary
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Poland,https://en.wikipedia.org/wiki/Poland
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Tunisia,https://en.wikipedia.org/wiki/Tunisia
United States,https://en.wikipedia.org/wiki/United_States
International Black Sea Club,https://en.wikipedia.org/wiki/International_Black_Sea_Club
Energy Charter,https://en.wikipedia.org/wiki/Energy_Charter
European Commission,https://en.wikipedia.org/wiki/European_Commission
Iran,https://en.wikipedia.org/wiki/Iran
Japan,https://en.wikipedia.org/wiki/Japan
Montenegro,https://en.wikipedia.org/wiki/Montenegro
South Korea,https://en.wikipedia.org/wiki/South_Korea
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Black Sea Universities Network,https://en.wikipedia.org/wiki/Black_Sea_Universities_Network
Danube Commission,https://en.wikipedia.org/wiki/Danube_Commission
World Tourism Organization,https://en.wikipedia.org/wiki/World_Tourism_Organization
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
TRACECA,https://en.wikipedia.org/wiki/TRACECA
Interparliamentary Assembly on Orthodoxy,https://en.wikipedia.org/wiki/Interparliamentary_Assembly_on_Orthodoxy
Parliamentary Assembly of the Mediterranean,https://en.wikipedia.org/wiki/Parliamentary_Assembly_of_the_Mediterranean
United Nations,https://en.wikipedia.org/wiki/United_Nations
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
United Nations Economic Commission for Europe,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe
United Nations Industrial Development Organization,https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Greece,https://en.wikipedia.org/wiki/Greece
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Serbia,https://en.wikipedia.org/wiki/Serbia
Serbia and Montenegro,https://en.wikipedia.org/wiki/Serbia_and_Montenegro
English,https://en.wikipedia.org/wiki/English_language
French,https://en.wikipedia.org/wiki/French_language
Russian,https://en.wikipedia.org/wiki/Russian_language
Turkish,https://en.wikipedia.org/wiki/Turkish_language
Archil Talakvadze,https://en.wikipedia.org/wiki/Archil_Talakvadze
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Anush Beghloyan,https://en.wikipedia.org/wiki/Anush_Begloian
Armenia,https://en.wikipedia.org/wiki/Armenia
financial institution,https://en.wikipedia.org/wiki/Financial_institution
Black Sea Trade and Development Bank,https://en.wikipedia.org/wiki/Black_Sea_Trade_and_Development_Bank
United Nations,https://en.wikipedia.org/wiki/United_Nations
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
credit rating,https://en.wikipedia.org/wiki/Credit_rating
Moody's Investors Service,https://en.wikipedia.org/wiki/Moody%27s_Investors_Service
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
Turkey,https://en.wikipedia.org/wiki/Turkey
Russia,https://en.wikipedia.org/wiki/Russia
Romania,https://en.wikipedia.org/wiki/Romania
Armenia,https://en.wikipedia.org/wiki/Armenia
Russia,https://en.wikipedia.org/wiki/Russia
Romania,https://en.wikipedia.org/wiki/Romania
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Romania,https://en.wikipedia.org/wiki/Romania
Romania,https://en.wikipedia.org/wiki/Romania
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Turkey,https://en.wikipedia.org/wiki/Turkey
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Black Sea Forum for Partnership and Dialogue,https://en.wikipedia.org/wiki/Black_Sea_Forum_for_Partnership_and_Dialogue
Black Sea Trade and Development Bank,https://en.wikipedia.org/wiki/Black_Sea_Trade_and_Development_Bank
Black Sea trade and economy,https://en.wikipedia.org/wiki/Black_Sea_trade_and_economy
Central European Free Trade Agreement,https://en.wikipedia.org/wiki/Central_European_Free_Trade_Agreement
Central European Initiative,https://en.wikipedia.org/wiki/Central_European_Initiative
EU Med Group,https://en.wikipedia.org/wiki/EU_Med_Group
International Centre for Black Sea Studies (ICBSS),https://en.wikipedia.org/wiki/International_Centre_for_Black_Sea_Studies_(ICBSS)
Southeast European Cooperation Process,https://en.wikipedia.org/wiki/Southeast_European_Cooperation_Process
Southeast European Cooperative Initiative,https://en.wikipedia.org/wiki/Southeast_European_Cooperative_Initiative
Southeast Europe Transport Community,https://en.wikipedia.org/wiki/Southeast_Europe_Transport_Community
Stability Pact for Southeastern Europe,https://en.wikipedia.org/wiki/Stability_Pact_for_Southeastern_Europe
Serbia and Montenegro,https://en.wikipedia.org/wiki/Serbia_and_Montenegro
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
