text,url
Turkic,https://en.wikipedia.org/wiki/Turkic_languages
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Turkey,https://en.wikipedia.org/wiki/Turkey
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Hungary,https://en.wikipedia.org/wiki/Hungary
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus
Turkic peoples,https://en.wikipedia.org/wiki/Turkic_peoples
Nursultan Nazarbayev,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev
Nakhchivan,https://en.wikipedia.org/wiki/Nakhchivan_(city)
Istanbul,https://en.wikipedia.org/wiki/Istanbul
Hungary,https://en.wikipedia.org/wiki/Hungary
Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Turkey,https://en.wikipedia.org/wiki/Turkey
Halil Akıncı,https://en.wikipedia.org/wiki/Halil_Ak%C4%B1nc%C4%B1
flag of the Turkic Council,https://en.wikipedia.org/wiki/Flag_of_the_Turkic_Council
Bishkek,https://en.wikipedia.org/wiki/Bishkek
flag of Kazakhstan,https://en.wikipedia.org/wiki/Flag_of_Kazakhstan
flag of Kyrgyzstan,https://en.wikipedia.org/wiki/Flag_of_Kyrgyzstan
flag of Azerbaijan,https://en.wikipedia.org/wiki/Flag_of_Azerbaijan
Turkish flag,https://en.wikipedia.org/wiki/Flag_of_Turkey
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Bishkek,https://en.wikipedia.org/wiki/Bishkek
Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Turkish_Republic_of_Northern_Cyprus
common alphabet,https://en.wikipedia.org/wiki/Common_Turkic_alphabet
Latin alphabet,https://en.wikipedia.org/wiki/Latin_alphabet
Cyrillic,https://en.wikipedia.org/wiki/Cyrillic
Soviet,https://en.wikipedia.org/wiki/Soviet
TURKPA,https://en.wikipedia.org/wiki/TURKPA
Baku State University,https://en.wikipedia.org/wiki/Baku_State_University
dissolution of the USSR,https://en.wikipedia.org/wiki/Dissolution_of_the_USSR
Charter of the United Nations,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
Secretariat,https://en.wikipedia.org/wiki/Secretariat_(administrative_office)
Aksakals,https://en.wikipedia.org/wiki/Aqsaqal
Turkic,https://en.wikipedia.org/wiki/Turkic_languages
Parliamentary Assembly of Turkic States,https://en.wikipedia.org/wiki/TURKPA
International Organization of Turkic Culture,https://en.wikipedia.org/wiki/International_Organization_of_Turkic_Culture
Turkic Academy,https://en.wikipedia.org/wiki/Turkic_Academy
Economic Cooperation Organization,https://en.wikipedia.org/wiki/Economic_Cooperation_Organization
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
