text,url
inter-governmental,https://en.wikipedia.org/wiki/Intergovernmentalism
organisation,https://en.wikipedia.org/wiki/Organisation
Oceania,https://en.wikipedia.org/wiki/Oceania
island countries,https://en.wikipedia.org/wiki/Island_country
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Council of Regional Organisations in the Pacific,https://en.wikipedia.org/wiki/Council_of_Regional_Organisations_in_the_Pacific
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Biketawa Declaration,https://en.wikipedia.org/wiki/Biketawa_Declaration
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Palau,https://en.wikipedia.org/wiki/Palau
Henry Puna,https://en.wikipedia.org/wiki/Henry_Puna
Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Nauru,https://en.wikipedia.org/wiki/Nauru
Prime Minister of Fiji,https://en.wikipedia.org/wiki/Prime_Minister_of_Fiji
Sitiveni Rabuka,https://en.wikipedia.org/wiki/Sitiveni_Rabuka
Kiribati president,https://en.wikipedia.org/wiki/President_of_Kiribati
Taneti Mamau,https://en.wikipedia.org/wiki/Taneti_Mamau
Pacific Community,https://en.wikipedia.org/wiki/Pacific_Community
international development,https://en.wikipedia.org/wiki/International_development
Cook Islander,https://en.wikipedia.org/wiki/Cook_Islands
Albert Henry,https://en.wikipedia.org/wiki/Albert_Henry_(politician)
South Pacific Commission,https://en.wikipedia.org/wiki/South_Pacific_Commission
Wellington,https://en.wikipedia.org/wiki/Wellington
President of Nauru,https://en.wikipedia.org/wiki/President_of_Nauru
Fiji,https://en.wikipedia.org/wiki/Fiji
Toke Talagi,https://en.wikipedia.org/wiki/Toke_Talagi
Premier of Niue,https://en.wikipedia.org/wiki/Premier_of_Niue
Fijian general election of 17 September 2014,https://en.wikipedia.org/wiki/2014_Fijian_general_election
Henry Puna,https://en.wikipedia.org/wiki/Henry_Puna
Palau,https://en.wikipedia.org/wiki/Palau
Gerald Zackios,https://en.wikipedia.org/wiki/Gerald_Zackios
Palau,https://en.wikipedia.org/wiki/Palau
Fiji,https://en.wikipedia.org/wiki/Fiji
Palau National Congress,https://en.wikipedia.org/wiki/Palau_National_Congress
Surangel Whipps Jr.,https://en.wikipedia.org/wiki/Surangel_Whipps_Jr.
