text,url
intergovernmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organisation
Apia,https://en.wikipedia.org/wiki/Apia
Samoa,https://en.wikipedia.org/wiki/Samoa
natural environment,https://en.wikipedia.org/wiki/Natural_environment
American Samoa,https://en.wikipedia.org/wiki/American_Samoa
Australia,https://en.wikipedia.org/wiki/Australia
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Fiji,https://en.wikipedia.org/wiki/Fiji
France,https://en.wikipedia.org/wiki/France
French Polynesia,https://en.wikipedia.org/wiki/French_Polynesia
Guam,https://en.wikipedia.org/wiki/Guam
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Nauru,https://en.wikipedia.org/wiki/Nauru
New Caledonia,https://en.wikipedia.org/wiki/New_Caledonia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Niue,https://en.wikipedia.org/wiki/Niue
Northern Mariana Islands,https://en.wikipedia.org/wiki/Northern_Mariana_Islands
Palau,https://en.wikipedia.org/wiki/Palau
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Samoa,https://en.wikipedia.org/wiki/Samoa
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Tokelau,https://en.wikipedia.org/wiki/Tokelau
Tonga,https://en.wikipedia.org/wiki/Tonga
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu
Wallis and Futuna,https://en.wikipedia.org/wiki/Wallis_and_Futuna
International treaty,https://en.wikipedia.org/wiki/International_treaty
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
