text,url
Polynesia,https://en.wikipedia.org/wiki/Polynesia
Melanesian Spearhead Group,https://en.wikipedia.org/wiki/Melanesian_Spearhead_Group
Melanesia,https://en.wikipedia.org/wiki/Melanesia
Samoan,https://en.wikipedia.org/wiki/Samoa
Prime Minister,https://en.wikipedia.org/wiki/Prime_Minister_of_Samoa
Tuilaepa Sa’ilele Malielegaoi,https://en.wikipedia.org/wiki/Tuilaepa_Aiono_Sailele_Malielegaoi
Tonga,https://en.wikipedia.org/wiki/Tonga
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Niue,https://en.wikipedia.org/wiki/Niue
Pacific Islands Forum,https://en.wikipedia.org/wiki/Pacific_Islands_Forum
Auckland,https://en.wikipedia.org/wiki/Auckland
Apia,https://en.wikipedia.org/wiki/Apia
memorandum of understanding,https://en.wikipedia.org/wiki/Memorandum_of_understanding
Rarotonga,https://en.wikipedia.org/wiki/Rarotonga
King Kamehameha V,https://en.wikipedia.org/wiki/King_Kamehameha_V
Hawaii,https://en.wikipedia.org/wiki/Kingdom_of_Hawaii
King Pomare V,https://en.wikipedia.org/wiki/Pomare_V
Tahiti,https://en.wikipedia.org/wiki/Kingdom_of_Tahiti
King Malietoa Laupepa,https://en.wikipedia.org/wiki/Malietoa_Laupepa
King George Tupou II,https://en.wikipedia.org/wiki/George_Tupou_II
Kingitanga,https://en.wikipedia.org/wiki/Kingitanga
Te Atairangikaahu,https://en.wikipedia.org/wiki/Te_Atairangikaahu
climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation
sovereign states,https://en.wikipedia.org/wiki/Sovereign_state
Samoa,https://en.wikipedia.org/wiki/Samoa
Tonga,https://en.wikipedia.org/wiki/Tonga
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
free association,https://en.wikipedia.org/wiki/Associated_state
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Niue,https://en.wikipedia.org/wiki/Niue
unincorporated territory,https://en.wikipedia.org/wiki/Unincorporated_territories_of_the_United_States
American Samoa,https://en.wikipedia.org/wiki/American_Samoa
overseas country,https://en.wikipedia.org/wiki/Overseas_country_of_France
French Polynesia,https://en.wikipedia.org/wiki/French_Polynesia
Tokelau,https://en.wikipedia.org/wiki/Tokelau
overseas collectivity,https://en.wikipedia.org/wiki/Overseas_collectivity
Wallis and Futuna,https://en.wikipedia.org/wiki/Wallis_and_Futuna
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
U.S. state,https://en.wikipedia.org/wiki/U.S._state
Hawaii,https://en.wikipedia.org/wiki/Hawaii
Chilean,https://en.wikipedia.org/wiki/Chile
Easter Island (Rapa Nui),https://en.wikipedia.org/wiki/Easter_Island
Premier,https://en.wikipedia.org/wiki/Premier_of_Niue
Toke Talagi,https://en.wikipedia.org/wiki/Toke_Talagi
Polynesian Triangle,https://en.wikipedia.org/wiki/Polynesian_Triangle
Enele Sopoaga,https://en.wikipedia.org/wiki/Enele_Sopoaga
decolonization,https://en.wikipedia.org/wiki/Decolonization
