text,url
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UNGA,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
geographic groups,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
African,https://en.wikipedia.org/wiki/African_Group
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific_Group
Eastern European,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American and Caribbean,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European and other States,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
permanent members of the United Nations Security Council,https://en.wikipedia.org/wiki/Permanent_members_of_the_United_Nations_Security_Council
Japan,https://en.wikipedia.org/wiki/Japan_and_the_United_Nations
Argentina,https://en.wikipedia.org/wiki/Argentina
Chile,https://en.wikipedia.org/wiki/Chile
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Hungary,https://en.wikipedia.org/wiki/Hungary
Nigeria,https://en.wikipedia.org/wiki/Nigeria
West Germany,https://en.wikipedia.org/wiki/West_Germany
East Germany,https://en.wikipedia.org/wiki/East_Germany
Cold War,https://en.wikipedia.org/wiki/Cold_War
a slate of 21 vice-presidents,https://en.wikipedia.org/wiki/United_Nations_General_Committee
Paul-Henri Spaak,https://en.wikipedia.org/wiki/Paul-Henri_Spaak
Belgium,https://en.wikipedia.org/wiki/Belgium
First,https://en.wikipedia.org/wiki/First_session_of_the_United_Nations_General_Assembly
Oswaldo Aranha,https://en.wikipedia.org/wiki/Oswaldo_Aranha
Brazil,https://en.wikipedia.org/wiki/Brazil
José Arce,https://en.wikipedia.org/wiki/Jos%C3%A9_Arce
Argentina,https://en.wikipedia.org/wiki/Argentina
Herbert Vere Evatt,https://en.wikipedia.org/wiki/H._V._Evatt
Australia,https://en.wikipedia.org/wiki/Australia
Third,https://en.wikipedia.org/wiki/Third_session_of_the_United_Nations_General_Assembly
Carlos P. Romulo,https://en.wikipedia.org/wiki/Carlos_P._Romulo
Philippines,https://en.wikipedia.org/wiki/Philippines
Fourth,https://en.wikipedia.org/wiki/Fourth_session_of_the_United_Nations_General_Assembly
Nasrollah Entezam,https://en.wikipedia.org/wiki/Nasrollah_Entezam
Iran,https://en.wikipedia.org/wiki/Iran
Luis Padilla Nervo,https://en.wikipedia.org/wiki/Luis_Padilla_Nervo
Mexico,https://en.wikipedia.org/wiki/Mexico
Lester B. Pearson,https://en.wikipedia.org/wiki/Lester_B._Pearson
Canada,https://en.wikipedia.org/wiki/Canada
Vijaya Lakshmi Pandit,https://en.wikipedia.org/wiki/Vijaya_Lakshmi_Pandit
India,https://en.wikipedia.org/wiki/India
Eelco van Kleffens,https://en.wikipedia.org/wiki/Eelco_van_Kleffens
Netherlands,https://en.wikipedia.org/wiki/Netherlands
José Maza Fernández,https://en.wikipedia.org/wiki/Jos%C3%A9_Maza_Fern%C3%A1ndez
Chile,https://en.wikipedia.org/wiki/Chile
Rudecindo Ortega Mason,https://en.wikipedia.org/wiki/Rudecindo_Ortega_Mason
Chile,https://en.wikipedia.org/wiki/Chile
First emergency special,https://en.wikipedia.org/wiki/First_emergency_special_session_of_the_United_Nations_General_Assembly
Second emergency special,https://en.wikipedia.org/wiki/Second_emergency_special_session_of_the_United_Nations_General_Assembly
Wan Waithayakon,https://en.wikipedia.org/wiki/Wan_Waithayakon
Thailand,https://en.wikipedia.org/wiki/Thailand
Leslie Munro,https://en.wikipedia.org/wiki/Leslie_Munro
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Third emergency special,https://en.wikipedia.org/wiki/Third_emergency_special_session_of_the_United_Nations_General_Assembly
Charles Malik,https://en.wikipedia.org/wiki/Charles_Malik
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Víctor Andrés Belaúnde,https://en.wikipedia.org/wiki/V%C3%ADctor_Andr%C3%A9s_Bela%C3%BAnde
Peru,https://en.wikipedia.org/wiki/Peru
Fourth emergency special,https://en.wikipedia.org/wiki/Fourth_emergency_special_session_of_the_United_Nations_General_Assembly
Frederick Boland,https://en.wikipedia.org/wiki/Frederick_Boland
