text,url
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
energy efficiency,https://en.wikipedia.org/wiki/Efficient_energy_use
emerging markets,https://en.wikipedia.org/wiki/Emerging_markets
developing countries,https://en.wikipedia.org/wiki/Developing_countries
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
World Summit on Sustainable Development,https://en.wikipedia.org/wiki/World_Summit_on_Sustainable_Development
United Nations Office in Vienna,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
Government of Austria,https://en.wikipedia.org/wiki/Government_of_Austria
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
energy efficiency,https://en.wikipedia.org/wiki/Efficient_energy_use
WSSD,https://en.wikipedia.org/wiki/World_Summit_on_Sustainable_Development
NGOs,https://en.wikipedia.org/wiki/NGO
WSSD,https://en.wikipedia.org/wiki/World_Summit_on_Sustainable_Development
G8,https://en.wikipedia.org/wiki/G8
Foreign and Commonwealth Office,https://en.wikipedia.org/wiki/Foreign_and_Commonwealth_Office
international NGO,https://en.wikipedia.org/wiki/NGO
Vienna,https://en.wikipedia.org/wiki/Vienna
Austria,https://en.wikipedia.org/wiki/Austria
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Canada,https://en.wikipedia.org/wiki/Canada
Germany,https://en.wikipedia.org/wiki/Germany
Ireland,https://en.wikipedia.org/wiki/Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Spain,https://en.wikipedia.org/wiki/Spain
Switzerland,https://en.wikipedia.org/wiki/Switzerland
The Netherlands,https://en.wikipedia.org/wiki/The_Netherlands
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
European Commission,https://en.wikipedia.org/wiki/European_Commission
emerging markets,https://en.wikipedia.org/wiki/Emerging_markets
India,https://en.wikipedia.org/wiki/India
China,https://en.wikipedia.org/wiki/China
Sweden,https://en.wikipedia.org/wiki/Sweden
Ashden Award,https://en.wikipedia.org/wiki/Ashden
REN21,https://en.wikipedia.org/wiki/REN21
G7,https://en.wikipedia.org/wiki/G7
NGOs,https://en.wikipedia.org/wiki/NGO
United Nations Industrial Development Organization,https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization
International Renewable Energy Agency,https://en.wikipedia.org/wiki/International_Renewable_Energy_Agency
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
Johannesburg Renewable Energy Coalition,https://en.wikipedia.org/wiki/Johannesburg_Renewable_Energy_Coalition
Johannesburg Renewable Energy Coalition,https://en.wikipedia.org/wiki/Johannesburg_Renewable_Energy_Coalition
Renewable energy commercialization,https://en.wikipedia.org/wiki/Renewable_energy_commercialization
Renewable Energy Policy Network for the 21st Century,https://en.wikipedia.org/wiki/REN21
World Business Council for Sustainable Development,https://en.wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development
World Summit on Sustainable Development,https://en.wikipedia.org/wiki/Earth_Summit_2002
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
