text,url
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
Community of Latin American and Caribbean States,https://en.wikipedia.org/wiki/Community_of_Latin_American_and_Caribbean_States
Contadora Group,https://en.wikipedia.org/wiki/Contadora_group
Contadora Support Group,https://en.wikipedia.org/wiki/Contadora_support_group
Contadora Support Group or Lima Group,https://en.wikipedia.org/wiki/Contadora_support_group
Argentina,https://en.wikipedia.org/wiki/Argentina
Belize,https://en.wikipedia.org/wiki/Belize
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Brazil,https://en.wikipedia.org/wiki/Brazil
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Cuba,https://en.wikipedia.org/wiki/Cuba
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,https://en.wikipedia.org/wiki/Ecuador
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guyana,https://en.wikipedia.org/wiki/Guyana
Haiti,https://en.wikipedia.org/wiki/Haiti
Honduras,https://en.wikipedia.org/wiki/Honduras
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Mexico,https://en.wikipedia.org/wiki/Mexico
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Panama,https://en.wikipedia.org/wiki/Panama
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Peru,https://en.wikipedia.org/wiki/Peru
Suriname,https://en.wikipedia.org/wiki/Suriname
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Acapulco,https://en.wikipedia.org/wiki/Acapulco
Mexico,https://en.wikipedia.org/wiki/Mexico
Montevideo,https://en.wikipedia.org/wiki/Montevideo
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Ica,https://en.wikipedia.org/wiki/Ica_(city)
Peru,https://en.wikipedia.org/wiki/Peru
Caracas,https://en.wikipedia.org/wiki/Caracas
Venezuela,https://en.wikipedia.org/wiki/Republic_of_Venezuela
Cartagena,"https://en.wikipedia.org/wiki/Cartagena,_Colombia"
Colombia,https://en.wikipedia.org/wiki/Colombia
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Argentina,https://en.wikipedia.org/wiki/Argentina
Santiago,"https://en.wikipedia.org/wiki/Santiago,_Chile"
Chile,https://en.wikipedia.org/wiki/Chile
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
Brazil,https://en.wikipedia.org/wiki/Brazil
Quito,https://en.wikipedia.org/wiki/Quito
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Cochabamba,https://en.wikipedia.org/wiki/Cochabamba
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Asunción,https://en.wikipedia.org/wiki/Asunci%C3%B3n
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Panama City,https://en.wikipedia.org/wiki/Panama_City
Panama,https://en.wikipedia.org/wiki/Panama
Veracruz,"https://en.wikipedia.org/wiki/Veracruz,_Veracruz"
Mexico,https://en.wikipedia.org/wiki/Mexico
Cartagena,"https://en.wikipedia.org/wiki/Cartagena,_Colombia"
Colombia,https://en.wikipedia.org/wiki/Colombia
Santiago,"https://en.wikipedia.org/wiki/Santiago,_Chile"
Chile,https://en.wikipedia.org/wiki/Chile
San José,"https://en.wikipedia.org/wiki/San_Jos%C3%A9,_Costa_Rica"
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Cusco,https://en.wikipedia.org/wiki/Cusco
Peru,https://en.wikipedia.org/wiki/Peru
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
Brazil,https://en.wikipedia.org/wiki/Brazil
Georgetown,"https://en.wikipedia.org/wiki/Georgetown,_Guyana"
Guyana,https://en.wikipedia.org/wiki/Guyana
Santo Domingo,https://en.wikipedia.org/wiki/Santo_Domingo
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Zacatecas,"https://en.wikipedia.org/wiki/Zacatecas,_Zacatecas"
Mexico,https://en.wikipedia.org/wiki/Mexico
Managua,https://en.wikipedia.org/wiki/Managua
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
XXI,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Unity_Summit
Cancún,https://en.wikipedia.org/wiki/Canc%C3%BAn
Mexico,https://en.wikipedia.org/wiki/Mexico
Celso Amorim,https://en.wikipedia.org/wiki/Celso_Amorim
(MINUSTAH),https://en.wikipedia.org/wiki/United_Nations_Stabilisation_Mission_in_Haiti
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
Union of South American Nations,https://en.wikipedia.org/wiki/Union_of_South_American_Nations
Organization of Ibero-American States,https://en.wikipedia.org/wiki/Organization_of_Ibero-American_States
Ibero-American Summit,https://en.wikipedia.org/wiki/Ibero-American_Summit
Inter-American Treaty of Reciprocal Assistance,https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
EFE,https://en.wikipedia.org/wiki/EFE
Nuclear Threat Initiative,https://en.wikipedia.org/wiki/Nuclear_Threat_Initiative
