text,url
international treaty,https://en.wikipedia.org/wiki/International_treaty
Geneva,https://en.wikipedia.org/wiki/Geneva
1912 Hague Opium Convention,https://en.wikipedia.org/wiki/First_International_Opium_Convention_(The_Hague)
Permanent Central Opium Board,https://en.wikipedia.org/wiki/Permanent_Central_Opium_Board
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
opium,https://en.wikipedia.org/wiki/Opium
morphine,https://en.wikipedia.org/wiki/Morphine
cocaine,https://en.wikipedia.org/wiki/Cocaine
extracts,https://en.wikipedia.org/wiki/Extract
tinctures,https://en.wikipedia.org/wiki/Tincture
cannabis,https://en.wikipedia.org/wiki/Cannabis_(drug)
The Hague,https://en.wikipedia.org/wiki/The_Hague
First International Opium Convention,https://en.wikipedia.org/wiki/First_International_Opium_Convention_(The_Hague)
Paris Peace Conference,https://en.wikipedia.org/wiki/Paris_Peace_Conference_(1919%E2%80%931920)
World War I,https://en.wikipedia.org/wiki/World_War_I
Opium Protocol,"https://en.wikipedia.org/wiki/Agreement_concerning_the_Manufacture_of,_Internal_Trade_in_and_Use_of_Prepared_Opium"
Protocol,"https://en.wikipedia.org/wiki/Agreement_concerning_the_Manufacture_of,_Internal_Trade_in_and_Use_of_Prepared_Opium"
treaty adopted a few months later in Brussels,https://en.wikipedia.org/wiki/Brussels_Pharmacopoeia_Agreement_(1925)
Palais Wilson,https://en.wikipedia.org/wiki/Palais_Wilson
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Geneva,https://en.wikipedia.org/wiki/Geneva
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
structure of the League,https://en.wikipedia.org/wiki/Organisation_of_the_League_of_Nations
Limitation Convention,https://en.wikipedia.org/wiki/Convention_for_Limiting_the_Manufacture_and_Regulating_the_Distribution_of_Narcotic_Drugs
International Narcotics Control Board,https://en.wikipedia.org/wiki/International_Narcotics_Control_Board
Egypt,https://en.wikipedia.org/wiki/Kingdom_of_Egypt
Italy,https://en.wikipedia.org/wiki/Italy
South Africa,https://en.wikipedia.org/wiki/South_Africa
hashish,https://en.wikipedia.org/wiki/Hashish
India,https://en.wikipedia.org/wiki/India
recreational purposes,https://en.wikipedia.org/wiki/Recreational_drug_use
International Office of Public Hygiene,https://en.wikipedia.org/wiki/International_Office_of_Public_Hygiene
racist,https://en.wikipedia.org/wiki/Racism
Office international d'hygiène publique,https://en.wikipedia.org/wiki/Office_international_d%27hygi%C3%A8ne_publique
United Nations,https://en.wikipedia.org/wiki/United_Nations
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
Single Convention on Narcotic Drugs,https://en.wikipedia.org/wiki/Single_Convention_on_Narcotic_Drugs
INCB,https://en.wikipedia.org/wiki/International_Narcotics_Control_Board
First International Opium Convention (The Hague),https://en.wikipedia.org/wiki/First_International_Opium_Convention_(The_Hague)
International Drug Control,https://en.wikipedia.org/wiki/International_Drug_Control
International law,https://en.wikipedia.org/wiki/International_law
Single Convention on Narcotic Drugs,https://en.wikipedia.org/wiki/Single_Convention_on_Narcotic_Drugs
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Office international d'hygiène publique,https://en.wikipedia.org/wiki/Office_international_d%27hygi%C3%A8ne_publique
Timeline of cannabis law,https://en.wikipedia.org/wiki/Timeline_of_cannabis_law
Legal issues of cannabis,https://en.wikipedia.org/wiki/Legal_issues_of_cannabis
Brussels Pharmacopoeia Agreement (1925),https://en.wikipedia.org/wiki/Brussels_Pharmacopoeia_Agreement_(1925)
Centenary of Cannabis prohibition,https://en.wikipedia.org/wiki/Centenary_of_Cannabis_prohibition
Wikisource,https://en.wikipedia.org/wiki/Wikisource
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
Routledge,https://en.wikipedia.org/wiki/Routledge
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Krawitz,https://en.wikipedia.org/wiki/Michael_Krawitz
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
University of Oslo,https://en.wikipedia.org/wiki/University_of_Oslo
