text,url
chief administrative officer,https://en.wikipedia.org/wiki/Chief_administrative_officer
United Nations,https://en.wikipedia.org/wiki/United_Nations
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
six principal organs of the United Nations,https://en.wikipedia.org/wiki/United_Nations_System#Six_principal_organs
Chapter XV,https://en.wikipedia.org/wiki/Chapter_XV_of_the_United_Nations_Charter
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
Secretariat Building,https://en.wikipedia.org/wiki/United_Nations_Secretariat_Building
Headquarters of the United Nations,https://en.wikipedia.org/wiki/Headquarters_of_the_United_Nations
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
permanent members of the council can veto,https://en.wikipedia.org/wiki/United_Nations_Security_Council_veto_power
middle powers,https://en.wikipedia.org/wiki/Middle_power
career diplomats,https://en.wikipedia.org/wiki/Career_diplomat
Boutros Boutros-Ghali,https://en.wikipedia.org/wiki/Boutros_Boutros-Ghali
vetoed,https://en.wikipedia.org/wiki/List_of_vetoed_United_Nations_Security_Council_resolutions
1996 selection,https://en.wikipedia.org/wiki/1996_United_Nations_Secretary-General_selection
term limit,https://en.wikipedia.org/wiki/Term_limit
1981 selection,https://en.wikipedia.org/wiki/1981_United_Nations_Secretary-General_selection
Kurt Waldheim,https://en.wikipedia.org/wiki/Kurt_Waldheim
papal conclave,https://en.wikipedia.org/wiki/Papal_conclave
straw polls,https://en.wikipedia.org/wiki/Straw_polls
in 1950,https://en.wikipedia.org/wiki/1950_United_Nations_Secretary-General_selection
president of the General Assembly,https://en.wikipedia.org/wiki/President_of_the_United_Nations_General_Assembly
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
bully pulpit,https://en.wikipedia.org/wiki/Bully_pulpit
Dag Hammarskjöld,https://en.wikipedia.org/wiki/Dag_Hammarskj%C3%B6ld
Arab-Israel conflict,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
Javier Perez de Cuellar,https://en.wikipedia.org/wiki/Javier_P%C3%A9rez_de_Cu%C3%A9llar
Iran-Iraq War,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War
U Thant,https://en.wikipedia.org/wiki/U_Thant
Cuban Missile Crisis,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis
"Sutton Place, Manhattan",https://en.wikipedia.org/wiki/York_Avenue_and_Sutton_Place
Anne Morgan,https://en.wikipedia.org/wiki/Anne_Morgan_(philanthropist)
UN Regional Group,https://en.wikipedia.org/wiki/UN_Regional_Group
Gladwyn Jebb,https://en.wikipedia.org/wiki/Gladwyn_Jebb
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Western European and Others,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
World War II,https://en.wikipedia.org/wiki/World_War_II
Trygve Lie,https://en.wikipedia.org/wiki/Trygve_Lie
Norway,https://en.wikipedia.org/wiki/Norway
