text,url
President,https://en.wikipedia.org/wiki/President_of_Brazil
Fernando Henrique Cardoso,https://en.wikipedia.org/wiki/Fernando_Henrique_Cardoso
Brasília,https://en.wikipedia.org/wiki/Bras%C3%ADlia
abbreviations,https://en.wikipedia.org/wiki/Abbreviation
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Portuguese,https://en.wikipedia.org/wiki/Portuguese_language
U.N.,https://en.wikipedia.org/wiki/United_Nations
Brazil's,https://en.wikipedia.org/wiki/Brazil
South Atlantic,https://en.wikipedia.org/wiki/Atlantic_Ocean
proliferation,https://en.wikipedia.org/wiki/Nuclear_proliferation
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapons
denuclearization,https://en.wikipedia.org/wiki/Nuclear_proliferation
Brasília,https://en.wikipedia.org/wiki/Bras%C3%ADlia
U.N. General Assembly,https://en.wikipedia.org/wiki/U.N._General_Assembly
nuclear-weapon-free zone,https://en.wikipedia.org/wiki/Nuclear-weapon-free_zone
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapon
African Nuclear Weapons Free Zone Treaty,https://en.wikipedia.org/wiki/African_Nuclear_Weapons_Free_Zone_Treaty
Treaty for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,https://en.wikipedia.org/wiki/Treaty_for_the_Prohibition_of_Nuclear_Weapons_in_Latin_America_and_the_Caribbean
Mid-Atlantic Ridge,https://en.wikipedia.org/wiki/Mid-Atlantic_Ridge
British overseas territory,https://en.wikipedia.org/wiki/British_overseas_territory
Saint Helena,https://en.wikipedia.org/wiki/Saint_Helena
Ascension Island,https://en.wikipedia.org/wiki/Ascension_Island
Tristan da Cunha,https://en.wikipedia.org/wiki/Tristan_da_Cunha
Bouvet Island,https://en.wikipedia.org/wiki/Bouvet_Island
British Overseas Territories,https://en.wikipedia.org/wiki/British_Overseas_Territories
Falkland Islands,https://en.wikipedia.org/wiki/Falkland_Islands
South Georgia and the South Sandwich Islands,https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands
Angola,https://en.wikipedia.org/wiki/Angola
Argentina,https://en.wikipedia.org/wiki/Argentina
Benin,https://en.wikipedia.org/wiki/Benin
Brazil,https://en.wikipedia.org/wiki/Brazil
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Gabon,https://en.wikipedia.org/wiki/Gabon
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Ghana,https://en.wikipedia.org/wiki/Ghana
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Liberia,https://en.wikipedia.org/wiki/Liberia
Namibia,https://en.wikipedia.org/wiki/Namibia
Nigeria,https://en.wikipedia.org/wiki/Nigeria
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Senegal,https://en.wikipedia.org/wiki/Senegal
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
South Africa,https://en.wikipedia.org/wiki/South_Africa
Togo,https://en.wikipedia.org/wiki/Togo
Uruguay,https://en.wikipedia.org/wiki/Uruguay
North Atlantic Treaty Organization,https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization
Community of Portuguese Speaking Countries,https://en.wikipedia.org/wiki/Community_of_Portuguese_Speaking_Countries
African Nuclear Weapons Free Zone Treaty,https://en.wikipedia.org/wiki/African_Nuclear_Weapons_Free_Zone_Treaty
Treaty for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,https://en.wikipedia.org/wiki/Treaty_for_the_Prohibition_of_Nuclear_Weapons_in_Latin_America_and_the_Caribbean
Africa-South America Summit,https://en.wikipedia.org/wiki/Africa-South_America_Summit
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
