text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Southeast Asian,https://en.wikipedia.org/wiki/Southeast_Asia
Kingdom of Laos,https://en.wikipedia.org/wiki/Kingdom_of_Laos
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Philippines,https://en.wikipedia.org/wiki/Philippines
Singapore,https://en.wikipedia.org/wiki/Singapore
Thailand,https://en.wikipedia.org/wiki/Thailand
Republic of Vietnam,https://en.wikipedia.org/wiki/Republic_of_Vietnam
Sonny Angara,https://en.wikipedia.org/wiki/Sonny_Angara
Philippines,https://en.wikipedia.org/wiki/Philippines
British Council,https://en.wikipedia.org/wiki/British_Council
International Council for Open and Distance Education,https://en.wikipedia.org/wiki/International_Council_for_Open_and_Distance_Education
The Education University of Hong Kong,https://en.wikipedia.org/wiki/Education_University_of_Hong_Kong
University of Tsukuba,https://en.wikipedia.org/wiki/University_of_Tsukuba
Sonny Angara,https://en.wikipedia.org/wiki/Sonny_Angara
Romaizah Mohd Salleh,https://en.wikipedia.org/wiki/Romaizah_Mohd_Salleh
Hangchuon Naron,https://en.wikipedia.org/wiki/Hangchuon_Naron
Abdul Mu'ti,https://en.wikipedia.org/wiki/Abdul_Mu%27ti
Fadhlina Sidek,https://en.wikipedia.org/wiki/Fadhlina_Sidek
Nyunt Phay,https://en.wikipedia.org/wiki/Nyunt_Phay
Chan Chun Sing,https://en.wikipedia.org/wiki/Chan_Chun_Sing
Permpoon Chidchob,https://en.wikipedia.org/wiki/Permpoon_Chidchob
Dulce de Jesus Soares,https://en.wikipedia.org/wiki/Dulce_de_Jesus_Soares
Mathematics Olympiad,https://en.wikipedia.org/wiki/Mathematics_Olympiad
Niane Sivongxay,https://en.wikipedia.org/wiki/Niane_Sivongxay
SEAMEO RECSAM,https://en.wikipedia.org/wiki/SEAMEO_RECSAM
SEAMEO SEARCA (South East Asian Regional Center for Graduate Study and Research in Agriculture),https://en.wikipedia.org/wiki/Southeast_Asian_Regional_Center_for_Graduate_Study_and_Research_in_Agriculture
SEAMEO SPAFA,https://en.wikipedia.org/wiki/SEAMEO_SPAFA
The Nation,https://en.wikipedia.org/wiki/The_Nation_(Thailand)
international organization,https://en.wikipedia.org/wiki/International_organization
