text,url
Latin,https://en.wikipedia.org/wiki/Latin
Polish,https://en.wikipedia.org/wiki/Polish_language
European Union,https://en.wikipedia.org/wiki/European_Union
Baltic Sea,https://en.wikipedia.org/wiki/Baltic_Sea
Adriatic,https://en.wikipedia.org/wiki/Adriatic_Sea
Black Seas,https://en.wikipedia.org/wiki/Black_Sea
Central and Eastern Europe,https://en.wikipedia.org/wiki/Central_and_Eastern_Europe
Austria,https://en.wikipedia.org/wiki/Austria
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Estonia,https://en.wikipedia.org/wiki/Estonia
Hungary,https://en.wikipedia.org/wiki/Hungary
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Poland,https://en.wikipedia.org/wiki/Poland
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Greece,https://en.wikipedia.org/wiki/Greece
Dubrovnik,https://en.wikipedia.org/wiki/Dubrovnik
Riga,https://en.wikipedia.org/wiki/Riga
Ukraine,https://en.wikipedia.org/wiki/Ukraine
de facto,https://en.wikipedia.org/wiki/De_facto
Greece,https://en.wikipedia.org/wiki/Greece
Moldova,https://en.wikipedia.org/wiki/Moldova
Albania,https://en.wikipedia.org/wiki/Albania
Montenegro,https://en.wikipedia.org/wiki/Montenegro
European Union,https://en.wikipedia.org/wiki/European_Union
25 percent of the European Union's inhabitants,https://en.wikipedia.org/wiki/Demography_of_the_European_Union
one seventh of the EU's GDP (nominal),https://en.wikipedia.org/wiki/Economy_of_the_European_Union
interwar,https://en.wikipedia.org/wiki/Interbellum
Intermarium,https://en.wikipedia.org/wiki/Intermarium
Andrzej Duda,https://en.wikipedia.org/wiki/Andrzej_Duda
Kolinda Grabar-Kitarović,https://en.wikipedia.org/wiki/Kolinda_Grabar-Kitarovi%C4%87
Dubrovnik,https://en.wikipedia.org/wiki/Dubrovnik
Andrzej Duda,https://en.wikipedia.org/wiki/Andrzej_Duda
Liu Haixing,https://en.wikipedia.org/wiki/Liu_Haixing
Belt and Road Initiative,https://en.wikipedia.org/wiki/Belt_and_Road_Initiative
US National Security Advisor,https://en.wikipedia.org/wiki/US_National_Security_Advisor
James L. Jones,https://en.wikipedia.org/wiki/James_L._Jones
Warsaw,https://en.wikipedia.org/wiki/Warsaw
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
Bucharest,https://en.wikipedia.org/wiki/Bucharest
Jean-Claude Juncker,https://en.wikipedia.org/wiki/Jean-Claude_Juncker
Heiko Maas,https://en.wikipedia.org/wiki/Heiko_Maas
Rick Perry,https://en.wikipedia.org/wiki/Rick_Perry
Chambers of Commerce,https://en.wikipedia.org/wiki/Chambers_of_Commerce
letter of intent,https://en.wikipedia.org/wiki/Letter_of_intent
Dubrovnik,https://en.wikipedia.org/wiki/Dubrovnik
Kolinda Grabar-Kitarović,https://en.wikipedia.org/wiki/Kolinda_Grabar-Kitarovi%C4%87
Warsaw,https://en.wikipedia.org/wiki/Warsaw
Andrzej Duda,https://en.wikipedia.org/wiki/Andrzej_Duda
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
Bucharest,https://en.wikipedia.org/wiki/Bucharest
Klaus Iohannis,https://en.wikipedia.org/wiki/Klaus_Iohannis
Jean-Claude Juncker,https://en.wikipedia.org/wiki/Jean-Claude_Juncker
Secretary of Energy,https://en.wikipedia.org/wiki/United_States_Secretary_of_Energy
Rick Perry,https://en.wikipedia.org/wiki/Rick_Perry
Ljubljana,https://en.wikipedia.org/wiki/Ljubljana
Borut Pahor,https://en.wikipedia.org/wiki/Borut_Pahor
Jean-Claude Juncker,https://en.wikipedia.org/wiki/Jean-Claude_Juncker
Frank-Walter Steinmeier,https://en.wikipedia.org/wiki/Frank-Walter_Steinmeier
Secretary of Energy,https://en.wikipedia.org/wiki/United_States_Secretary_of_Energy
Rick Perry,https://en.wikipedia.org/wiki/Rick_Perry
Tallinn,https://en.wikipedia.org/wiki/Tallinn
Kersti Kaljulaid,https://en.wikipedia.org/wiki/Kersti_Kaljulaid
Sofia,https://en.wikipedia.org/wiki/Sofia
Rumen Radev,https://en.wikipedia.org/wiki/Rumen_Radev
Katerina Sakellaropoulou,https://en.wikipedia.org/wiki/Katerina_Sakellaropoulou
Riga,https://en.wikipedia.org/wiki/Riga
Egils Levits,https://en.wikipedia.org/wiki/Egils_Levits
Bucharest,https://en.wikipedia.org/wiki/Bucharest
Klaus Iohannis,https://en.wikipedia.org/wiki/Klaus_Iohannis
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
Kristalina Georgieva,https://en.wikipedia.org/wiki/Kristalina_Georgieva
Vilnius,https://en.wikipedia.org/wiki/Vilnius
Gitanas Nausėda,https://en.wikipedia.org/wiki/Gitanas_Naus%C4%97da
Warsaw,https://en.wikipedia.org/wiki/Warsaw
Andrzej Duda,https://en.wikipedia.org/wiki/Andrzej_Duda
Via Carpathia,https://en.wikipedia.org/wiki/Via_Carpathia
Klaipėda,https://en.wikipedia.org/wiki/Klaip%C4%97da
Thessaloniki,https://en.wikipedia.org/wiki/Thessaloniki
Greece,https://en.wikipedia.org/wiki/Greece
Liquefied natural gas,https://en.wikipedia.org/wiki/Liquefied_natural_gas
Baltic-Adriatic Corridor,https://en.wikipedia.org/wiki/Baltic-Adriatic_Corridor
Via Baltica,https://en.wikipedia.org/wiki/European_route_E67
Rail Baltica,https://en.wikipedia.org/wiki/Rail_Baltica
Rail-2-Sea,https://en.wikipedia.org/wiki/Rail-2-Sea
Gdańsk,https://en.wikipedia.org/wiki/Gda%C5%84sk
Constanța,https://en.wikipedia.org/wiki/Constan%C8%9Ba
Bank Gospodarstwa Krajowego,https://en.wikipedia.org/wiki/Bank_Gospodarstwa_Krajowego
Export–Import Bank of Romania,https://en.wikipedia.org/wiki/Export%E2%80%93Import_Bank_of_Romania
pension funds,https://en.wikipedia.org/wiki/Pension_fund
private investment funds,https://en.wikipedia.org/wiki/Private_investment_fund
United States Secretary of State,https://en.wikipedia.org/wiki/United_States_Secretary_of_State
Mike Pompeo,https://en.wikipedia.org/wiki/Mike_Pompeo
Zoran Milanović,https://en.wikipedia.org/wiki/Zoran_Milanovi%C4%87
Croatia,https://en.wikipedia.org/wiki/Croatia
Czech,https://en.wikipedia.org/wiki/Czech_Republic
sphere of influence,https://en.wikipedia.org/wiki/Sphere_of_influence
Intermarium,https://en.wikipedia.org/wiki/Intermarium
EU,https://en.wikipedia.org/wiki/European_Union
Germany,https://en.wikipedia.org/wiki/Germany
Visegrád Group,https://en.wikipedia.org/wiki/Visegr%C3%A1d_Group
Miloš Zeman,https://en.wikipedia.org/wiki/Milo%C5%A1_Zeman
Ministry of foreign,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Czech_Republic)
high-speed rail,https://en.wikipedia.org/wiki/High-speed_rail_in_Czech_Republic
Finns Party,https://en.wikipedia.org/wiki/Finns_Party
Finland,https://en.wikipedia.org/wiki/Finland
Ukrainian President,https://en.wikipedia.org/wiki/President_of_Ukraine
Volodymyr Zelenskyy,https://en.wikipedia.org/wiki/Volodymyr_Zelenskyy
Poland,https://en.wikipedia.org/wiki/Poland
Baltic,https://en.wikipedia.org/wiki/Baltic_Sea
Adriatic,https://en.wikipedia.org/wiki/Adriatic_Sea
Black,https://en.wikipedia.org/wiki/Black_Sea
Polish Foreign Minister,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Poland)
Jacek Czaputowicz,https://en.wikipedia.org/wiki/Jacek_Czaputowicz
Central,https://en.wikipedia.org/wiki/Central_Europe
Southern Europe,https://en.wikipedia.org/wiki/Southern_Europe
European Union,https://en.wikipedia.org/wiki/European_Union
