text,url
specialized agency,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
world peace,https://en.wikipedia.org/wiki/World_peace
security,https://en.wikipedia.org/wiki/International_security
sciences,https://en.wikipedia.org/wiki/Sciences
member states,https://en.wikipedia.org/wiki/Member_states_of_UNESCO
non-governmental,https://en.wikipedia.org/wiki/Non-governmental_organization
intergovernmental,https://en.wikipedia.org/wiki/Intergovernmental_organization
private sector,https://en.wikipedia.org/wiki/Private_sector
Paris,https://en.wikipedia.org/wiki/Paris
national commissions,https://en.wikipedia.org/wiki/National_Commissions_for_UNESCO
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
International Committee on Intellectual Cooperation,https://en.wikipedia.org/wiki/International_Committee_on_Intellectual_Cooperation
World War II,https://en.wikipedia.org/wiki/World_War_II
peace,https://en.wikipedia.org/wiki/Peace
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
natural sciences,https://en.wikipedia.org/wiki/Natural_science
social,https://en.wikipedia.org/wiki/Social_science
human sciences,https://en.wikipedia.org/wiki/Human_science
literacy,https://en.wikipedia.org/wiki/Literacy
press freedom,https://en.wikipedia.org/wiki/Freedom_of_the_press
regional,https://en.wikipedia.org/wiki/Region
cultural history,https://en.wikipedia.org/wiki/Cultural_history
cultural diversity,https://en.wikipedia.org/wiki/Cultural_diversity
World Heritage Sites,https://en.wikipedia.org/wiki/World_Heritage_Site
cultural,https://en.wikipedia.org/wiki/Cultural_heritage
natural,https://en.wikipedia.org/wiki/Natural_heritage
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
International Committee on Intellectual Cooperation,https://en.wikipedia.org/wiki/International_Committee_on_Intellectual_Cooperation
Henri Bergson,https://en.wikipedia.org/wiki/Henri_Bergson
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
Robert A. Millikan,https://en.wikipedia.org/wiki/Robert_A._Millikan
Gonzague de Reynold,https://en.wikipedia.org/wiki/Gonzague_de_Reynold
World War II,https://en.wikipedia.org/wiki/World_War_II
International Bureau of Education,https://en.wikipedia.org/wiki/International_Bureau_of_Education
non-governmental,https://en.wikipedia.org/wiki/Non-governmental
Atlantic Charter,https://en.wikipedia.org/wiki/Atlantic_Charter
Declaration of the United Nations,https://en.wikipedia.org/wiki/Declaration_of_the_United_Nations
China,https://en.wikipedia.org/wiki/Nationalist_government
Dumbarton Oaks Conference,https://en.wikipedia.org/wiki/Dumbarton_Oaks_Conference
United Nations Conference on International Organization,https://en.wikipedia.org/wiki/United_Nations_Conference_on_International_Organization
Rab Butler,https://en.wikipedia.org/wiki/Rab_Butler
