text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
humanitarian,https://en.wikipedia.org/wiki/Humanitarianism
developmental aid,https://en.wikipedia.org/wiki/Development_aid
children,https://en.wikipedia.org/wiki/Child
treatment,https://en.wikipedia.org/wiki/Antiretroviral_drug
HIV,https://en.wikipedia.org/wiki/HIV
maternal nutrition,https://en.wikipedia.org/wiki/Maternal_nutrition
sanitation,https://en.wikipedia.org/wiki/Sanitation
emergency relief,https://en.wikipedia.org/wiki/Emergency_relief
U.N. Relief Rehabilitation Administration,https://en.wikipedia.org/wiki/United_Nations_Relief_and_Rehabilitation_Administration
World War II,https://en.wikipedia.org/wiki/World_War_II
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
developing countries,https://en.wikipedia.org/wiki/Developing_country
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
New York,https://en.wikipedia.org/wiki/New_York_City
pentavalent vaccines,https://en.wikipedia.org/wiki/DTwP-HepB-Hib_vaccine
severe acute malnutrition,https://en.wikipedia.org/wiki/Severe_acute_malnutrition
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
1965,https://en.wikipedia.org/wiki/1965_Nobel_Peace_Prize
Indira Gandhi Prize,https://en.wikipedia.org/wiki/Indira_Gandhi_Prize
Princess of Asturias Award,https://en.wikipedia.org/wiki/Prince_of_Asturias_Awards
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
Ludwik Rajchman,https://en.wikipedia.org/wiki/Ludwik_Rajchman
United Nations Relief and Rehabilitation Administration,https://en.wikipedia.org/wiki/United_Nations_Relief_and_Rehabilitation_Administration
Maurice Pate,https://en.wikipedia.org/wiki/Maurice_Pate
Commission for Relief in Belgium,https://en.wikipedia.org/wiki/Commission_for_Relief_in_Belgium
La Guardia,https://en.wikipedia.org/wiki/Fiorello_La_Guardia
Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
General assembly,https://en.wikipedia.org/wiki/General_assembly
World War II,https://en.wikipedia.org/wiki/World_War_II
Sudan,https://en.wikipedia.org/wiki/Sudan
protecting the rights of children and women,https://en.wikipedia.org/wiki/Humanitarian_protection
Panama City,https://en.wikipedia.org/wiki/Panama_City
Panama,https://en.wikipedia.org/wiki/Panama
Geneva,https://en.wikipedia.org/wiki/Geneva
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Thailand,https://en.wikipedia.org/wiki/Thailand
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Kenya,https://en.wikipedia.org/wiki/Kenya
Amman,https://en.wikipedia.org/wiki/Amman
Jordan,https://en.wikipedia.org/wiki/Jordan
Kathmandu,https://en.wikipedia.org/wiki/Kathmandu
Nepal,https://en.wikipedia.org/wiki/Nepal
Senegal,https://en.wikipedia.org/wiki/Senegal
non-governmental organization,https://en.wikipedia.org/wiki/Non-governmental_organization
Nepal,https://en.wikipedia.org/wiki/Nepal
trick-or-treat,https://en.wikipedia.org/wiki/Trick-or-treating
Halloween,https://en.wikipedia.org/wiki/Halloween
Canada,https://en.wikipedia.org/wiki/Canada
Bahamas,https://en.wikipedia.org/wiki/Bahamas
Brunei,https://en.wikipedia.org/wiki/Brunei
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Latvia,https://en.wikipedia.org/wiki/Latvia
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Malta,https://en.wikipedia.org/wiki/Malta
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Monaco,https://en.wikipedia.org/wiki/Monaco
Singapore,https://en.wikipedia.org/wiki/Singapore
Taiwan,https://en.wikipedia.org/wiki/Taiwan
developed countries,https://en.wikipedia.org/wiki/Developed_countries
national committees for UNICEF,https://en.wikipedia.org/wiki/List_of_UNICEF_national_committees
non-governmental organizations,https://en.wikipedia.org/wiki/Non-governmental_organizations
