text,url
French,https://en.wikipedia.org/wiki/French_language
Arabic,https://en.wikipedia.org/wiki/Arabic_language
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Europe,https://en.wikipedia.org/wiki/Europe
Mediterranean Basin,https://en.wikipedia.org/wiki/Mediterranean_Basin
EU member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
North Africa,https://en.wikipedia.org/wiki/North_Africa
Western Asia,https://en.wikipedia.org/wiki/Western_Asia
Southern Europe,https://en.wikipedia.org/wiki/Southern_Europe
Barcelona Process,https://en.wikipedia.org/wiki/Barcelona_Process
Catalonia,https://en.wikipedia.org/wiki/Catalonia
Spain,https://en.wikipedia.org/wiki/Spain
Blue Economy,https://en.wikipedia.org/wiki/Blue_economy
Royal Palace of Pedralbes,https://en.wikipedia.org/wiki/Royal_Palace_of_Pedralbes
Barcelona,https://en.wikipedia.org/wiki/Barcelona
European Union,https://en.wikipedia.org/wiki/European_Union
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
European Commission,https://en.wikipedia.org/wiki/European_Commission
Albania,https://en.wikipedia.org/wiki/Albania
Algeria,https://en.wikipedia.org/wiki/Algeria
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
