text,url
desertification,https://en.wikipedia.org/wiki/Desertification
Agenda 21,https://en.wikipedia.org/wiki/Agenda_21
Paris,https://en.wikipedia.org/wiki/Paris
France,https://en.wikipedia.org/wiki/France
good governance,https://en.wikipedia.org/wiki/Good_governance
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
International Year of Deserts and Desertification,https://en.wikipedia.org/wiki/International_Year_of_Deserts_and_Desertification
European Union,https://en.wikipedia.org/wiki/European_Union
all 193 UN member states,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Niue,https://en.wikipedia.org/wiki/Niue
State of Palestine,https://en.wikipedia.org/wiki/State_of_Palestine
Canada,https://en.wikipedia.org/wiki/Canada
Holy See,https://en.wikipedia.org/wiki/Holy_See
Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Hama Arba Diallo,https://en.wikipedia.org/wiki/Hama_Arba_Diallo
Luc Gnacadja,https://en.wikipedia.org/wiki/Luc_Gnacadja
Monique Barbut,https://en.wikipedia.org/wiki/Monique_Barbut
Ibrahim Thiaw,https://en.wikipedia.org/wiki/Ibrahim_Thiaw
Yasmine Fouad,https://en.wikipedia.org/wiki/Yasmine_Fouad
Framework Convention on Climate Change,https://en.wikipedia.org/wiki/Framework_Convention_on_Climate_Change
Convention on Biological Diversity,https://en.wikipedia.org/wiki/Convention_on_Biological_Diversity
Rome,https://en.wikipedia.org/wiki/Rome
Dakar,https://en.wikipedia.org/wiki/Dakar
Recife,https://en.wikipedia.org/wiki/Recife
Bonn,https://en.wikipedia.org/wiki/Bonn
Geneva,https://en.wikipedia.org/wiki/Geneva
Havana,https://en.wikipedia.org/wiki/Havana
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Madrid,https://en.wikipedia.org/wiki/Madrid
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Changwon,https://en.wikipedia.org/wiki/Changwon
Windhoek,https://en.wikipedia.org/wiki/Windhoek
Ankara,https://en.wikipedia.org/wiki/Ankara
Ordos City,https://en.wikipedia.org/wiki/Ordos_City
New Delhi,https://en.wikipedia.org/wiki/New_Delhi
Abidjan,https://en.wikipedia.org/wiki/Abidjan
Riyadh,https://en.wikipedia.org/wiki/Riyadh
Action for Climate Empowerment,https://en.wikipedia.org/wiki/Action_for_Climate_Empowerment
Earth Summit,https://en.wikipedia.org/wiki/Earth_Summit
Economics of Land Degradation Initiative,https://en.wikipedia.org/wiki/Economics_of_Land_Degradation_Initiative
Hama Arba Diallo,https://en.wikipedia.org/wiki/Hama_Arba_Diallo
International Year of Deserts and Desertification,https://en.wikipedia.org/wiki/International_Year_of_Deserts_and_Desertification
List of international environmental agreements,https://en.wikipedia.org/wiki/List_of_international_environmental_agreements
Terrafrica partnership,https://en.wikipedia.org/wiki/Terrafrica_partnership
United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
World Day to Combat Desertification and Drought,https://en.wikipedia.org/wiki/World_Day_to_Combat_Desertification_and_Drought
CIA,https://en.wikipedia.org/wiki/CIA
Baden-Baden,https://en.wikipedia.org/wiki/Baden-Baden
"Stringer, LC",https://en.wikipedia.org/wiki/Lindsay_Stringer
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
