text,url
2009 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2009_United_Nations_Climate_Change_Conference
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
United Nations,https://en.wikipedia.org/wiki/United_Nations
Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
Under-Secretary-General,https://en.wikipedia.org/wiki/Under-Secretary-General_of_the_United_Nations
Canada,https://en.wikipedia.org/wiki/Canada
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Assistant Secretary-General,https://en.wikipedia.org/wiki/Assistant_Secretary-General
Department of Peacekeeping Operations,https://en.wikipedia.org/wiki/Department_of_Peacekeeping_Operations
Geneva,https://en.wikipedia.org/wiki/Geneva
Vienna,https://en.wikipedia.org/wiki/Vienna
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Beirut,https://en.wikipedia.org/wiki/Beirut
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
Santiago,https://en.wikipedia.org/wiki/Santiago
was attacked on 19 August 2003,https://en.wikipedia.org/wiki/Canal_Hotel_bombing
Martti Ahtisaari,https://en.wikipedia.org/wiki/Martti_Ahtisaari
Under-Secretary-General,https://en.wikipedia.org/wiki/Under-Secretary-General_of_the_United_Nations
United Nations Joint Inspection Unit,https://en.wikipedia.org/wiki/United_Nations_Joint_Inspection_Unit
Sergeant,https://en.wikipedia.org/wiki/Sergeant
Lieutenant,https://en.wikipedia.org/wiki/Lieutenant
Captain,https://en.wikipedia.org/wiki/Captain
Inspector,https://en.wikipedia.org/wiki/Inspector
Honorary Guard,https://en.wikipedia.org/wiki/Guard_of_honour
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
