text,url
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
Maurice Strong,https://en.wikipedia.org/wiki/Maurice_Strong
United Nations Conference on the Human Environment,https://en.wikipedia.org/wiki/Declaration_of_the_United_Nations_Conference_on_the_Human_Environment
ecosystems,https://en.wikipedia.org/wiki/Ecosystem
international environmental agreements,https://en.wikipedia.org/wiki/International_environmental_agreements
environmental science,https://en.wikipedia.org/wiki/Environmental_science
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
The Convention on Biological Diversity,https://en.wikipedia.org/wiki/Convention_on_Biological_Diversity
Minamata Convention on Mercury,https://en.wikipedia.org/wiki/Minamata_Convention_on_Mercury
Basel,https://en.wikipedia.org/wiki/Basel_Convention
Rotterdam,https://en.wikipedia.org/wiki/Rotterdam_Convention
Stockholm,https://en.wikipedia.org/wiki/Stockholm_Convention_on_Persistent_Organic_Pollutants
The Convention on Migratory Species,https://en.wikipedia.org/wiki/Convention_on_the_Conservation_of_Migratory_Species_of_Wild_Animals
Convention on International Trade in Endangered Species,https://en.wikipedia.org/wiki/Convention_on_International_Trade_in_Endangered_Species
World Meteorological Organization,https://en.wikipedia.org/wiki/World_Meteorological_Organization
Intergovernmental Panel on Climate Change,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change
Global Environment Facility,https://en.wikipedia.org/wiki/Global_Environment_Facility
Multilateral Fund for the Implementation of the Montreal Protocol,https://en.wikipedia.org/wiki/Montreal_Protocol#Multilateral_Fund
Maurice Strong,https://en.wikipedia.org/wiki/Maurice_Strong
Nigerian,https://en.wikipedia.org/wiki/Nigerians
Adebayo Adedeji,https://en.wikipedia.org/wiki/Adebayo_Adedeji
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
United Nations Conference on the Human Environment,https://en.wikipedia.org/wiki/United_Nations_Conference_on_the_Human_Environment
Declaration on the Human Environment,https://en.wikipedia.org/wiki/Declaration_of_the_United_Nations_Conference_on_the_Human_Environment
Stockholm Declaration,https://en.wikipedia.org/wiki/Declaration_of_the_United_Nations_Conference_on_the_Human_Environment
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Nairobi,https://en.wikipedia.org/wiki/Nairobi
United States,https://en.wikipedia.org/wiki/United_States
Member states of the United Nations,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
pest control,https://en.wikipedia.org/wiki/Pest_control
developed countries,https://en.wikipedia.org/wiki/Developed_countries
Geneva,https://en.wikipedia.org/wiki/Geneva
developing countries,https://en.wikipedia.org/wiki/Developing_countries
Global South,https://en.wikipedia.org/wiki/Global_South
Mexico City,https://en.wikipedia.org/wiki/Mexico_City
New Delhi,https://en.wikipedia.org/wiki/New_Delhi
Cairo,https://en.wikipedia.org/wiki/Cairo
World Conservation Monitoring Centre,https://en.wikipedia.org/wiki/World_Conservation_Monitoring_Centre
Cambridge,https://en.wikipedia.org/wiki/Cambridge
IUCN,https://en.wikipedia.org/wiki/IUCN
Inger Andersen,https://en.wikipedia.org/wiki/Inger_Andersen_(environmentalist)
Earth Summit,https://en.wikipedia.org/wiki/Earth_Summit
Mostafa Kamal Tolba,https://en.wikipedia.org/wiki/Mostafa_Kamal_Tolba
ozone layer,https://en.wikipedia.org/wiki/Ozone_layer
Montreal Protocol,https://en.wikipedia.org/wiki/Montreal_Protocol
Elizabeth Dowdeswell,https://en.wikipedia.org/wiki/Elizabeth_Dowdeswell
Klaus Töpfer,https://en.wikipedia.org/wiki/Klaus_T%C3%B6pfer
Achim Steiner,https://en.wikipedia.org/wiki/Achim_Steiner
Erik Solheim,https://en.wikipedia.org/wiki/Erik_Solheim
Joyce Msuya,https://en.wikipedia.org/wiki/Joyce_Msuya
Erik Solheim,https://en.wikipedia.org/wiki/Erik_Solheim
Inger Andersen,https://en.wikipedia.org/wiki/Inger_Andersen_(environmentalist)
António Guterres,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Guterres
Maurice Strong,https://en.wikipedia.org/wiki/Maurice_Strong
Canada,https://en.wikipedia.org/wiki/Canada
Mostafa Kamal Tolba,https://en.wikipedia.org/wiki/Mostafa_Kamal_Tolba
Egypt,https://en.wikipedia.org/wiki/Egypt
Elizabeth Dowdeswell,https://en.wikipedia.org/wiki/Elizabeth_Dowdeswell
Canada,https://en.wikipedia.org/wiki/Canada
Klaus Töpfer,https://en.wikipedia.org/wiki/Klaus_T%C3%B6pfer
Germany,https://en.wikipedia.org/wiki/Germany
Achim Steiner,https://en.wikipedia.org/wiki/Achim_Steiner
Brazil,https://en.wikipedia.org/wiki/Brazil
Erik Solheim,https://en.wikipedia.org/wiki/Erik_Solheim
Norway,https://en.wikipedia.org/wiki/Norway
Joyce Msuya,https://en.wikipedia.org/wiki/Joyce_Msuya
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Inger Andersen,https://en.wikipedia.org/wiki/Inger_Andersen_(environmentalist)
Denmark,https://en.wikipedia.org/wiki/Denmark
International Resource Panel,https://en.wikipedia.org/wiki/International_Resource_Panel
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
resilience to climate change,https://en.wikipedia.org/wiki/Climate_resilience
environmental law,https://en.wikipedia.org/wiki/Environmental_law
environmental crime,https://en.wikipedia.org/wiki/Environmental_crime
Climate action,https://en.wikipedia.org/wiki/Climate_action
Disasters,https://en.wikipedia.org/wiki/Natural_disaster
Global environmental governance,https://en.wikipedia.org/wiki/Global_environmental_governance
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Resource efficiency,https://en.wikipedia.org/wiki/Resource_efficiency
sea level rise,https://en.wikipedia.org/wiki/Sea_level_rise
global warming,https://en.wikipedia.org/wiki/Global_warming
United Nations University,https://en.wikipedia.org/wiki/United_Nations_University
environmental refugees,https://en.wikipedia.org/wiki/Environmental_migrant
effects of climate change,https://en.wikipedia.org/wiki/Effects_of_climate_change
Srgjan Kerim,https://en.wikipedia.org/wiki/Srgjan_Kerim
Magdeburg,https://en.wikipedia.org/wiki/Magdeburg
Daimler AG,https://en.wikipedia.org/wiki/Daimler_AG
electric vehicles,https://en.wikipedia.org/wiki/Electric_vehicle
UNESCO,https://en.wikipedia.org/wiki/UNESCO
education,https://en.wikipedia.org/wiki/Education
Ellen MacArthur Foundation,https://en.wikipedia.org/wiki/Ellen_MacArthur_Foundation
circular economy,https://en.wikipedia.org/wiki/Circular_economy
Helsinki Convention,https://en.wikipedia.org/wiki/Helsinki_Convention_on_the_Protection_of_the_Marine_Environment_of_the_Baltic_Sea_Area
Oslo Dumping Convention,https://en.wikipedia.org/wiki/Oslo_Dumping_Convention
Barcelona Convention,https://en.wikipedia.org/wiki/Barcelona_Convention
Caribbean region,https://en.wikipedia.org/wiki/Caribbean_region
East Asian,https://en.wikipedia.org/wiki/East_Asia
East African,https://en.wikipedia.org/wiki/East_Africa
Mediterranean Basin,https://en.wikipedia.org/wiki/Mediterranean_Basin
Pacific Northwest,https://en.wikipedia.org/wiki/Pacific_Northwest
West African,https://en.wikipedia.org/wiki/West_Africa
Caspian Sea,https://en.wikipedia.org/wiki/Caspian_Sea
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
Red Sea,https://en.wikipedia.org/wiki/Red_Sea
Gulf of Aden,https://en.wikipedia.org/wiki/Gulf_of_Aden
South Asian,https://en.wikipedia.org/wiki/South_Asia
Arctic,https://en.wikipedia.org/wiki/Arctic
Antarctic,https://en.wikipedia.org/wiki/Antarctic
Baltic Sea,https://en.wikipedia.org/wiki/Baltic_Sea
Global 500 Roll of Honour,https://en.wikipedia.org/wiki/Global_500_Roll_of_Honour
