text,url
United Nations agency,https://en.wikipedia.org/wiki/United_Nations_agency
protect,https://en.wikipedia.org/wiki/Humanitarian_protection
refugees,https://en.wikipedia.org/wiki/Refugee
forcibly displaced communities,https://en.wikipedia.org/wiki/Internally_displaced_person
stateless people,https://en.wikipedia.org/wiki/Statelessness
voluntary repatriation,https://en.wikipedia.org/wiki/Voluntary_return
resettlement to a third country,https://en.wikipedia.org/wiki/Third_country_resettlement
Geneva,https://en.wikipedia.org/wiki/Geneva
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Fridtjof Nansen,https://en.wikipedia.org/wiki/Fridtjof_Nansen
International Refugee Organization,https://en.wikipedia.org/wiki/International_Refugee_Organization
World War II,https://en.wikipedia.org/wiki/World_War_II
1951 Refugee Convention,https://en.wikipedia.org/wiki/1951_refugee_convention
Hungarian Uprising,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956
decolonization,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
Africa,https://en.wikipedia.org/wiki/Africa
Asia,https://en.wikipedia.org/wiki/Asia
1967 Protocol to the Refugee Convention,https://en.wikipedia.org/wiki/Protocol_Relating_to_the_Status_of_Refugees
protection,https://en.wikipedia.org/wiki/Humanitarian_protection
healthcare,https://en.wikipedia.org/wiki/Health_care
emergency relief,https://en.wikipedia.org/wiki/Emergency_management
Nobel Peace Prizes,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
Prince of Asturias Awards for International Cooperation,https://en.wikipedia.org/wiki/Prince_of_Asturias_Awards#International_Cooperation_(Cooperación_Internacional)
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
refugee crisis,https://en.wikipedia.org/wiki/Refugee_crisis
World War II,https://en.wikipedia.org/wiki/World_War_II
International Refugee Organization,https://en.wikipedia.org/wiki/International_Refugee_Organization
United Nations Relief and Rehabilitation Administration,https://en.wikipedia.org/wiki/United_Nations_Relief_and_Rehabilitation_Administration
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
1951 Convention relating to the Status of Refugees,https://en.wikipedia.org/wiki/Convention_Relating_to_the_Status_of_Refugees
Hungary,https://en.wikipedia.org/wiki/Hungary
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong
Morocco,https://en.wikipedia.org/wiki/Morocco
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Algeria,https://en.wikipedia.org/wiki/Algeria
humanitarian assistance,https://en.wikipedia.org/wiki/Humanitarian_assistance
Protocol Relating to the Status of Refugees,https://en.wikipedia.org/wiki/Protocol_Relating_to_the_Status_of_Refugees
India,https://en.wikipedia.org/wiki/India
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Vietnam War,https://en.wikipedia.org/wiki/Vietnam_War
Cold War,https://en.wikipedia.org/wiki/Cold_War
NATO,https://en.wikipedia.org/wiki/NATO
FR Yugoslavia,https://en.wikipedia.org/wiki/Federal_Republic_of_Yugoslavia
1994 Rwandan Genocide,https://en.wikipedia.org/wiki/1994_Rwandan_Genocide
Dadaab,https://en.wikipedia.org/wiki/Dadaab
United Nations Relief and Rehabilitation Administration,https://en.wikipedia.org/wiki/United_Nations_Relief_and_Rehabilitation_Administration
Palestinian refugees,https://en.wikipedia.org/wiki/Palestinian_refugee
UNRWA,https://en.wikipedia.org/wiki/UNRWA
seek asylum,https://en.wikipedia.org/wiki/Asylum_seeker
return home voluntarily,https://en.wikipedia.org/wiki/Voluntary_return
resettle in a third country,https://en.wikipedia.org/wiki/Third_country_resettlement
internally displaced persons,https://en.wikipedia.org/wiki/Internally_displaced_person
refugee,https://en.wikipedia.org/wiki/Refugee
Convention Relating to the Status of Refugees,https://en.wikipedia.org/wiki/Convention_Relating_to_the_Status_of_Refugees
Organization for African Unity Convention,https://en.wikipedia.org/wiki/OAU_Convention
Lebanon,https://en.wikipedia.org/wiki/Lebanon
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Chad,https://en.wikipedia.org/wiki/Chad
Darfur,https://en.wikipedia.org/wiki/Darfur
Democratic Republic of Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_Congo
Iraq,https://en.wikipedia.org/wiki/Iraq
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Kenya,https://en.wikipedia.org/wiki/Kenya
refugees in camps,https://en.wikipedia.org/wiki/Refugee_camp
urban settings,https://en.wikipedia.org/wiki/Urban_refugee
Kosovo War,https://en.wikipedia.org/wiki/Kosovo_War
fingerprints,https://en.wikipedia.org/wiki/Fingerprint
iris scans,https://en.wikipedia.org/wiki/Iris_recognition
Kakuma,https://en.wikipedia.org/wiki/Kakuma
Dadaab,https://en.wikipedia.org/wiki/Dadaab
UN World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
Jordan,https://en.wikipedia.org/wiki/Jordan
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Syria,https://en.wikipedia.org/wiki/Syria
Gaza Strip,https://en.wikipedia.org/wiki/Gaza_Strip
West Bank,https://en.wikipedia.org/wiki/West_Bank
East Jerusalem,https://en.wikipedia.org/wiki/East_Jerusalem
United Nations Millennium Development Goals,https://en.wikipedia.org/wiki/United_Nations_Millennium_Development_Goals
Caribbean,https://en.wikipedia.org/wiki/Caribbean
asylum seekers,https://en.wikipedia.org/wiki/Asylum_seeker
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UN Economic and Social Council,https://en.wikipedia.org/wiki/UN_Economic_and_Social_Council
UN High Commissioner for Human Rights,https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights
UN Entity for Gender Equality and the Empowerment of Women,https://en.wikipedia.org/wiki/UN_Entity_for_Gender_Equality_and_the_Empowerment_of_Women
UN Office on Drugs and Crime,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime
World Bank,https://en.wikipedia.org/wiki/World_Bank
right to health,https://en.wikipedia.org/wiki/Right_to_health
Global Compact for Migration,https://en.wikipedia.org/wiki/Global_Compact_for_Migration
Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
International Aid Transparency Initiative,https://en.wikipedia.org/wiki/International_Aid_Transparency_Initiative
Grand Bargain (humanitarian reform),https://en.wikipedia.org/wiki/Grand_Bargain_(humanitarian_reform)
Publish What You Fund,https://en.wikipedia.org/wiki/Publish_What_You_Fund
UNHCR Nansen Refugee Award,https://en.wikipedia.org/wiki/Nansen_Refugee_Award
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
Indira Gandhi Prize,https://en.wikipedia.org/wiki/Indira_Gandhi_Prize
Prince of Asturias Award for International Cooperation,https://en.wikipedia.org/wiki/Prince_of_Asturias_Awards#International_Cooperation_(Cooperación_Internacional)
Refugee camp,https://en.wikipedia.org/wiki/Refugee_camp
Darfur,https://en.wikipedia.org/wiki/Darfur
Chad,https://en.wikipedia.org/wiki/Chad
Macedonia,https://en.wikipedia.org/wiki/Republic_of_Macedonia
Turkey,https://en.wikipedia.org/wiki/Turkey
Operation Provide Comfort,https://en.wikipedia.org/wiki/Operation_Provide_Comfort
Kurdish refugees,https://en.wikipedia.org/wiki/Kurdish_refugees
Marine,https://en.wikipedia.org/wiki/U.S._Marines
Exercise Eager Lion 12,https://en.wikipedia.org/wiki/24th_Marine_Expeditionary_Unit#Exercise_Eager_Lion_12
CARE International,https://en.wikipedia.org/wiki/CARE_International
Kenya,https://en.wikipedia.org/wiki/Kenya
Somaliland,https://en.wikipedia.org/wiki/Somaliland
Iraq,https://en.wikipedia.org/wiki/Iraq
Kurdistan,https://en.wikipedia.org/wiki/Kurdistan
Northern Iraq,https://en.wikipedia.org/wiki/Iraq
UNHCR,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees_Representation_in_Cyprus
Northern Iraq,https://en.wikipedia.org/wiki/Iraq
Northern Iraq,https://en.wikipedia.org/wiki/Iraq
Syrian Civil War,https://en.wikipedia.org/wiki/Syrian_Civil_War
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Burundi,https://en.wikipedia.org/wiki/Burundi
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Mali,https://en.wikipedia.org/wiki/Mali
Somalia,https://en.wikipedia.org/wiki/Somalia
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Zaatari refugee camp,https://en.wikipedia.org/wiki/Zaatari_refugee_camp
Syrian refugees,https://en.wikipedia.org/wiki/Refugees_of_the_Syrian_civil_war
Middle East,https://en.wikipedia.org/wiki/Middle_East
North Africa,https://en.wikipedia.org/wiki/North_Africa
Asia and Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
East,https://en.wikipedia.org/wiki/East_Africa
Horn of Africa,https://en.wikipedia.org/wiki/Horn_of_Africa
Americas,https://en.wikipedia.org/wiki/Americas
Europe,https://en.wikipedia.org/wiki/Europe
Central Africa,https://en.wikipedia.org/wiki/Central_Africa
Great Lakes,https://en.wikipedia.org/wiki/African_Great_Lakes
Western Africa,https://en.wikipedia.org/wiki/West_Africa
Southern Africa,https://en.wikipedia.org/wiki/Southern_Africa
Filippo Grandi,https://en.wikipedia.org/wiki/Filippo_Grandi
Fridtjof Nansen,https://en.wikipedia.org/wiki/Fridtjof_Nansen
League's,https://en.wikipedia.org/wiki/League_of_Nations
Fridtjof Nansen,https://en.wikipedia.org/wiki/Fridtjof_Nansen
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Norway,https://en.wikipedia.org/wiki/Norway
Gerrit Jan van Heuven Goedhart,https://en.wikipedia.org/wiki/Gerrit_Jan_van_Heuven_Goedhart
Netherlands,https://en.wikipedia.org/wiki/Netherlands
August R. Lindt,https://en.wikipedia.org/wiki/August_R._Lindt
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Félix Schnyder,https://en.wikipedia.org/wiki/F%C3%A9lix_Schnyder
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Sadruddin Aga Khan,https://en.wikipedia.org/wiki/Prince_Sadruddin_Aga_Khan
Iran,https://en.wikipedia.org/wiki/Iran
Poul Hartling,https://en.wikipedia.org/wiki/Poul_Hartling
Denmark,https://en.wikipedia.org/wiki/Denmark
Jean-Pierre Hocké,https://en.wikipedia.org/wiki/Jean-Pierre_Hock%C3%A9
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Thorvald Stoltenberg,https://en.wikipedia.org/wiki/Thorvald_Stoltenberg
Norway,https://en.wikipedia.org/wiki/Norway
Sadako Ogata,https://en.wikipedia.org/wiki/Sadako_Ogata
Japan,https://en.wikipedia.org/wiki/Japan
Ruud Lubbers,https://en.wikipedia.org/wiki/Ruud_Lubbers
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Wendy Chamberlin,https://en.wikipedia.org/wiki/Wendy_Chamberlin
United States,https://en.wikipedia.org/wiki/United_States
António Guterres,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Guterres
Portugal,https://en.wikipedia.org/wiki/Portugal
Filippo Grandi,https://en.wikipedia.org/wiki/Filippo_Grandi
Italy,https://en.wikipedia.org/wiki/Italy
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie
