text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
human rights,https://en.wikipedia.org/wiki/Human_rights
regional group,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
United Nations Office at Geneva,https://en.wikipedia.org/wiki/United_Nations_Office_at_Geneva
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Nations member states,https://en.wikipedia.org/wiki/United_Nations_member_state
freedom of association,https://en.wikipedia.org/wiki/Freedom_of_association
assembly,https://en.wikipedia.org/wiki/Freedom_of_assembly
freedom of expression,https://en.wikipedia.org/wiki/Freedom_of_expression
freedom of belief and religion,https://en.wikipedia.org/wiki/Freedom_of_religion
women's rights,https://en.wikipedia.org/wiki/Women%27s_rights
LGBT rights,https://en.wikipedia.org/wiki/Sexual_orientation_and_gender_identity_at_the_United_Nations
rights of racial and ethnic minorities,https://en.wikipedia.org/wiki/Minority_rights
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations Commission on Human Rights,https://en.wikipedia.org/wiki/United_Nations_Commission_on_Human_Rights
Office of the High Commissioner for Human Rights,https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights
Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
staggered,https://en.wikipedia.org/wiki/Staggered_elections
United Nations regional grouping system,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
Asia-Pacific States,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#Asia_and_the_Pacific_Group
African States,https://en.wikipedia.org/wiki/African_Group
Eastern EuropeanStates,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American &Caribbean States,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European &Other States,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Qatar,https://en.wikipedia.org/wiki/Qatar
South Korea,https://en.wikipedia.org/wiki/South_Korea
Thailand,https://en.wikipedia.org/wiki/Thailand
Benin,https://en.wikipedia.org/wiki/Benin
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Kenya,https://en.wikipedia.org/wiki/Kenya
Czechia,https://en.wikipedia.org/wiki/Czech_Republic
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Colombia,https://en.wikipedia.org/wiki/Colombia
Mexico,https://en.wikipedia.org/wiki/Mexico
Iceland,https://en.wikipedia.org/wiki/Iceland
Spain,https://en.wikipedia.org/wiki/Spain
Switzerland,https://en.wikipedia.org/wiki/Switzerland
China,https://en.wikipedia.org/wiki/China
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Japan,https://en.wikipedia.org/wiki/Japan
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Burundi,https://en.wikipedia.org/wiki/Burundi
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Ghana,https://en.wikipedia.org/wiki/Ghana
Malawi,https://en.wikipedia.org/wiki/Malawi
Albania,https://en.wikipedia.org/wiki/Albania
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Brazil,https://en.wikipedia.org/wiki/Brazil
Cuba,https://en.wikipedia.org/wiki/Cuba
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
France,https://en.wikipedia.org/wiki/France
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Maldives,https://en.wikipedia.org/wiki/Maldives
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Algeria,https://en.wikipedia.org/wiki/Algeria
Morocco,https://en.wikipedia.org/wiki/Morocco
South Africa,https://en.wikipedia.org/wiki/South_Africa
Sudan,https://en.wikipedia.org/wiki/Sudan
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Romania,https://en.wikipedia.org/wiki/Romania
Chile,https://en.wikipedia.org/wiki/Chile
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Belgium,https://en.wikipedia.org/wiki/Belgium
Germany,https://en.wikipedia.org/wiki/Germany
African States,https://en.wikipedia.org/wiki/African_Group
Asia-Pacific States,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#Asia_and_the_Pacific_Group
Eastern EuropeanStates,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American &Caribbean States,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European &Other States,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
Benin,https://en.wikipedia.org/wiki/Benin
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Eritrea,https://en.wikipedia.org/wiki/Eritrea
The Gambia,https://en.wikipedia.org/wiki/The_Gambia
Somalia,https://en.wikipedia.org/wiki/Somalia
India,https://en.wikipedia.org/wiki/India
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Qatar,https://en.wikipedia.org/wiki/Qatar
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Argentina,https://en.wikipedia.org/wiki/Argentina
Honduras,https://en.wikipedia.org/wiki/Honduras
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Finland,https://en.wikipedia.org/wiki/Finland
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
United States,https://en.wikipedia.org/wiki/United_States
Côte d'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Gabon,https://en.wikipedia.org/wiki/Gabon
Malawi,https://en.wikipedia.org/wiki/Malawi
Senegal,https://en.wikipedia.org/wiki/Senegal
China,https://en.wikipedia.org/wiki/China
Nepal,https://en.wikipedia.org/wiki/Nepal
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Russia,https://en.wikipedia.org/wiki/Russia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Cuba,https://en.wikipedia.org/wiki/Cuba
Mexico,https://en.wikipedia.org/wiki/Mexico
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Libya,https://en.wikipedia.org/wiki/Libya
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Sudan,https://en.wikipedia.org/wiki/Sudan
Namibia,https://en.wikipedia.org/wiki/Namibia
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Japan,https://en.wikipedia.org/wiki/Japan
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
South Korea,https://en.wikipedia.org/wiki/South_Korea
Armenia,https://en.wikipedia.org/wiki/Armenia
Poland,https://en.wikipedia.org/wiki/Poland
Brazil,https://en.wikipedia.org/wiki/Brazil
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Germany,https://en.wikipedia.org/wiki/Germany
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Somalia,https://en.wikipedia.org/wiki/Somalia
Togo,https://en.wikipedia.org/wiki/Togo
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Fiji,https://en.wikipedia.org/wiki/Fiji
India,https://en.wikipedia.org/wiki/India
Philippines,https://en.wikipedia.org/wiki/Philippines
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Argentina,https://en.wikipedia.org/wiki/Argentina
Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Austria,https://en.wikipedia.org/wiki/Austria
Denmark,https://en.wikipedia.org/wiki/Denmark
Italy,https://en.wikipedia.org/wiki/Italy
Angola,https://en.wikipedia.org/wiki/Angola
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Senegal,https://en.wikipedia.org/wiki/Senegal
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Nepal,https://en.wikipedia.org/wiki/Nepal
Qatar,https://en.wikipedia.org/wiki/Qatar
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Chile,https://en.wikipedia.org/wiki/Chile
Mexico,https://en.wikipedia.org/wiki/Mexico
Peru,https://en.wikipedia.org/wiki/Peru
Australia,https://en.wikipedia.org/wiki/Australia
Spain,https://en.wikipedia.org/wiki/Spain
Egypt,https://en.wikipedia.org/wiki/Egypt
Rwanda,https://en.wikipedia.org/wiki/Rwanda
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tunisia,https://en.wikipedia.org/wiki/Tunisia
China,https://en.wikipedia.org/wiki/China
Iraq,https://en.wikipedia.org/wiki/Iraq
Japan,https://en.wikipedia.org/wiki/Japan
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Croatia,https://en.wikipedia.org/wiki/Croatia
Hungary,https://en.wikipedia.org/wiki/Hungary
Brazil,https://en.wikipedia.org/wiki/Brazil
Cuba,https://en.wikipedia.org/wiki/Cuba
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Iceland,https://en.wikipedia.org/wiki/Iceland
Burundi,https://en.wikipedia.org/wiki/Burundi
Côte D'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Kenya,https://en.wikipedia.org/wiki/Kenya
Togo,https://en.wikipedia.org/wiki/Togo
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Philippines,https://en.wikipedia.org/wiki/Philippines
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Panama,https://en.wikipedia.org/wiki/Panama
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Belgium,https://en.wikipedia.org/wiki/Belgium
Germany,https://en.wikipedia.org/wiki/Germany
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Botswana,https://en.wikipedia.org/wiki/Botswana
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Ghana,https://en.wikipedia.org/wiki/Ghana
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Qatar,https://en.wikipedia.org/wiki/Qatar
Albania,https://en.wikipedia.org/wiki/Albania
Latvia,https://en.wikipedia.org/wiki/Latvia
Bolivia,https://en.wikipedia.org/wiki/Bolivia
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Portugal,https://en.wikipedia.org/wiki/Portugal
Algeria,https://en.wikipedia.org/wiki/Algeria
Morocco,https://en.wikipedia.org/wiki/Morocco
Namibia,https://en.wikipedia.org/wiki/Namibia
South Africa,https://en.wikipedia.org/wiki/South_Africa
China,https://en.wikipedia.org/wiki/China
Maldives,https://en.wikipedia.org/wiki/Maldives
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Former Yugoslav Republic of Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Russian Federation,https://en.wikipedia.org/wiki/Russia
Cuba,https://en.wikipedia.org/wiki/Cuba
Mexico,https://en.wikipedia.org/wiki/Mexico
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Côte D'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Gabon,https://en.wikipedia.org/wiki/Gabon
Kenya,https://en.wikipedia.org/wiki/Kenya
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Japan,https://en.wikipedia.org/wiki/Japan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Estonia,https://en.wikipedia.org/wiki/Estonia
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Germany,https://en.wikipedia.org/wiki/Germany
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
United States,https://en.wikipedia.org/wiki/United_States
Benin,https://en.wikipedia.org/wiki/Benin
Botswana,https://en.wikipedia.org/wiki/Botswana
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Philippines,https://en.wikipedia.org/wiki/Philippines
Romania,https://en.wikipedia.org/wiki/Romania
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Chile,https://en.wikipedia.org/wiki/Chile
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Peru,https://en.wikipedia.org/wiki/Peru
Italy,https://en.wikipedia.org/wiki/Italy
Austria,https://en.wikipedia.org/wiki/Austria
Angola,https://en.wikipedia.org/wiki/Angola
Libya,https://en.wikipedia.org/wiki/Libya
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Uganda,https://en.wikipedia.org/wiki/Uganda
Qatar,https://en.wikipedia.org/wiki/Qatar
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Thailand,https://en.wikipedia.org/wiki/Thailand
Moldova,https://en.wikipedia.org/wiki/Moldova
Poland,https://en.wikipedia.org/wiki/Poland
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Spain,https://en.wikipedia.org/wiki/Spain
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Senegal,https://en.wikipedia.org/wiki/Senegal
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
China,https://en.wikipedia.org/wiki/China
Jordan,https://en.wikipedia.org/wiki/Jordan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Russian Federation,https://en.wikipedia.org/wiki/Russia
Hungary,https://en.wikipedia.org/wiki/Hungary
Cuba,https://en.wikipedia.org/wiki/Cuba
Mexico,https://en.wikipedia.org/wiki/Mexico
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Belgium,https://en.wikipedia.org/wiki/Belgium
Norway,https://en.wikipedia.org/wiki/Norway
United States,https://en.wikipedia.org/wiki/United_States
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Gabon,https://en.wikipedia.org/wiki/Gabon
Ghana,https://en.wikipedia.org/wiki/Ghana
Zambia,https://en.wikipedia.org/wiki/Zambia
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Japan,https://en.wikipedia.org/wiki/Japan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Chile,https://en.wikipedia.org/wiki/Chile
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Egypt,https://en.wikipedia.org/wiki/Egypt
Angola,https://en.wikipedia.org/wiki/Angola
Madagascar,https://en.wikipedia.org/wiki/Madagascar
South Africa,https://en.wikipedia.org/wiki/South_Africa
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Qatar,https://en.wikipedia.org/wiki/Qatar
Philippines,https://en.wikipedia.org/wiki/Philippines
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Italy,https://en.wikipedia.org/wiki/Italy
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Senegal,https://en.wikipedia.org/wiki/Senegal
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
China,https://en.wikipedia.org/wiki/China
Jordan,https://en.wikipedia.org/wiki/Jordan
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Russian Federation,https://en.wikipedia.org/wiki/Russia
Cuba,https://en.wikipedia.org/wiki/Cuba
Mexico,https://en.wikipedia.org/wiki/Mexico
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Germany,https://en.wikipedia.org/wiki/Germany
Canada,https://en.wikipedia.org/wiki/Canada
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Gabon,https://en.wikipedia.org/wiki/Gabon
Ghana,https://en.wikipedia.org/wiki/Ghana
Mali,https://en.wikipedia.org/wiki/Mali
Zambia,https://en.wikipedia.org/wiki/Zambia
Japan,https://en.wikipedia.org/wiki/Japan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Romania,https://en.wikipedia.org/wiki/Romania
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Brazil,https://en.wikipedia.org/wiki/Brazil
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Peru,https://en.wikipedia.org/wiki/Peru
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Algeria,https://en.wikipedia.org/wiki/Algeria
Morocco,https://en.wikipedia.org/wiki/Morocco
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Bahrain,https://en.wikipedia.org/wiki/Bahrain
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Philippines,https://en.wikipedia.org/wiki/Philippines
Poland,https://en.wikipedia.org/wiki/Poland
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Argentina,https://en.wikipedia.org/wiki/Argentina
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Finland,https://en.wikipedia.org/wiki/Finland
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Morocco,https://en.wikipedia.org/wiki/Morocco
Czechia,https://en.wikipedia.org/wiki/Czech_Republic
Federico Villegas,https://en.wikipedia.org/wiki/Federico_Villegas_(diplomat)
Argentina,https://en.wikipedia.org/wiki/Argentina
Nazahat Shameen Khan,https://en.wikipedia.org/wiki/Nazahat_Shameen_Khan
Fiji,https://en.wikipedia.org/wiki/Fiji
Elisabeth Tichy-Fisslberger,https://en.wikipedia.org/wiki/Elisabeth_Tichy-Fisslberger
Austria,https://en.wikipedia.org/wiki/Austria
Senegal,https://en.wikipedia.org/wiki/Senegal
Slovenia,https://en.wikipedia.org/wiki/Slovenia
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Joachim Rücker,https://en.wikipedia.org/wiki/Joachim_R%C3%BCcker
Germany,https://en.wikipedia.org/wiki/Germany
Gabon,https://en.wikipedia.org/wiki/Gabon
Poland,https://en.wikipedia.org/wiki/Poland
Laura Dupuy Lasserre,https://en.wikipedia.org/wiki/Laura_Dupuy_Lasserre
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Thailand,https://en.wikipedia.org/wiki/Thailand
Belgium,https://en.wikipedia.org/wiki/Belgium
Martin Ihoeghian Uhomoibhi,https://en.wikipedia.org/wiki/Martin_Ihoeghian_Uhomoibhi
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Doru Romulus Costea,https://en.wikipedia.org/wiki/Doru_Romulus_Costea
Romania,https://en.wikipedia.org/wiki/Romania
Luis Alfonso de Alba,https://en.wikipedia.org/wiki/Luis_Alfonso_de_Alba
Mexico,https://en.wikipedia.org/wiki/Mexico
human rights,https://en.wikipedia.org/wiki/Human_rights
suspend Libya's membership,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_Resolution_65/265
Muammar Gaddafi,https://en.wikipedia.org/wiki/Muammar_Gaddafi
Bucha massacre,https://en.wikipedia.org/wiki/Bucha_massacre
eleventh emergency special session of the General Assembly,https://en.wikipedia.org/wiki/Eleventh_emergency_special_session_of_the_United_Nations_General_Assembly
gross and systematic violations of human rights,https://en.wikipedia.org/wiki/War_crimes_in_the_2022_Russian_invasion_of_Ukraine
2022 Russian invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
Gennady Kuzmin,https://en.wikipedia.org/wiki/Gennady_Kuzmin_(diplomat)
Universal Periodic Review,https://en.wikipedia.org/wiki/United_Nations_Human_Rights_Council_Universal_Periodic_Review
non-governmental organisations,https://en.wikipedia.org/wiki/Non-governmental_organization
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Sub-Commission on the Promotion and Protection of Human Rights,https://en.wikipedia.org/wiki/Sub-Commission_on_the_Promotion_and_Protection_of_Human_Rights
racial segregation,https://en.wikipedia.org/wiki/Racial_segregation
Arabic,https://en.wikipedia.org/wiki/Arabic
trade unions,https://en.wikipedia.org/wiki/Trade_union
Iraq,https://en.wikipedia.org/wiki/Iraq
special rapporteur,https://en.wikipedia.org/wiki/United_Nations_special_rapporteur
treaty,https://en.wikipedia.org/wiki/Treaty
Working Group on Indigenous Populations,https://en.wikipedia.org/wiki/Working_Group_on_Indigenous_Populations
special rapporteurs,https://en.wikipedia.org/wiki/United_Nations_special_rapporteur
United Nations special rapporteur,https://en.wikipedia.org/wiki/United_Nations_special_rapporteur
Organisation of the Islamic Conference,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
Reporters Without Borders,https://en.wikipedia.org/wiki/Reporters_Without_Borders
Index on Censorship,https://en.wikipedia.org/wiki/Index_on_Censorship
Human Rights Watch,https://en.wikipedia.org/wiki/Human_Rights_Watch
International Humanist and Ethical Union,https://en.wikipedia.org/wiki/International_Humanist_and_Ethical_Union
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Special Rapporteur on the occupied Palestinian territories,https://en.wikipedia.org/wiki/United_Nations_Special_Rapporteur_on_the_occupied_Palestinian_territories
international humanitarian law,https://en.wikipedia.org/wiki/International_humanitarian_law
Occupied Palestinian Territories,https://en.wikipedia.org/wiki/Palestinian_territories
s,https://en.wikipedia.org/wiki/United_Nations_Special_Rapporteur_on_the_occupied_Palestinian_territories
Francesca Albanese,https://en.wikipedia.org/wiki/Francesca_Albanese
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
Israeli–Palestinian conflict,https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict
Organisation of the Islamic Conference,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
Richard Goldstone,https://en.wikipedia.org/wiki/Richard_Goldstone
