text,url
specialized agency,https://en.wikipedia.org/wiki/Specialized_agency
United Nations,https://en.wikipedia.org/wiki/United_Nations
UN Office,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
Vienna,https://en.wikipedia.org/wiki/Vienna
emerging from decolonization,https://en.wikipedia.org/wiki/Decolonization
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
African Union Commission,https://en.wikipedia.org/wiki/African_Union_Commission
New Partnership for Africa's Development,https://en.wikipedia.org/wiki/New_Partnership_for_Africa%27s_Development
Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
2030 Agenda for Sustainable Development,https://en.wikipedia.org/wiki/2030_Agenda_for_Sustainable_Development
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Vienna,https://en.wikipedia.org/wiki/Vienna
UNIDO Goodwill Ambassador,https://en.wikipedia.org/wiki/UNIDO_Goodwill_Ambassador
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Ibrahim Helmi Abd-elRahman,https://en.wikipedia.org/wiki/Ibrahim_Helmi_Abd-elRahman
Egypt,https://en.wikipedia.org/wiki/Egypt
Algeria,https://en.wikipedia.org/wiki/Algeria
Domingo L. Siazon Jr.,https://en.wikipedia.org/wiki/Domingo_L._Siazon_Jr.
Philippines,https://en.wikipedia.org/wiki/Philippines
Mauricio de Maria y Campos,https://en.wikipedia.org/wiki/Mauricio_de_Maria_y_Campos
Mexico,https://en.wikipedia.org/wiki/Mexico
Carlos Alfredo Magariños,https://en.wikipedia.org/wiki/Carlos_Alfredo_Magari%C3%B1os
Argentina,https://en.wikipedia.org/wiki/Argentina
Kandeh Yumkella,https://en.wikipedia.org/wiki/Kandeh_Yumkella
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Li Yong (李勇),https://en.wikipedia.org/wiki/Li_Yong_(politician)
China,https://en.wikipedia.org/wiki/China
Gerd Müller,https://en.wikipedia.org/wiki/Gerd_M%C3%BCller_(politician)
Germany,https://en.wikipedia.org/wiki/Germany
Vienna International Centre,https://en.wikipedia.org/wiki/Vienna_International_Centre
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
United Nations Office on Drugs and Crime,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime
Comprehensive Test Ban Treaty Organization,https://en.wikipedia.org/wiki/Comprehensive_Test_Ban_Treaty_Organization
agro-industries,https://en.wikipedia.org/wiki/Agro-industries
energy security,https://en.wikipedia.org/wiki/Energy_security
trade,https://en.wikipedia.org/wiki/Trade
capacity building,https://en.wikipedia.org/wiki/Capacity_building
private sector,https://en.wikipedia.org/wiki/Private_sector
SMEs,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
trade norms,https://en.wikipedia.org/wiki/Trade_regulation
developing countries,https://en.wikipedia.org/wiki/Developing_countries
transition economies,https://en.wikipedia.org/wiki/Transition_economies
international markets,https://en.wikipedia.org/wiki/International_market
barriers to trade,https://en.wikipedia.org/wiki/Barriers_to_trade
Lanzhou,https://en.wikipedia.org/wiki/Lanzhou
environmental management,https://en.wikipedia.org/wiki/Environmental_management
sustainable energy,https://en.wikipedia.org/wiki/Sustainable_energy
green industries,https://en.wikipedia.org/wiki/Green_industrial_policy
supply chain,https://en.wikipedia.org/wiki/Supply_chain
clean technology,https://en.wikipedia.org/wiki/Clean_technology
Cleaner Production,https://en.wikipedia.org/wiki/Cleaner_Production
chemical leasing,https://en.wikipedia.org/wiki/Chemical_leasing
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
United Nations Secretary-General,https://en.wikipedia.org/wiki/United_Nations_Secretary-General
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Group of 77,https://en.wikipedia.org/wiki/Group_of_77
specialized agency,https://en.wikipedia.org/wiki/Specialized_agency
Lima,https://en.wikipedia.org/wiki/Lima
Peru,https://en.wikipedia.org/wiki/Peru
New International Economic Order,https://en.wikipedia.org/wiki/New_International_Economic_Order
Washington Consensus,https://en.wikipedia.org/wiki/Washington_Consensus
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
UN Reform,https://en.wikipedia.org/wiki/Reform_of_the_United_Nations
specialized agencies,https://en.wikipedia.org/wiki/Specialized_agency
IAEA,https://en.wikipedia.org/wiki/IAEA
African,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#African_Group
Asian,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#Asian_Group
Cyprus,https://en.wikipedia.org/wiki/Cyprus
WEOG,https://en.wikipedia.org/wiki/WEOG
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Israel,https://en.wikipedia.org/wiki/Israel
GRULAC,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#Latin_American_and_Caribbean_States_(GRULAC)
Eastern European,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups#Eastern_European_Group
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
specialized agencies,https://en.wikipedia.org/wiki/Specialized_agencies
IFAD,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development#Membership
developed countries,https://en.wikipedia.org/wiki/Developed_countries
developing countries,https://en.wikipedia.org/wiki/Developing_countries
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Algeria,https://en.wikipedia.org/wiki/Algeria
Angola,https://en.wikipedia.org/wiki/Angola
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Benin,https://en.wikipedia.org/wiki/Benin
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Botswana,https://en.wikipedia.org/wiki/Botswana
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/Burundi
Cambodia,https://en.wikipedia.org/wiki/Cambodia
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
Comoros,https://en.wikipedia.org/wiki/Comoros
Congo,https://en.wikipedia.org/wiki/Republic_of_Congo
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Fiji,https://en.wikipedia.org/wiki/Fiji
Gabon,https://en.wikipedia.org/wiki/Gabon
Gambia,https://en.wikipedia.org/wiki/Gambia
Ghana,https://en.wikipedia.org/wiki/Ghana
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Israel,https://en.wikipedia.org/wiki/Israel
Jordan,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kenya,https://en.wikipedia.org/wiki/Kenya
Kiribati,https://en.wikipedia.org/wiki/Kiribati
North Korea,https://en.wikipedia.org/wiki/Democratic_People%27s_Republic_of_Korea
South Korea,https://en.wikipedia.org/wiki/Republic_of_Korea
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Laos,https://en.wikipedia.org/wiki/Lao_People%27s_Democratic_Republic
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia
Libya,https://en.wikipedia.org/wiki/Libya
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Mali,https://en.wikipedia.org/wiki/Mali
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Morocco,https://en.wikipedia.org/wiki/Morocco
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Namibia,https://en.wikipedia.org/wiki/Namibia
Nepal,https://en.wikipedia.org/wiki/Nepal
Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Oman,https://en.wikipedia.org/wiki/Oman
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palau,https://en.wikipedia.org/wiki/Palau
State of Palestine,https://en.wikipedia.org/wiki/State_of_Palestine
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Philippines,https://en.wikipedia.org/wiki/Philippines
Qatar,https://en.wikipedia.org/wiki/Qatar
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Samoa,https://en.wikipedia.org/wiki/Samoa
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,https://en.wikipedia.org/wiki/Senegal
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Somalia,https://en.wikipedia.org/wiki/Somalia
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Sudan,https://en.wikipedia.org/wiki/Sudan
Syria,https://en.wikipedia.org/wiki/Syria
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Thailand,https://en.wikipedia.org/wiki/Thailand
Timor-Leste,https://en.wikipedia.org/wiki/Timor-Leste
Togo,https://en.wikipedia.org/wiki/Togo
Tonga,https://en.wikipedia.org/wiki/Tonga
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Uganda,https://en.wikipedia.org/wiki/Uganda
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Yemen,https://en.wikipedia.org/wiki/Yemen
Zambia,https://en.wikipedia.org/wiki/Zambia
Austria,https://en.wikipedia.org/wiki/Austria
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Finland,https://en.wikipedia.org/wiki/Finland
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Monaco,https://en.wikipedia.org/wiki/Monaco
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina,https://en.wikipedia.org/wiki/Argentina
The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Barbados,https://en.wikipedia.org/wiki/Barbados
Belize,https://en.wikipedia.org/wiki/Belize
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Brazil,https://en.wikipedia.org/wiki/Brazil
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Cuba,https://en.wikipedia.org/wiki/Cuba
Dominica,https://en.wikipedia.org/wiki/Dominica
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,https://en.wikipedia.org/wiki/Ecuador
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Grenada,https://en.wikipedia.org/wiki/Grenada
Guatemala,https://en.wikipedia.org/wiki/Guatemala
