text,url
Least Developed Countries,https://en.wikipedia.org/wiki/Least_Developed_Countries
Small Island Developing States,https://en.wikipedia.org/wiki/Small_Island_Developing_States
Geneva,https://en.wikipedia.org/wiki/Geneva
New York City,https://en.wikipedia.org/wiki/New_York_City
Hiroshima,https://en.wikipedia.org/wiki/Hiroshima
Bonn,https://en.wikipedia.org/wiki/Bonn
Port Harcourt,https://en.wikipedia.org/wiki/Port_Harcourt
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Nairobi,https://en.wikipedia.org/wiki/Nairobi
CIFAL,https://en.wikipedia.org/wiki/CIFAL
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UN Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
UN Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
UN system,https://en.wikipedia.org/wiki/United_Nations_System
United Nations,https://en.wikipedia.org/wiki/United_Nations
decolonization,https://en.wikipedia.org/wiki/Decolonization
New York City,https://en.wikipedia.org/wiki/New_York_City
Geneva,https://en.wikipedia.org/wiki/Geneva
Multiculturalism,https://en.wikipedia.org/wiki/Multiculturalism
UN member states,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
civil society,https://en.wikipedia.org/wiki/Civil_society
UN member States,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
Least Developed Countries,https://en.wikipedia.org/wiki/Least_Developed_Countries
2030 Agenda for Sustainable Development,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
climate change,https://en.wikipedia.org/wiki/Climate_change
waste management,https://en.wikipedia.org/wiki/Waste_management
green economy,https://en.wikipedia.org/wiki/Green_economy
Peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
UNOSAT,https://en.wikipedia.org/wiki/UNOSAT
public policies,https://en.wikipedia.org/wiki/Public_policy
UN Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
Special Representatives of the UN Secretary-General,https://en.wikipedia.org/wiki/Special_Representative_of_the_Secretary-General
Climate Change,https://en.wikipedia.org/wiki/Climate_change
Global Migration Group,https://en.wikipedia.org/wiki/Global_Migration_Group
knowledge systems,https://en.wikipedia.org/wiki/Knowledge-based_systems
training,https://en.wikipedia.org/wiki/Training
UN General Assembly,https://en.wikipedia.org/wiki/UN_General_Assembly
United Nations system,https://en.wikipedia.org/wiki/United_Nations_System
United Nations Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
UN Member States,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
UN agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
Intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
NGOs,https://en.wikipedia.org/wiki/Non-governmental_organization
private sector,https://en.wikipedia.org/wiki/Private_sector
Geneva,https://en.wikipedia.org/wiki/Geneva
New York City,https://en.wikipedia.org/wiki/New_York_City
Hiroshima,https://en.wikipedia.org/wiki/Hiroshima
Bonn,https://en.wikipedia.org/wiki/Bonn
Port Harcourt,https://en.wikipedia.org/wiki/Port_Harcourt
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Nairobi,https://en.wikipedia.org/wiki/Nairobi
CIFAL Global Network,https://en.wikipedia.org/wiki/CIFAL
Asia,https://en.wikipedia.org/wiki/Asia
Africa,https://en.wikipedia.org/wiki/Africa
Australia,https://en.wikipedia.org/wiki/Australia
Europe,https://en.wikipedia.org/wiki/Europe
Americas,https://en.wikipedia.org/wiki/Americas
Caribbean,https://en.wikipedia.org/wiki/Caribbean
multilateral diplomacy,https://en.wikipedia.org/wiki/Multilateralism
peacemaking,https://en.wikipedia.org/wiki/Peacemaking
peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
adaptation to climate change,https://en.wikipedia.org/wiki/Climate_change_adaptation
green economy,https://en.wikipedia.org/wiki/Green_economy
environmental governance,https://en.wikipedia.org/wiki/Environmental_governance
waste management,https://en.wikipedia.org/wiki/Waste_management
public finance,https://en.wikipedia.org/wiki/Public_finance
2030 Agenda,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
satellite imagery,https://en.wikipedia.org/wiki/Satellite_imagery
UNOSAT,https://en.wikipedia.org/wiki/UNOSAT
United Nations University,https://en.wikipedia.org/wiki/United_Nations_University
United Nations System Staff College,https://en.wikipedia.org/wiki/United_Nations_System_Staff_College
