text,url
global,https://en.wikipedia.org/wiki/Earth
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
UN Charter,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
international peace,https://en.wikipedia.org/wiki/International_peace
security,https://en.wikipedia.org/wiki/International_security
relations,https://en.wikipedia.org/wiki/Diplomacy
states,https://en.wikipedia.org/wiki/State_(polity)
United Nations headquarters,https://en.wikipedia.org/wiki/United_Nations_headquarters
New York City,https://en.wikipedia.org/wiki/New_York_City
Geneva,https://en.wikipedia.org/wiki/United_Nations_Office_at_Geneva
Nairobi,https://en.wikipedia.org/wiki/United_Nations_Office_at_Nairobi
Vienna,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
The Hague,https://en.wikipedia.org/wiki/The_Hague
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
Trusteeship Council,https://en.wikipedia.org/wiki/United_Nations_Trusteeship_Council
specialized agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
member states,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
observer states.,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
decolonization,https://en.wikipedia.org/wiki/Decolonization
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
"criticized for perceived ineffectiveness, bias, and corruption.",https://en.wikipedia.org/wiki/Criticism_of_the_United_Nations
Haile Selassie I,https://en.wikipedia.org/wiki/Haile_Selassie
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
international organizations,https://en.wikipedia.org/wiki/International_organization
International Committee of the Red Cross,https://en.wikipedia.org/wiki/International_Committee_of_the_Red_Cross
World War I,https://en.wikipedia.org/wiki/World_War_I
U.S. president,https://en.wikipedia.org/wiki/President_of_the_United_States
Woodrow Wilson,https://en.wikipedia.org/wiki/Foreign_policy_of_the_Woodrow_Wilson_administration
Allies,https://en.wikipedia.org/wiki/Allies_of_World_War_I
Paris Peace Conference,https://en.wikipedia.org/wiki/Paris_Peace_Conference_(1919%E2%80%931920)
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
United States,https://en.wikipedia.org/wiki/United_States
Covenant of the League of Nations,https://en.wikipedia.org/wiki/Covenant_of_the_League_of_Nations
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Ireland
France,https://en.wikipedia.org/wiki/France
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Japanese invasion of Manchuria,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria
Manchuria,https://en.wikipedia.org/wiki/Manchuria
Second Italo-Ethiopian War,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War
Ethiopian Emperor,https://en.wikipedia.org/wiki/Ethiopian_Emperor
Haile Selassie I,https://en.wikipedia.org/wiki/Haile_Selassie
World War II,https://en.wikipedia.org/wiki/World_War_II
