text,url
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
Sendai Framework for Disaster Risk Reduction,https://en.wikipedia.org/wiki/Sendai_Framework_for_Disaster_Risk_Reduction
World Conference on Disaster Risk Reduction,https://en.wikipedia.org/wiki/World_Conference_on_Disaster_Risk_Reduction
Sendai,https://en.wikipedia.org/wiki/Sendai
Japan,https://en.wikipedia.org/wiki/Japan
Geneva,https://en.wikipedia.org/wiki/Geneva
Switzerland,https://en.wikipedia.org/wiki/Switzerland
disaster risk reduction,https://en.wikipedia.org/wiki/Disaster_risk_reduction
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
World Summit on Sustainable Development,https://en.wikipedia.org/wiki/World_Summit_on_Sustainable_Development
Kobe,https://en.wikipedia.org/wiki/Kobe
Hyogo,https://en.wikipedia.org/wiki/Hyogo
Japan,https://en.wikipedia.org/wiki/Japan
non-governmental organizations,https://en.wikipedia.org/wiki/Non-governmental_organization
United Nations Conference on Sustainable Development,https://en.wikipedia.org/wiki/United_Nations_Conference_on_Sustainable_Development
World Conference on Disaster Risk Reduction,https://en.wikipedia.org/wiki/World_Conference_on_Disaster_Risk_Reduction
Post-2015 Development Agenda,https://en.wikipedia.org/wiki/Post-2015_Development_Agenda
"Cancun, Mexico","https://en.wikipedia.org/wiki/Cancun,_Mexico"
Geneva,https://en.wikipedia.org/wiki/Geneva
Japan,https://en.wikipedia.org/wiki/Japan
Olumide Idowu,https://en.wikipedia.org/wiki/Olumide_Idowu
Robert Glasser,https://en.wikipedia.org/wiki/Robert_Glasser
Australia,https://en.wikipedia.org/wiki/Australia
Margareta Wahlström,https://en.wikipedia.org/wiki/Margareta_Wahlstr%C3%B6m
Sweden,https://en.wikipedia.org/wiki/Sweden
United Nations Office for the Coordination of Humanitarian Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
UN-Habitat,https://en.wikipedia.org/wiki/UN-Habitat
SFDRR,https://en.wikipedia.org/wiki/Sendai_Framework_for_Disaster_Risk_Reduction
Ryoichi Sasakawa,https://en.wikipedia.org/wiki/Ryoichi_Sasakawa
Dr. P. K. Mishra,https://en.wikipedia.org/wiki/Pramod_Kumar_Misra
Grace Ebun Delano,https://en.wikipedia.org/wiki/Grace_Ebun_Delano
Sendai Framework for Disaster Risk Reduction,https://en.wikipedia.org/wiki/Sendai_Framework_for_Disaster_Risk_Reduction
Disaster risk reduction,https://en.wikipedia.org/wiki/Disaster_risk_reduction
Climate change adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
Emergency management,https://en.wikipedia.org/wiki/Emergency_management
Natural disasters,https://en.wikipedia.org/wiki/Natural_disasters
Vulnerability,https://en.wikipedia.org/wiki/Vulnerability
Business continuity planning,https://en.wikipedia.org/wiki/Business_continuity_planning
Climate change,https://en.wikipedia.org/wiki/Climate_change
Risk management,https://en.wikipedia.org/wiki/Risk_management
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
