text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
Elinor Hammarskjöld,https://en.wikipedia.org/wiki/Elinor_Hammarskj%C3%B6ld
divisions,https://en.wikipedia.org/wiki/Division_(business)
Law of the Sea,https://en.wikipedia.org/wiki/Law_of_the_Sea
International Trade Law,https://en.wikipedia.org/wiki/International_trade_law
Treaty,https://en.wikipedia.org/wiki/Treaty
signature,https://en.wikipedia.org/wiki/Signature
ratification,https://en.wikipedia.org/wiki/Ratification
United Nations General Assembly Sixth Committee (Legal),https://en.wikipedia.org/wiki/United_Nations_General_Assembly_Sixth_Committee
International conventions on terrorism and counter-terrorism (Anti-terrorism legislation),https://en.wikipedia.org/wiki/International_conventions_on_terrorism
International Law Commission (ILC),https://en.wikipedia.org/wiki/International_Law_Commission
United Nations Commission on International Trade Law (UNCITRAL),https://en.wikipedia.org/wiki/United_Nations_Commission_on_International_Trade_Law
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
