text,url
French,https://en.wikipedia.org/wiki/French_language
United Nations,https://en.wikipedia.org/wiki/United_Nations
United Nations Office at Vienna,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
illicit drugs,https://en.wikipedia.org/wiki/Illicit_drugs
crime prevention,https://en.wikipedia.org/wiki/Crime_prevention
criminal justice,https://en.wikipedia.org/wiki/Criminal_justice
terrorism,https://en.wikipedia.org/wiki/Terrorism
political corruption,https://en.wikipedia.org/wiki/Political_corruption
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
United Nations Office at Vienna,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
Vienna,https://en.wikipedia.org/wiki/Vienna
Brussels,https://en.wikipedia.org/wiki/Brussels
New York City,https://en.wikipedia.org/wiki/New_York_City
United Nations Secretary-General,https://en.wikipedia.org/wiki/United_Nations_Secretary-General
Yuri Fedotov,https://en.wikipedia.org/wiki/Yuri_Fedotov
United Nations Secretary-General,https://en.wikipedia.org/wiki/United_Nations_Secretary-General
United Nations Office at Vienna,https://en.wikipedia.org/wiki/United_Nations_Office_at_Vienna
United Nations Crime Prevention and Criminal Justice Programme Network (PNI),https://en.wikipedia.org/wiki/United_Nations_Crime_Prevention_and_Criminal_Justice_Programme_Network
International Narcotics Control Board,https://en.wikipedia.org/wiki/International_Narcotics_Control_Board
terrorism studies,https://en.wikipedia.org/wiki/Terrorism_studies
Alex P. Schmid,https://en.wikipedia.org/wiki/Alex_P._Schmid
United Nations Sustainable Development Group,https://en.wikipedia.org/wiki/United_Nations_Sustainable_Development_Group
crime,https://en.wikipedia.org/wiki/Crime
terrorism,https://en.wikipedia.org/wiki/Terrorism
corruption,https://en.wikipedia.org/wiki/Corruption
anti-corruption,https://en.wikipedia.org/wiki/Anti-corruption
criminal justice,https://en.wikipedia.org/wiki/Criminal_justice
prison reform,https://en.wikipedia.org/wiki/Prison_reform
crime prevention,https://en.wikipedia.org/wiki/Crime_prevention
HIV and AIDS,https://en.wikipedia.org/wiki/HIV/AIDS
human trafficking,https://en.wikipedia.org/wiki/Human_trafficking
migrant smuggling,https://en.wikipedia.org/wiki/People_smuggling
money laundering,https://en.wikipedia.org/wiki/Money_laundering
organized crime,https://en.wikipedia.org/wiki/Organized_crime
piracy,https://en.wikipedia.org/wiki/Piracy
transnational crime,https://en.wikipedia.org/wiki/Transnational_crime
"Protocol to Prevent, Suppress and Punish Trafficking in Persons, especially Women and Children","https://en.wikipedia.org/wiki/Protocol_to_Prevent,_Suppress_and_Punish_Trafficking_in_Persons,_especially_Women_and_Children"
"Protocol against the Smuggling of Migrants by Land, Sea and Air","https://en.wikipedia.org/wiki/Protocol_against_the_Smuggling_of_Migrants_by_Land,_Sea_and_Air"
