text,url
UN agency,https://en.wikipedia.org/wiki/United_Nations_System
reproductive and maternal health,https://en.wikipedia.org/wiki/Reproductive_health
birth control,https://en.wikipedia.org/wiki/Birth_control
child marriage,https://en.wikipedia.org/wiki/Child_marriage
obstetric fistula,https://en.wikipedia.org/wiki/Obstetric_fistula
female genital mutilation,https://en.wikipedia.org/wiki/Female_genital_mutilation
Arab States,https://en.wikipedia.org/wiki/Arab_States
Europe,https://en.wikipedia.org/wiki/Europe
Asia,https://en.wikipedia.org/wiki/Asia
Pacific,https://en.wikipedia.org/wiki/Pacific_Ocean
Latin America,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
Africa,https://en.wikipedia.org/wiki/Africa
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
United Nations Development Fund,https://en.wikipedia.org/wiki/United_Nations_Development_Fund
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
poverty,https://en.wikipedia.org/wiki/Poverty
discrimination,https://en.wikipedia.org/wiki/Discrimination
preventable deaths,https://en.wikipedia.org/wiki/Preventable_deaths
environmental destruction,https://en.wikipedia.org/wiki/Environmental_destruction
gender equality,https://en.wikipedia.org/wiki/Gender_equality
Natalia Kanem,https://en.wikipedia.org/wiki/Natalia_Kanem
Hong Kong University of Science and Technology,https://en.wikipedia.org/wiki/Hong_Kong_University_of_Science_and_Technology
Rafael M. Salas,https://en.wikipedia.org/wiki/Rafael_M._Salas
Philippines,https://en.wikipedia.org/wiki/Philippines
Nafis Sadik,https://en.wikipedia.org/wiki/Nafis_Sadik
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Thoraya Ahmed Obaid,https://en.wikipedia.org/wiki/Thoraya_Ahmed_Obaid
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Babatunde Osotimehin,https://en.wikipedia.org/wiki/Babatunde_Osotimehin
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Natalia Kanem,https://en.wikipedia.org/wiki/Natalia_Kanem
Panama,https://en.wikipedia.org/wiki/Panama
reproductive health,https://en.wikipedia.org/wiki/Reproductive_health
pregnancies,https://en.wikipedia.org/wiki/Pregnancy
sexually transmitted infections,https://en.wikipedia.org/wiki/Sexually_transmitted_infections
violence against women,https://en.wikipedia.org/wiki/Violence_against_women
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
UNFPA Goodwill Ambassadors,https://en.wikipedia.org/wiki/UNFPA_Goodwill_Ambassador
Special Programme on Human Reproduction,https://en.wikipedia.org/wiki/Special_Programme_on_Human_Reproduction
coronavirus pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
obstetric fistula,https://en.wikipedia.org/wiki/Obstetric_fistula
female genital mutilation,https://en.wikipedia.org/wiki/Female_genital_mutilation
right to health,https://en.wikipedia.org/wiki/Right_to_health
UNICEF,https://en.wikipedia.org/wiki/UNICEF
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
pro-life,https://en.wikipedia.org/wiki/Pro-life
forced abortions,https://en.wikipedia.org/wiki/Forced_abortion
coercive sterilizations,https://en.wikipedia.org/wiki/Coercive_sterilization
U.S. Congress,https://en.wikipedia.org/wiki/U.S._Congress
Republican,https://en.wikipedia.org/wiki/GOP
Reagan,https://en.wikipedia.org/wiki/Reagan
H.W. Bush,https://en.wikipedia.org/wiki/H.W._Bush
W. Bush,https://en.wikipedia.org/wiki/George_W._Bush
Trump,https://en.wikipedia.org/wiki/Donald_Trump
Mexico City Policy,https://en.wikipedia.org/wiki/Mexico_City_Policy
Peruvian program had been engaged in carrying out coercive sterilizations,https://en.wikipedia.org/wiki/Forced_sterilization_in_Peru
protect,https://en.wikipedia.org/wiki/Humanitarian_protection
Nicholas Burns,https://en.wikipedia.org/wiki/R._Nicholas_Burns
US State Department,https://en.wikipedia.org/wiki/United_States_Department_of_State
Colin Powell,https://en.wikipedia.org/wiki/Colin_Powell
The Washington Post,https://en.wikipedia.org/wiki/The_Washington_Post
The Washington Times,https://en.wikipedia.org/wiki/The_Washington_Times
Colin Powell,https://en.wikipedia.org/wiki/Colin_Powell
Chris Smith,https://en.wikipedia.org/wiki/Chris_Smith_(New_Jersey_politician)
Nafis Sadik,https://en.wikipedia.org/wiki/Nafis_Sadik
Amnesty International,https://en.wikipedia.org/wiki/Amnesty_International
Population Research Institute,https://en.wikipedia.org/wiki/Population_Research_Institute_(organization)
Group of 77,https://en.wikipedia.org/wiki/Group_of_77
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Sandbæk Report,https://en.wikipedia.org/wiki/Sandb%C3%A6k_Report
European Commission,https://en.wikipedia.org/wiki/European_Commission
Americans for UNFPA,https://en.wikipedia.org/wiki/Americans_for_UNFPA
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama
Trump administration,https://en.wikipedia.org/wiki/First_presidency_of_Donald_Trump
Commission on Population and Development,https://en.wikipedia.org/wiki/Commission_on_Population_and_Development
United Nations Department of Economic and Social Affairs,https://en.wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs
Reproductive Health Supplies Coalition,https://en.wikipedia.org/wiki/Reproductive_Health_Supplies_Coalition
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Kaiser Family Foundation,https://en.wikipedia.org/wiki/Kaiser_Family_Foundation
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Nations Economic and Social Commission for Asia and the Pacific,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific
