text,url
six principal organs,https://en.wikipedia.org/wiki/Organs_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
international peace and security,https://en.wikipedia.org/wiki/International_security
UN members,https://en.wikipedia.org/wiki/UN_members
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UN Charter,https://en.wikipedia.org/wiki/UN_Charter
peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
international sanctions,https://en.wikipedia.org/wiki/International_sanctions
military action,https://en.wikipedia.org/wiki/Military_action
resolutions,https://en.wikipedia.org/wiki/United_Nations_Security_Council_resolution
World War II,https://en.wikipedia.org/wiki/World_War_II
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
world peace,https://en.wikipedia.org/wiki/World_peace
Cold War,https://en.wikipedia.org/wiki/Cold_War
Korean War,https://en.wikipedia.org/wiki/Korean_War
Congo Crisis,https://en.wikipedia.org/wiki/Congo_Crisis
Cyprus,https://en.wikipedia.org/wiki/Cyprus
West New Guinea,https://en.wikipedia.org/wiki/West_New_Guinea
Sinai Peninsula,https://en.wikipedia.org/wiki/Sinai_Peninsula
collapse of the Soviet Union,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
UN peacekeeping,https://en.wikipedia.org/wiki/UN_peacekeeping
Kuwait,https://en.wikipedia.org/wiki/Gulf_War
Namibia,https://en.wikipedia.org/wiki/United_Nations_Transition_Assistance_Group
Cambodia,https://en.wikipedia.org/wiki/United_Nations_Transitional_Authority_in_Cambodia
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/United_Nations_Protection_Force
Rwanda,https://en.wikipedia.org/wiki/United_Nations_Assistance_Mission_for_Rwanda
Somalia,https://en.wikipedia.org/wiki/United_Nations_Operation_in_Somalia_II
Sudan,https://en.wikipedia.org/wiki/War_in_Darfur
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Kivu_conflict
fifteen members,https://en.wikipedia.org/wiki/List_of_members_of_the_United_Nations_Security_Council
five are permanent,https://en.wikipedia.org/wiki/Permanent_members_of_the_United_Nations_Security_Council
China,https://en.wikipedia.org/wiki/China
France,https://en.wikipedia.org/wiki/France
Russia,https://en.wikipedia.org/wiki/Russia
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
great powers,https://en.wikipedia.org/wiki/Great_power
victors of World War II,https://en.wikipedia.org/wiki/Allies_of_World_War_II
veto,https://en.wikipedia.org/wiki/United_Nations_Security_Council_veto_power
Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
body's presidency,https://en.wikipedia.org/wiki/Presidency_of_the_United_Nations_Security_Council
Resolutions,https://en.wikipedia.org/wiki/United_Nations_resolution
UN peacekeepers,https://en.wikipedia.org/wiki/United_Nations_peacekeeping
International Committee of the Red Cross,https://en.wikipedia.org/wiki/International_Committee_of_the_Red_Cross
Hague Conventions of 1899 and 1907,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907
World War I,https://en.wikipedia.org/wiki/World_War_I
Paris Peace Conference,"https://en.wikipedia.org/wiki/Paris_Peace_Conference,_1919"
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
USSR,https://en.wikipedia.org/wiki/USSR
Japanese invasion of Manchuria,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria
Second Italo-Ethiopian War,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War
Japanese occupation of China,https://en.wikipedia.org/wiki/Japanese_occupation_of_China
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler
World War II,https://en.wikipedia.org/wiki/World_War_II
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek
Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill
Cairo Conference,https://en.wikipedia.org/wiki/Cairo_Conference_(1943)
World War II,https://en.wikipedia.org/wiki/World_War_II
Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill
Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin
Yalta Conference,https://en.wikipedia.org/wiki/Yalta_Conference
Churchill,https://en.wikipedia.org/wiki/Winston_Churchill
Maxim Litvinov,https://en.wikipedia.org/wiki/Maxim_Litvinov
T. V. Soong,https://en.wikipedia.org/wiki/T._V._Soong
Republic of China,https://en.wikipedia.org/wiki/Republic_of_China_(1912%E2%80%931949)
Atlantic Charter,https://en.wikipedia.org/wiki/Atlantic_Charter
London Declaration,https://en.wikipedia.org/wiki/Declaration_of_St_James%27s_Palace
United Nations Declaration,https://en.wikipedia.org/wiki/United_Nations_Declaration
Four Powers,https://en.wikipedia.org/wiki/Four_Policemen
Moscow Conference,https://en.wikipedia.org/wiki/Moscow_Conference_(1943)
Tehran Conference,https://en.wikipedia.org/wiki/Tehran_Conference
Big Four,https://en.wikipedia.org/wiki/Four_Policemen
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Republic of China,https://en.wikipedia.org/wiki/Republic_of_China_(1912%E2%80%931949)
Dumbarton Oaks Conference,https://en.wikipedia.org/wiki/Dumbarton_Oaks_Conference
Brazil,https://en.wikipedia.org/wiki/Brazil
Yalta Conference,https://en.wikipedia.org/wiki/Yalta_Conference
UN Conference on International Organization,https://en.wikipedia.org/wiki/UN_Conference_on_International_Organization
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
H. V. Evatt,https://en.wikipedia.org/wiki/H._V._Evatt
"Church House, Westminster","https://en.wikipedia.org/wiki/Church_House,_Westminster"
"Lake Success, New York","https://en.wikipedia.org/wiki/Lake_Success,_New_York"
CBS,https://en.wikipedia.org/wiki/CBS
Edmund Chester,https://en.wikipedia.org/wiki/Edmund_Chester
Church House,"https://en.wikipedia.org/wiki/Church_House,_Westminster"
Cold War,https://en.wikipedia.org/wiki/Cold_War
North Korean invasion of South Korea,https://en.wikipedia.org/wiki/Korean_War
absence of the USSR,https://en.wikipedia.org/wiki/Soviet_Union_boycott_of_the_United_Nations
first UN peacekeeping force,https://en.wikipedia.org/wiki/United_Nations_Emergency_Force
Suez Crisis,https://en.wikipedia.org/wiki/Suez_Crisis
Hungarian Revolution of 1956,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956
Military Staff Committee,https://en.wikipedia.org/wiki/Military_Staff_Committee
United Nations Operation in the Congo,https://en.wikipedia.org/wiki/United_Nations_Operation_in_the_Congo
State of Katanga,https://en.wikipedia.org/wiki/State_of_Katanga
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Cuban Missile Crisis,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis
Vietnam War,https://en.wikipedia.org/wiki/Vietnam_War
United Nations Temporary Executive Authority,https://en.wikipedia.org/wiki/United_Nations_Temporary_Executive_Authority
West New Guinea,https://en.wikipedia.org/wiki/West_New_Guinea
United Nations Peacekeeping Force in Cyprus,https://en.wikipedia.org/wiki/United_Nations_Peacekeeping_Force_in_Cyprus
Third World,https://en.wikipedia.org/wiki/Third_World
Socialist People's Republic of Albania,https://en.wikipedia.org/wiki/Socialist_People%27s_Republic_of_Albania
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Republic of China,https://en.wikipedia.org/wiki/Republic_of_China
Middle East,https://en.wikipedia.org/wiki/Six-Day_War
Vietnam,https://en.wikipedia.org/wiki/Vietnam_War
Kashmir,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1965
Colin Powell,https://en.wikipedia.org/wiki/Colin_Powell
anthrax,https://en.wikipedia.org/wiki/Anthrax
Salvadoran Civil War,https://en.wikipedia.org/wiki/Salvadoran_Civil_War
peacekeeping mission in Namibia,https://en.wikipedia.org/wiki/United_Nations_Transition_Assistance_Group
apartheid,https://en.wikipedia.org/wiki/Apartheid_in_South_Africa
Khmer Rouge,https://en.wikipedia.org/wiki/Khmer_Rouge
invasion of Kuwait,https://en.wikipedia.org/wiki/Invasion_of_Kuwait
US-led coalition,https://en.wikipedia.org/wiki/Gulf_War
Brian Urquhart,https://en.wikipedia.org/wiki/Brian_Urquhart
UN mission to Bosnia,https://en.wikipedia.org/wiki/United_Nations_Protection_Force
United Nations Assistance Mission for Rwanda,https://en.wikipedia.org/wiki/United_Nations_Assistance_Mission_for_Rwanda
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
UN mission,https://en.wikipedia.org/wiki/United_Nations_Mission_in_Sierra_Leone
Sierra Leone Civil War,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War
Royal Marines,https://en.wikipedia.org/wiki/Royal_Marines
2001 invasion of Afghanistan,https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%932021)
NATO,https://en.wikipedia.org/wiki/NATO
invaded Iraq,https://en.wikipedia.org/wiki/Iraq_War
War in Darfur,https://en.wikipedia.org/wiki/War_in_Darfur
Kivu conflict,https://en.wikipedia.org/wiki/Kivu_conflict
an internal review,https://en.wikipedia.org/wiki/Secretary-General%27s_Internal_Review_Panel_on_United_Nations_Action_in_Sri_Lanka
the final battles,https://en.wikipedia.org/wiki/Alleged_war_crimes_during_the_final_stages_of_the_Sri_Lankan_Civil_War
Sri Lankan Civil War,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
Egypt,https://en.wikipedia.org/wiki/Egypt
non-Proliferation Treaty,https://en.wikipedia.org/wiki/Non-Proliferation_Treaty
Israel,https://en.wikipedia.org/wiki/Israel
Iran,https://en.wikipedia.org/wiki/Iran
nuclear weapons states,https://en.wikipedia.org/wiki/Nuclear_weapons_states
UN Security Councilresolutions,https://en.wikipedia.org/wiki/United_Nations_Security_Council_resolution
Permanent members,https://en.wikipedia.org/wiki/Permanent_members_of_the_United_Nations_Security_Council
China,https://en.wikipedia.org/wiki/China_and_the_United_Nations
France,https://en.wikipedia.org/wiki/France_and_the_United_Nations
Russia,https://en.wikipedia.org/wiki/Russia_and_the_United_Nations
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom_and_the_United_Nations
United States,https://en.wikipedia.org/wiki/United_States_and_the_United_Nations
Non-permanent members,https://en.wikipedia.org/wiki/List_of_members_of_the_United_Nations_Security_Council
Lists of resolutions,https://en.wikipedia.org/wiki/Lists_of_United_Nations_Security_Council_resolutions
001 to0100,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_1_to_100
101 to0200,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_101_to_200
201 to0300,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_201_to_300
301 to0400,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_301_to_400
401 to0500,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_401_to_500
501 to0600,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_501_to_600
601 to0700,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_601_to_700
701 to0800,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_701_to_800
801 to0900,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_801_to_900
901 to 1000,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_901_to_1000
1001 to 1100,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_1001_to_1100
1101 to 1200,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_1101_to_1200
1201 to 1300,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_1201_to_1300
1301 to 1400,https://en.wikipedia.org/wiki/List_of_United_Nations_Security_Council_Resolutions_1301_to_1400
