text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
volunteerism,https://en.wikipedia.org/wiki/Volunteering
solidarity,https://en.wikipedia.org/wiki/Solidarity
reciprocity,https://en.wikipedia.org/wiki/Reciprocity_(social_psychology)
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
inclusive,https://en.wikipedia.org/wiki/Inclusion_(disability_rights)
diversity,https://en.wikipedia.org/wiki/Diversity_(politics)
solidarity,https://en.wikipedia.org/wiki/Solidarity
Bonn,https://en.wikipedia.org/wiki/Bonn
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Peace Corps,https://en.wikipedia.org/wiki/Peace_Corps
International Peace Corps Secretariat,https://en.wikipedia.org/wiki/International_Peace_Corps_Secretariat
Shah Mohammad Reza Pahlavi,https://en.wikipedia.org/wiki/Shah_Mohammad_Reza_Pahlavi
Haus Carstanjen,https://en.wikipedia.org/wiki/Haus_Carstanjen
German Parliament,https://en.wikipedia.org/wiki/Bundeshaus_(Bonn)
Flavia Pansieri,https://en.wikipedia.org/wiki/Flavia_Pansieri
Sharon Capeling-Alakija,https://en.wikipedia.org/wiki/Sharon_Capeling-Alakija
Internet,https://en.wikipedia.org/wiki/Internet
virtual volunteering,https://en.wikipedia.org/wiki/Virtual_volunteering
non-governmental organizations,https://en.wikipedia.org/wiki/Nongovernmental_organizations
United Nations agencies,https://en.wikipedia.org/wiki/United_Nations_System
NetAid,https://en.wikipedia.org/wiki/NetAid
volunteerism,https://en.wikipedia.org/wiki/Volunteering
post-2015 development agenda,https://en.wikipedia.org/wiki/Post-2015_Development_Agenda
UNDG,https://en.wikipedia.org/wiki/United_Nations_Development_Group
civil society,https://en.wikipedia.org/wiki/Civil_society
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
UN Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
International Federation of Red Cross and Red Crescent Societies,https://en.wikipedia.org/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies
Rio+20,https://en.wikipedia.org/wiki/Rio%2B20
UN Secretary-General,https://en.wikipedia.org/wiki/UN_Secretary-General
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
social media,https://en.wikipedia.org/wiki/Social_media
best practices,https://en.wikipedia.org/wiki/Best_practices
Internet,https://en.wikipedia.org/wiki/Internet
International Volunteer Day,https://en.wikipedia.org/wiki/International_Volunteer_Day
social cohesion,https://en.wikipedia.org/wiki/Group_cohesiveness
Association for Leaders in Volunteer Engagement,https://en.wikipedia.org/wiki/Association_for_Leaders_in_Volunteer_Engagement
Association for Volunteer Administration,https://en.wikipedia.org/wiki/Association_for_Volunteer_Administration
CUSO,https://en.wikipedia.org/wiki/CUSO
EU Aid Volunteers,https://en.wikipedia.org/wiki/ECHO_(European_Commission)#EU_Aid_Volunteers
European Volunteer Centre,https://en.wikipedia.org/wiki/European_Volunteer_Centre
European Voluntary Service,https://en.wikipedia.org/wiki/European_Voluntary_Service
Federal Volunteers Service,https://en.wikipedia.org/wiki/Federal_Volunteers_Service
Fredskorpset,https://en.wikipedia.org/wiki/Fredskorpset
International Council for Voluntary Agencies,https://en.wikipedia.org/wiki/International_Council_for_Voluntary_Agencies
International Voluntary Service,https://en.wikipedia.org/wiki/International_Voluntary_Service
International Year of Volunteers Plus 10,https://en.wikipedia.org/wiki/International_Year_of_Volunteers_Plus_10
Peace Corps,https://en.wikipedia.org/wiki/Peace_Corps
Voluntary Service Overseas,https://en.wikipedia.org/wiki/Voluntary_Service_Overseas
Voluntary social year,https://en.wikipedia.org/wiki/Voluntary_social_year
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
