text,url
specialized agency,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
postal system,https://en.wikipedia.org/wiki/Mail
Bern,https://en.wikipedia.org/wiki/Bern
Established in 1874,https://en.wikipedia.org/wiki/Treaty_of_Bern
intergovernmental organizations,https://en.wikipedia.org/wiki/International_organization
Express Mail Service,https://en.wikipedia.org/wiki/Express_mail
Prussia,https://en.wikipedia.org/wiki/Kingdom_of_Prussia
James Campbell,https://en.wikipedia.org/wiki/James_Campbell_(postmaster_general)
Bremen,https://en.wikipedia.org/wiki/Bremen
Austro-German Postal Union,https://en.wikipedia.org/wiki/Austro-German_Postal_Union
Elihu Washburne,https://en.wikipedia.org/wiki/Elihu_Washburne
US Minister to France,https://en.wikipedia.org/wiki/List_of_ambassadors_of_the_United_States_to_France
René de Saint-Marceaux,https://en.wikipedia.org/wiki/Ren%C3%A9_de_Saint-Marceaux
United States Postmaster General,https://en.wikipedia.org/wiki/United_States_Postmaster_General
Montgomery Blair,https://en.wikipedia.org/wiki/Montgomery_Blair
North German Confederation,https://en.wikipedia.org/wiki/North_German_Confederation
German Empire,https://en.wikipedia.org/wiki/German_Empire
Reichspost,https://en.wikipedia.org/wiki/Reichspost
Heinrich von Stephan,https://en.wikipedia.org/wiki/Heinrich_von_Stephan
International Postal Congress,https://en.wikipedia.org/wiki/Postal_Union_Congress
Bern,https://en.wikipedia.org/wiki/Bern
Treaty of Bern,https://en.wikipedia.org/wiki/Treaty_of_Bern
postage stamps,https://en.wikipedia.org/wiki/Postage_stamp
Postal Union Congress,https://en.wikipedia.org/wiki/Postal_Union_Congress
six official languages,https://en.wikipedia.org/wiki/Official_languages_of_the_United_Nations
specialized agency,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
Rhine Commission,https://en.wikipedia.org/wiki/Central_Commission_for_Navigation_on_the_Rhine
International Telecommunication Union,https://en.wikipedia.org/wiki/International_Telecommunication_Union
Italian postal service,https://en.wikipedia.org/wiki/Poste_italiane
decolonization,https://en.wikipedia.org/wiki/Decolonization
developing countries,https://en.wikipedia.org/wiki/Developing_country
gold franc,https://en.wikipedia.org/wiki/Gold_franc
SDR,https://en.wikipedia.org/wiki/Special_drawing_rights
World Post Day,https://en.wikipedia.org/wiki/World_Post_Day
United States Postal Service,https://en.wikipedia.org/wiki/United_States_Postal_Service
DHL,https://en.wikipedia.org/wiki/DHL
FedEx,https://en.wikipedia.org/wiki/FedEx
German Post,https://en.wikipedia.org/wiki/Deutsche_Post
Norwegian Post,https://en.wikipedia.org/wiki/Posten_Norge
e-commerce,https://en.wikipedia.org/wiki/E-commerce
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
