text,url
United Nations regional groups,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
Western world,https://en.wikipedia.org/wiki/Western_world
developed,https://en.wikipedia.org/wiki/Developed_country
liberal democracies,https://en.wikipedia.org/wiki/Liberal_democracies
NATO,https://en.wikipedia.org/wiki/NATO
Andorra,https://en.wikipedia.org/wiki/Andorra
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Monaco,https://en.wikipedia.org/wiki/Monaco
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Portugal,https://en.wikipedia.org/wiki/Portugal
San Marino,https://en.wikipedia.org/wiki/San_Marino
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States of America,https://en.wikipedia.org/wiki/United_States
Holy See,https://en.wikipedia.org/wiki/Holy_See
Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Asia-Pacific Group,https://en.wikipedia.org/wiki/Asia-Pacific_Group
United States House of Representatives,https://en.wikipedia.org/wiki/United_States_House_of_Representatives
General Assembly at the 55th General Debate,https://en.wikipedia.org/wiki/Fifty-fifth_session_of_the_United_Nations_General_Assembly
Vinci Niel Clodumar,https://en.wikipedia.org/wiki/Vinci_Niel_Clodumar
Nauru,https://en.wikipedia.org/wiki/Nauru
ASEAN member countries,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
Japan,https://en.wikipedia.org/wiki/Japan
Republic of Korea,https://en.wikipedia.org/wiki/Republic_of_Korea
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
France,https://en.wikipedia.org/wiki/France
United States of America,https://en.wikipedia.org/wiki/United_States
United Kingdom of Great Britain and Northern Ireland,https://en.wikipedia.org/wiki/United_Kingdom
Denmark,https://en.wikipedia.org/wiki/Denmark
Greece,https://en.wikipedia.org/wiki/Greece
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
Sweden,https://en.wikipedia.org/wiki/Sweden
France,https://en.wikipedia.org/wiki/France
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Spain,https://en.wikipedia.org/wiki/Spain
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Canada,https://en.wikipedia.org/wiki/Canada
Finland,https://en.wikipedia.org/wiki/Finland
Italy,https://en.wikipedia.org/wiki/Italy
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Nations Human Rights Council,https://en.wikipedia.org/wiki/United_Nations_Human_Rights_Council
France,https://en.wikipedia.org/wiki/France
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Iceland,https://en.wikipedia.org/wiki/Iceland
Spain,https://en.wikipedia.org/wiki/Spain
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Belgium,https://en.wikipedia.org/wiki/Belgium
Germany,https://en.wikipedia.org/wiki/Germany
Amintore Fanfani,https://en.wikipedia.org/wiki/Amintore_Fanfani
Italy,https://en.wikipedia.org/wiki/Italy
Edvard Hambro,https://en.wikipedia.org/wiki/Edvard_Hambro
Norway,https://en.wikipedia.org/wiki/Norway
Gaston Thorn,https://en.wikipedia.org/wiki/Gaston_Thorn
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Rüdiger von Wechmar,https://en.wikipedia.org/wiki/R%C3%BCdiger_von_Wechmar
Federal Republic of Germany,https://en.wikipedia.org/wiki/West_Germany
Jaime de Piniés,https://en.wikipedia.org/wiki/Jaime_de_Pini%C3%A9s
Spain,https://en.wikipedia.org/wiki/Spain
Guido de Marco,https://en.wikipedia.org/wiki/Guido_de_Marco
Malta,https://en.wikipedia.org/wiki/Malta
Diogo de Freitas do Amaral,https://en.wikipedia.org/wiki/Diogo_de_Freitas_do_Amaral
Portugal,https://en.wikipedia.org/wiki/Portugal
Harri Holkeri,https://en.wikipedia.org/wiki/Harri_Holkeri
Finland,https://en.wikipedia.org/wiki/Finland
tenth emergency special,https://en.wikipedia.org/wiki/Tenth_emergency_special_session_of_the_United_Nations_General_Assembly
Jan Eliasson,https://en.wikipedia.org/wiki/Jan_Eliasson
Sweden,https://en.wikipedia.org/wiki/Sweden
65th,https://en.wikipedia.org/wiki/Sixty-fifth_session_of_the_United_Nations_General_Assembly
Joseph Deiss,https://en.wikipedia.org/wiki/Joseph_Deiss
Switzerland,https://en.wikipedia.org/wiki/Switzerland
70th,https://en.wikipedia.org/wiki/Seventieth_session_of_the_United_Nations_General_Assembly
