text,url
nonprofit,https://en.wikipedia.org/wiki/Nonprofit_organization
international organisation,https://en.wikipedia.org/wiki/International_organization
nuclear power plants,https://en.wikipedia.org/wiki/Nuclear_power_plant
1986 nuclear accident at Chernobyl,https://en.wikipedia.org/wiki/Chernobyl_disaster
Ukrainian SSR,https://en.wikipedia.org/wiki/Ukrainian_Soviet_Socialist_Republic
London,https://en.wikipedia.org/wiki/London
Shanghai,https://en.wikipedia.org/wiki/Shanghai
Atlanta,https://en.wikipedia.org/wiki/Atlanta
Moscow,https://en.wikipedia.org/wiki/Moscow
Paris,https://en.wikipedia.org/wiki/Paris
Tokyo,https://en.wikipedia.org/wiki/Tokyo
Chernobyl generating station in 1986,https://en.wikipedia.org/wiki/Chernobyl_disaster
Lord Walter Marshall of Goring,"https://en.wikipedia.org/wiki/Walter_Marshall,_Baron_Marshall_of_Goring"
Paks Nuclear Power Plant,https://en.wikipedia.org/wiki/Paks_Nuclear_Power_Plant
Fukushima,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster
energy mix,https://en.wikipedia.org/wiki/Energy_mix
World Institute for Nuclear Security,https://en.wikipedia.org/wiki/World_Institute_for_Nuclear_Security
Institute of Nuclear Power Operations,https://en.wikipedia.org/wiki/Institute_of_Nuclear_Power_Operations
International Atomic Energy Agency (IAEA),https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
World Nuclear Association (WNA),https://en.wikipedia.org/wiki/World_Nuclear_Association
Nuclear Energy Agency (OECD NEA),https://en.wikipedia.org/wiki/Nuclear_Energy_Agency
IYNC International,https://en.wikipedia.org/wiki/International_Youth_Nuclear_Congress
World Nuclear University (WNU),https://en.wikipedia.org/wiki/World_Nuclear_University
Independent.co.uk,https://en.wikipedia.org/wiki/Independent.co.uk
