text,url
international organizations,https://en.wikipedia.org/wiki/International_organization
leveraged loans,https://en.wikipedia.org/wiki/Leveraged_loan
developing countries,https://en.wikipedia.org/wiki/Developing_countries
development bank,https://en.wikipedia.org/wiki/Development_bank
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
United States,https://en.wikipedia.org/wiki/United_States
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
International Centre for Settlement of Investment Disputes,https://en.wikipedia.org/wiki/International_Centre_for_Settlement_of_Investment_Disputes
Multilateral Investment Guarantee Agency,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
loans,https://en.wikipedia.org/wiki/Loan
grants,https://en.wikipedia.org/wiki/Grant_(money)
low-,https://en.wikipedia.org/wiki/Least_developed_countries
middle-income countries,https://en.wikipedia.org/wiki/Developing_country
economic development,https://en.wikipedia.org/wiki/Economic_development
rural development,https://en.wikipedia.org/wiki/Rural_development
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Bretton Woods Conference,https://en.wikipedia.org/wiki/Bretton_Woods_Conference
World War II,https://en.wikipedia.org/wiki/World_War_II
member,https://en.wikipedia.org/wiki/United_Nations_Sustainable_Development_Group
United Nations Sustainable Development Group,https://en.wikipedia.org/wiki/United_Nations_Sustainable_Development_Group
United States,https://en.wikipedia.org/wiki/United_States
Ajay Banga,https://en.wikipedia.org/wiki/Ajay_Banga
Japan,https://en.wikipedia.org/wiki/Japan
China,https://en.wikipedia.org/wiki/China
Germany,https://en.wikipedia.org/wiki/Germany
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Open Knowledge Repository,https://en.wikipedia.org/wiki/Open_Knowledge_Repository
climate action,https://en.wikipedia.org/wiki/Climate_action
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
Harry Dexter White,https://en.wikipedia.org/wiki/Harry_Dexter_White
John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Bretton Woods Conference,https://en.wikipedia.org/wiki/Bretton_Woods_Conference
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
American,https://en.wikipedia.org/wiki/United_States
Mount Washington Hotel,https://en.wikipedia.org/wiki/Mount_Washington_Hotel
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
1946,https://en.wikipedia.org/wiki/1946
World Development Report,https://en.wikipedia.org/wiki/World_Development_Report
Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan
earmarked,https://en.wikipedia.org/wiki/Earmark_(finance)
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
developing countries,https://en.wikipedia.org/wiki/Developing_country
Fiscal conservatism,https://en.wikipedia.org/wiki/Fiscal_conservatism
John McCloy,https://en.wikipedia.org/wiki/John_J._McCloy
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
Communist,https://en.wikipedia.org/wiki/Communist_Party_of_France
coalition government,https://en.wikipedia.org/wiki/Coalition_government
tripartite,https://en.wikipedia.org/wiki/Tripartisme
developing world,https://en.wikipedia.org/wiki/Developing_country
Robert McNamara,https://en.wikipedia.org/wiki/Robert_McNamara
Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson
Eugene Rotberg,https://en.wikipedia.org/wiki/Eugene_Rotberg
debt of developing countries,https://en.wikipedia.org/wiki/Debt_of_developing_countries
President,https://en.wikipedia.org/wiki/President_of_the_United_States
Jimmy Carter,https://en.wikipedia.org/wiki/Jimmy_Carter
Alden W. Clausen,https://en.wikipedia.org/wiki/Alden_W._Clausen
Hollis B. Chenery,https://en.wikipedia.org/wiki/Hollis_B._Chenery
Anne Krueger,https://en.wikipedia.org/wiki/Anne_Krueger
rent-seeking,https://en.wikipedia.org/wiki/Rent-seeking
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
UNICEF,https://en.wikipedia.org/wiki/UNICEF
Asia,https://en.wikipedia.org/wiki/Asia
Latin America,https://en.wikipedia.org/wiki/Latin_America
Africa,https://en.wikipedia.org/wiki/Africa
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Andorra,https://en.wikipedia.org/wiki/Andorra
Cuba,https://en.wikipedia.org/wiki/Cuba
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Monaco,https://en.wikipedia.org/wiki/Monaco
North Korea,https://en.wikipedia.org/wiki/North_Korea
Kosovo,https://en.wikipedia.org/wiki/Kosovo
IMF,https://en.wikipedia.org/wiki/IMF
Palestine,https://en.wikipedia.org/wiki/Palestine
Holy See,https://en.wikipedia.org/wiki/Holy_See
Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Abkhazia,https://en.wikipedia.org/wiki/Abkhazia
Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus
Sahrawi Arab Democratic Republic,https://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic
Somaliland,https://en.wikipedia.org/wiki/Somaliland
South Ossetia,https://en.wikipedia.org/wiki/South_Ossetia
Transnistria,https://en.wikipedia.org/wiki/Transnistria
Republic of China,https://en.wikipedia.org/wiki/Taiwan
Chinese Civil War,https://en.wikipedia.org/wiki/Chinese_Civil_War
"Taiwan, China","https://en.wikipedia.org/wiki/Taiwan,_China"
188 UN members,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
Kosovo,https://en.wikipedia.org/wiki/Kosovo
San Marino,https://en.wikipedia.org/wiki/San_Marino
Nauru,https://en.wikipedia.org/wiki/Nauru
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Brunei,https://en.wikipedia.org/wiki/Brunei
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Suriname,https://en.wikipedia.org/wiki/Suriname
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Namibia,https://en.wikipedia.org/wiki/Namibia
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Kiribati,https://en.wikipedia.org/wiki/Kiribati
China,https://en.wikipedia.org/wiki/China
China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Germany,https://en.wikipedia.org/wiki/Germany
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
India,https://en.wikipedia.org/wiki/India
Russia,https://en.wikipedia.org/wiki/Russia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Italy,https://en.wikipedia.org/wiki/Italy
South Korea,https://en.wikipedia.org/wiki/South_Korea
Turkey,https://en.wikipedia.org/wiki/Turkey
Mexico,https://en.wikipedia.org/wiki/Mexico
Singapore,https://en.wikipedia.org/wiki/Singapore
Greece,https://en.wikipedia.org/wiki/Greece
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Hungary,https://en.wikipedia.org/wiki/Hungary
Brazil,https://en.wikipedia.org/wiki/Brazil
India,https://en.wikipedia.org/wiki/India
Spain,https://en.wikipedia.org/wiki/Spain
Nigeria,https://en.wikipedia.org/wiki/Nigeria
United States,https://en.wikipedia.org/wiki/United_States
Russia,https://en.wikipedia.org/wiki/Russia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
Multilateral Investment Guarantee Agency,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
IBRD,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
IFC,https://en.wikipedia.org/wiki/International_Finance_Corporation
IDA,https://en.wikipedia.org/wiki/International_Development_Association
MIGA,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
United States,https://en.wikipedia.org/wiki/United_States
United States,https://en.wikipedia.org/wiki/United_States
United States,https://en.wikipedia.org/wiki/United_States
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
Japan,https://en.wikipedia.org/wiki/Japan
Japan,https://en.wikipedia.org/wiki/Japan
Japan,https://en.wikipedia.org/wiki/Japan
China,https://en.wikipedia.org/wiki/China
Germany,https://en.wikipedia.org/wiki/Germany
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Germany,https://en.wikipedia.org/wiki/Germany
Germany,https://en.wikipedia.org/wiki/Germany
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
France,https://en.wikipedia.org/wiki/France
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
India,https://en.wikipedia.org/wiki/India
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Russia,https://en.wikipedia.org/wiki/Russia
India,https://en.wikipedia.org/wiki/India
Russia,https://en.wikipedia.org/wiki/Russia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Canada,https://en.wikipedia.org/wiki/Canada
Canada,https://en.wikipedia.org/wiki/Canada
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Canada,https://en.wikipedia.org/wiki/Canada
Italy,https://en.wikipedia.org/wiki/Italy
Italy,https://en.wikipedia.org/wiki/Italy
India,https://en.wikipedia.org/wiki/India
Italy,https://en.wikipedia.org/wiki/Italy
China,https://en.wikipedia.org/wiki/China
