text,url
"Penang, Malaysia",https://en.wikipedia.org/wiki/Penang
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Africa,https://en.wikipedia.org/wiki/Africa
Asia,https://en.wikipedia.org/wiki/Asia
Pacific Region,https://en.wikipedia.org/wiki/Pacific_Ocean
Nile tilapia,https://en.wikipedia.org/wiki/Nile_tilapia
smallhold,https://en.wikipedia.org/wiki/Smallholding
aquaculture,https://en.wikipedia.org/wiki/Aquaculture
Global South,https://en.wikipedia.org/wiki/Global_North_and_Global_South
climate resilience,https://en.wikipedia.org/wiki/Climate_resilience
environmental sustainability,https://en.wikipedia.org/wiki/Environmental_sustainability
Modadugu Vijay Gupta,https://en.wikipedia.org/wiki/Modadugu_Vijay_Gupta
World Food Prize,https://en.wikipedia.org/wiki/World_Food_Prize
Shakuntala Haraksingh Thilsted,https://en.wikipedia.org/wiki/Shakuntala_Haraksingh_Thilsted
