
--- Batch Process Started: 2025-06-09 18:35:16 ---
[SUCCESS] Article: Economy_of_Afghanistan | URL: https://en.wikipedia.org/wiki/Economy_of_Afghanistan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Albania | URL: https://en.wikipedia.org/wiki/Economy_of_Albania | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Algeria | URL: https://en.wikipedia.org/wiki/Economy_of_Algeria | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Andorra | URL: https://en.wikipedia.org/wiki/Economy_of_Andorra | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Angola | URL: https://en.wikipedia.org/wiki/Economy_of_Angola | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Antigua_and_Barbuda | URL: https://en.wikipedia.org/wiki/Economy_of_Antigua_and_Barbuda | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Argentina | URL: https://en.wikipedia.org/wiki/Economy_of_Argentina | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Armenia | URL: https://en.wikipedia.org/wiki/Economy_of_Armenia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Australia | URL: https://en.wikipedia.org/wiki/Economy_of_Australia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Austria | URL: https://en.wikipedia.org/wiki/Economy_of_Austria | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Azerbaijan | URL: https://en.wikipedia.org/wiki/Economy_of_Azerbaijan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Bahamas | URL: https://en.wikipedia.org/wiki/Economy_of_the_Bahamas | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bahrain | URL: https://en.wikipedia.org/wiki/Economy_of_Bahrain | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bangladesh | URL: https://en.wikipedia.org/wiki/Economy_of_Bangladesh | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Barbados | URL: https://en.wikipedia.org/wiki/Economy_of_Barbados | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Belarus | URL: https://en.wikipedia.org/wiki/Economy_of_Belarus | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Belgium | URL: https://en.wikipedia.org/wiki/Economy_of_Belgium | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Belize | URL: https://en.wikipedia.org/wiki/Economy_of_Belize | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Benin | URL: https://en.wikipedia.org/wiki/Economy_of_Benin | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bhutan | URL: https://en.wikipedia.org/wiki/Economy_of_Bhutan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bolivia | URL: https://en.wikipedia.org/wiki/Economy_of_Bolivia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bosnia_and_Herzegovina | URL: https://en.wikipedia.org/wiki/Economy_of_Bosnia_and_Herzegovina | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Botswana | URL: https://en.wikipedia.org/wiki/Economy_of_Botswana | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Brazil | URL: https://en.wikipedia.org/wiki/Economy_of_Brazil | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Brunei | URL: https://en.wikipedia.org/wiki/Economy_of_Brunei | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Bulgaria | URL: https://en.wikipedia.org/wiki/Economy_of_Bulgaria | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Burkina_Faso | URL: https://en.wikipedia.org/wiki/Economy_of_Burkina_Faso | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Burundi | URL: https://en.wikipedia.org/wiki/Economy_of_Burundi | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Cape_Verde | URL: https://en.wikipedia.org/wiki/Economy_of_Cape_Verde | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Cambodia | URL: https://en.wikipedia.org/wiki/Economy_of_Cambodia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Cameroon | URL: https://en.wikipedia.org/wiki/Economy_of_Cameroon | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Canada | URL: https://en.wikipedia.org/wiki/Economy_of_Canada | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Central_African_Republic | URL: https://en.wikipedia.org/wiki/Economy_of_the_Central_African_Republic | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Chad | URL: https://en.wikipedia.org/wiki/Economy_of_Chad | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Chile | URL: https://en.wikipedia.org/wiki/Economy_of_Chile | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_China | URL: https://en.wikipedia.org/wiki/Economy_of_China | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Colombia | URL: https://en.wikipedia.org/wiki/Economy_of_Colombia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Comoros | URL: https://en.wikipedia.org/wiki/Economy_of_the_Comoros | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Democratic_Republic_of_the_Congo | URL: https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Costa_Rica | URL: https://en.wikipedia.org/wiki/Economy_of_Costa_Rica | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Ivory_Coast | URL: https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Croatia | URL: https://en.wikipedia.org/wiki/Economy_of_Croatia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Cuba | URL: https://en.wikipedia.org/wiki/Economy_of_Cuba | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Cyprus | URL: https://en.wikipedia.org/wiki/Economy_of_Cyprus | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Czech_Republic | URL: https://en.wikipedia.org/wiki/Economy_of_the_Czech_Republic | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Democratic_Republic_of_the_Congo | URL: https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Denmark | URL: https://en.wikipedia.org/wiki/Economy_of_Denmark | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Djibouti | URL: https://en.wikipedia.org/wiki/Economy_of_Djibouti | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Dominica | URL: https://en.wikipedia.org/wiki/Economy_of_Dominica | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Dominican_Republic | URL: https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Ecuador | URL: https://en.wikipedia.org/wiki/Economy_of_Ecuador | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Egypt | URL: https://en.wikipedia.org/wiki/Economy_of_Egypt | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_El_Salvador | URL: https://en.wikipedia.org/wiki/Economy_of_El_Salvador | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Equatorial_Guinea | URL: https://en.wikipedia.org/wiki/Economy_of_Equatorial_Guinea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Eritrea | URL: https://en.wikipedia.org/wiki/Economy_of_Eritrea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Estonia | URL: https://en.wikipedia.org/wiki/Economy_of_Estonia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Eswatini | URL: https://en.wikipedia.org/wiki/Economy_of_Eswatini | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Ethiopia | URL: https://en.wikipedia.org/wiki/Economy_of_Ethiopia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Fiji | URL: https://en.wikipedia.org/wiki/Economy_of_Fiji | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Finland | URL: https://en.wikipedia.org/wiki/Economy_of_Finland | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_France | URL: https://en.wikipedia.org/wiki/Economy_of_France | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Gabon | URL: https://en.wikipedia.org/wiki/Economy_of_Gabon | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Gambia | URL: https://en.wikipedia.org/wiki/Economy_of_the_Gambia | Reason: Downloaded successfully
[FAILED] Article: Economy_of_Georgia | URL: https://en.wikipedia.org/wiki/Economy_of_Georgia | Reason: Failed during download/processing (see console for details)
[SUCCESS] Article: Economy_of_Germany | URL: https://en.wikipedia.org/wiki/Economy_of_Germany | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Ghana | URL: https://en.wikipedia.org/wiki/Economy_of_Ghana | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Greece | URL: https://en.wikipedia.org/wiki/Economy_of_Greece | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Grenada | URL: https://en.wikipedia.org/wiki/Economy_of_Grenada | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Guatemala | URL: https://en.wikipedia.org/wiki/Economy_of_Guatemala | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Guinea | URL: https://en.wikipedia.org/wiki/Economy_of_Guinea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Guinea-Bissau | URL: https://en.wikipedia.org/wiki/Economy_of_Guinea-Bissau | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Guyana | URL: https://en.wikipedia.org/wiki/Economy_of_Guyana | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Haiti | URL: https://en.wikipedia.org/wiki/Economy_of_Haiti | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Vatican_City | URL: https://en.wikipedia.org/wiki/Economy_of_Vatican_City | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Honduras | URL: https://en.wikipedia.org/wiki/Economy_of_Honduras | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Hungary | URL: https://en.wikipedia.org/wiki/Economy_of_Hungary | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Iceland | URL: https://en.wikipedia.org/wiki/Economy_of_Iceland | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_India | URL: https://en.wikipedia.org/wiki/Economy_of_India | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Indonesia | URL: https://en.wikipedia.org/wiki/Economy_of_Indonesia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Iran | URL: https://en.wikipedia.org/wiki/Economy_of_Iran | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Iraq | URL: https://en.wikipedia.org/wiki/Economy_of_Iraq | Reason: Downloaded successfully
[FAILED] Article: Economy_of_Ireland | URL: https://en.wikipedia.org/wiki/Economy_of_Ireland | Reason: Failed during download/processing (see console for details)
[SUCCESS] Article: Economy_of_Israel | URL: https://en.wikipedia.org/wiki/Economy_of_Israel | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Italy | URL: https://en.wikipedia.org/wiki/Economy_of_Italy | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Jamaica | URL: https://en.wikipedia.org/wiki/Economy_of_Jamaica | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Japan | URL: https://en.wikipedia.org/wiki/Economy_of_Japan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Jordan | URL: https://en.wikipedia.org/wiki/Economy_of_Jordan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Kazakhstan | URL: https://en.wikipedia.org/wiki/Economy_of_Kazakhstan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Kenya | URL: https://en.wikipedia.org/wiki/Economy_of_Kenya | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Kiribati | URL: https://en.wikipedia.org/wiki/Economy_of_Kiribati | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Kuwait | URL: https://en.wikipedia.org/wiki/Economy_of_Kuwait | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Kyrgyzstan | URL: https://en.wikipedia.org/wiki/Economy_of_Kyrgyzstan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Laos | URL: https://en.wikipedia.org/wiki/Economy_of_Laos | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Latvia | URL: https://en.wikipedia.org/wiki/Economy_of_Latvia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Lebanon | URL: https://en.wikipedia.org/wiki/Economy_of_Lebanon | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Lesotho | URL: https://en.wikipedia.org/wiki/Economy_of_Lesotho | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Liberia | URL: https://en.wikipedia.org/wiki/Economy_of_Liberia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Libya | URL: https://en.wikipedia.org/wiki/Economy_of_Libya | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Liechtenstein | URL: https://en.wikipedia.org/wiki/Economy_of_Liechtenstein | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Lithuania | URL: https://en.wikipedia.org/wiki/Economy_of_Lithuania | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Luxembourg | URL: https://en.wikipedia.org/wiki/Economy_of_Luxembourg | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Madagascar | URL: https://en.wikipedia.org/wiki/Economy_of_Madagascar | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Malawi | URL: https://en.wikipedia.org/wiki/Economy_of_Malawi | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Malaysia | URL: https://en.wikipedia.org/wiki/Economy_of_Malaysia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Maldives | URL: https://en.wikipedia.org/wiki/Economy_of_the_Maldives | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mali | URL: https://en.wikipedia.org/wiki/Economy_of_Mali | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Malta | URL: https://en.wikipedia.org/wiki/Economy_of_Malta | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Marshall_Islands | URL: https://en.wikipedia.org/wiki/Economy_of_the_Marshall_Islands | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mauritania | URL: https://en.wikipedia.org/wiki/Economy_of_Mauritania | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mauritius | URL: https://en.wikipedia.org/wiki/Economy_of_Mauritius | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mexico | URL: https://en.wikipedia.org/wiki/Economy_of_Mexico | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Federated_States_of_Micronesia | URL: https://en.wikipedia.org/wiki/Economy_of_the_Federated_States_of_Micronesia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Moldova | URL: https://en.wikipedia.org/wiki/Economy_of_Moldova | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Monaco | URL: https://en.wikipedia.org/wiki/Economy_of_Monaco | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mongolia | URL: https://en.wikipedia.org/wiki/Economy_of_Mongolia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Montenegro | URL: https://en.wikipedia.org/wiki/Economy_of_Montenegro | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Morocco | URL: https://en.wikipedia.org/wiki/Economy_of_Morocco | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Mozambique | URL: https://en.wikipedia.org/wiki/Economy_of_Mozambique | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Myanmar | URL: https://en.wikipedia.org/wiki/Economy_of_Myanmar | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Namibia | URL: https://en.wikipedia.org/wiki/Economy_of_Namibia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Nauru | URL: https://en.wikipedia.org/wiki/Economy_of_Nauru | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Nepal | URL: https://en.wikipedia.org/wiki/Economy_of_Nepal | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Netherlands | URL: https://en.wikipedia.org/wiki/Economy_of_the_Netherlands | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_New_Zealand | URL: https://en.wikipedia.org/wiki/Economy_of_New_Zealand | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Nicaragua | URL: https://en.wikipedia.org/wiki/Economy_of_Nicaragua | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Niger | URL: https://en.wikipedia.org/wiki/Economy_of_Niger | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Nigeria | URL: https://en.wikipedia.org/wiki/Economy_of_Nigeria | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_North_Korea | URL: https://en.wikipedia.org/wiki/Economy_of_North_Korea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_North_Macedonia | URL: https://en.wikipedia.org/wiki/Economy_of_North_Macedonia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Norway | URL: https://en.wikipedia.org/wiki/Economy_of_Norway | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Oman | URL: https://en.wikipedia.org/wiki/Economy_of_Oman | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Pakistan | URL: https://en.wikipedia.org/wiki/Economy_of_Pakistan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Palau | URL: https://en.wikipedia.org/wiki/Economy_of_Palau | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Palestine | URL: https://en.wikipedia.org/wiki/Economy_of_Palestine | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Panama | URL: https://en.wikipedia.org/wiki/Economy_of_Panama | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Papua_New_Guinea | URL: https://en.wikipedia.org/wiki/Economy_of_Papua_New_Guinea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Paraguay | URL: https://en.wikipedia.org/wiki/Economy_of_Paraguay | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Peru | URL: https://en.wikipedia.org/wiki/Economy_of_Peru | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_Philippines | URL: https://en.wikipedia.org/wiki/Economy_of_the_Philippines | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Poland | URL: https://en.wikipedia.org/wiki/Economy_of_Poland | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Portugal | URL: https://en.wikipedia.org/wiki/Economy_of_Portugal | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Qatar | URL: https://en.wikipedia.org/wiki/Economy_of_Qatar | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Romania | URL: https://en.wikipedia.org/wiki/Economy_of_Romania | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Russia | URL: https://en.wikipedia.org/wiki/Economy_of_Russia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Rwanda | URL: https://en.wikipedia.org/wiki/Economy_of_Rwanda | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Saint_Kitts_and_Nevis | URL: https://en.wikipedia.org/wiki/Economy_of_Saint_Kitts_and_Nevis | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Saint_Lucia | URL: https://en.wikipedia.org/wiki/Economy_of_Saint_Lucia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Saint_Vincent_and_the_Grenadines | URL: https://en.wikipedia.org/wiki/Economy_of_Saint_Vincent_and_the_Grenadines | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Samoa | URL: https://en.wikipedia.org/wiki/Economy_of_Samoa | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_San_Marino | URL: https://en.wikipedia.org/wiki/Economy_of_San_Marino | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_São_Tomé_and_Príncipe | URL: https://en.wikipedia.org/wiki/Economy_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Saudi_Arabia | URL: https://en.wikipedia.org/wiki/Economy_of_Saudi_Arabia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Senegal | URL: https://en.wikipedia.org/wiki/Economy_of_Senegal | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Serbia | URL: https://en.wikipedia.org/wiki/Economy_of_Serbia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Seychelles | URL: https://en.wikipedia.org/wiki/Economy_of_Seychelles | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Sierra_Leone | URL: https://en.wikipedia.org/wiki/Economy_of_Sierra_Leone | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Singapore | URL: https://en.wikipedia.org/wiki/Economy_of_Singapore | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Slovakia | URL: https://en.wikipedia.org/wiki/Economy_of_Slovakia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Slovenia | URL: https://en.wikipedia.org/wiki/Economy_of_Slovenia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Solomon_Islands | URL: https://en.wikipedia.org/wiki/Economy_of_Solomon_Islands | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Somalia | URL: https://en.wikipedia.org/wiki/Economy_of_Somalia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_South_Africa | URL: https://en.wikipedia.org/wiki/Economy_of_South_Africa | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_South_Korea | URL: https://en.wikipedia.org/wiki/Economy_of_South_Korea | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_South_Sudan | URL: https://en.wikipedia.org/wiki/Economy_of_South_Sudan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Spain | URL: https://en.wikipedia.org/wiki/Economy_of_Spain | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Sri_Lanka | URL: https://en.wikipedia.org/wiki/Economy_of_Sri_Lanka | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Sudan | URL: https://en.wikipedia.org/wiki/Economy_of_Sudan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Suriname | URL: https://en.wikipedia.org/wiki/Economy_of_Suriname | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Sweden | URL: https://en.wikipedia.org/wiki/Economy_of_Sweden | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Switzerland | URL: https://en.wikipedia.org/wiki/Economy_of_Switzerland | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Syria | URL: https://en.wikipedia.org/wiki/Economy_of_Syria | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Tajikistan | URL: https://en.wikipedia.org/wiki/Economy_of_Tajikistan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Tanzania | URL: https://en.wikipedia.org/wiki/Economy_of_Tanzania | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Thailand | URL: https://en.wikipedia.org/wiki/Economy_of_Thailand | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Timor-Leste | URL: https://en.wikipedia.org/wiki/Economy_of_Timor-Leste | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Togo | URL: https://en.wikipedia.org/wiki/Economy_of_Togo | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Tonga | URL: https://en.wikipedia.org/wiki/Economy_of_Tonga | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Trinidad_and_Tobago | URL: https://en.wikipedia.org/wiki/Economy_of_Trinidad_and_Tobago | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Tunisia | URL: https://en.wikipedia.org/wiki/Economy_of_Tunisia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Turkey | URL: https://en.wikipedia.org/wiki/Economy_of_Turkey | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Turkmenistan | URL: https://en.wikipedia.org/wiki/Economy_of_Turkmenistan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Tuvalu | URL: https://en.wikipedia.org/wiki/Economy_of_Tuvalu | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Uganda | URL: https://en.wikipedia.org/wiki/Economy_of_Uganda | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Ukraine | URL: https://en.wikipedia.org/wiki/Economy_of_Ukraine | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_United_Arab_Emirates | URL: https://en.wikipedia.org/wiki/Economy_of_the_United_Arab_Emirates | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_United_Kingdom | URL: https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_the_United_States | URL: https://en.wikipedia.org/wiki/Economy_of_the_United_States | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Uruguay | URL: https://en.wikipedia.org/wiki/Economy_of_Uruguay | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Uzbekistan | URL: https://en.wikipedia.org/wiki/Economy_of_Uzbekistan | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Vanuatu | URL: https://en.wikipedia.org/wiki/Economy_of_Vanuatu | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Venezuela | URL: https://en.wikipedia.org/wiki/Economy_of_Venezuela | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Vietnam | URL: https://en.wikipedia.org/wiki/Economy_of_Vietnam | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Yemen | URL: https://en.wikipedia.org/wiki/Economy_of_Yemen | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Zambia | URL: https://en.wikipedia.org/wiki/Economy_of_Zambia | Reason: Downloaded successfully
[SUCCESS] Article: Economy_of_Zimbabwe | URL: https://en.wikipedia.org/wiki/Economy_of_Zimbabwe | Reason: Downloaded successfully

--- Batch Process Started: 2025-08-12 21:44:25 ---

--- Batch Process Started: 2025-08-12 21:45:28 ---
[SUCCESS] Article: United_Nations | URL: https://en.wikipedia.org/wiki/United_Nations | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Security_Council | URL: https://en.wikipedia.org/wiki/United_Nations_Security_Council | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_and_Social_Council | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Trusteeship_Council | URL: https://en.wikipedia.org/wiki/United_Nations_Trusteeship_Council | Reason: Downloaded successfully
[SUCCESS] Article: International_Court_of_Justice | URL: https://en.wikipedia.org/wiki/International_Court_of_Justice | Reason: Downloaded successfully
[SUCCESS] Article: International_Criminal_Court | URL: https://en.wikipedia.org/wiki/International_Criminal_Court | Reason: Downloaded successfully
[SUCCESS] Article: International_Cricket_Council | URL: https://en.wikipedia.org/wiki/International_Cricket_Council | Reason: Downloaded successfully
[SUCCESS] Article: Secretary-General_of_the_United_Nations | URL: https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations | Reason: Downloaded successfully
